Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1000048,33.53,-82.34,-5,111,-5,1013031,SRSO,Southeast,-82.35244702271048,33.54860125196177,14113,GA,183.02999216323207,0.2541848263293983,2.467975909129048,15.63372383409327,10.926156035866985,39.76996130199447,0.9983496414760112,0.25376533023459696,39.835704496469326,0,0,0,0,0,0,0,1,1,1
1000133,34.13,-82.34,-5,141,-5,1013116,SRVC,Southeast,-82.35761985998134,34.12620581447619,14929,SC,175.2028513873855,0.2503586277868236,6.6417855367005645,29.944690891502876,19.783395760013374,42.280879578634284,0.9969100322708989,0.2495850277062603,42.41193107699105,0,0,1,1,2,2,2,3,4,4
1000150,30.65,-82.34,-5,34,-5,1013133,SRSO,Southeast,-82.32104677264344,30.66339947161732,15500,GA,15.875061212402036,0.25537040350347534,14.719764540930107,1.2460664421375305,87.08170648604765,45.062100215987705,0.9945115530013431,0.25396881657882087,45.31078606376617,0,1,2,2,3,4,4,5,6,6
1000224,36.65,-82.34,-5,487,-5,1013207,RFCW,Great Lakes - Mid-Atlantic,-82.34974185797009,36.66866143303553,14483,TN,1.871945313945801,0.23509820722208544,3.97992317800847,0.3293842436815609,23.688476079960136,43.732861889302455,0.9985075956402226,0.23474734563265134,43.79822655356151,0,1,1,2,2,3,3,4,5,5
1000364,35.53,-82.34,-5,869,-5,1013347,SRVC,Southeast,-82.33918220922655,35.51398869826271,15017,NC,125.94314474655924,0.2465021061958668,3.2924552612825715,0.0,19.66313107580667,41.39128671814791,0.9987781866432323,0.2462009266300453,41.44192101076898,0,0,0,1,1,1,1,2,2,2
1000381,31.25,-82.34,-5,32,-5,1013364,SRSO,Southeast,-82.32934020430241,31.242918193142074,15462,GA,117.78947923367559,0.26257000198858943,10.981665821716692,10.278575294001868,63.07754438391612,42.20132929453472,0.9954418507165721,0.2613731687221755,42.39457007373757,0,0,1,1,2,2,2,3,4,4
1000386,32.97,-82.34,-5,86,-5,1013369,SRSO,Southeast,-82.34681395362983,32.97242340663247,14104,GA,173.6741972717733,0.26179541784670896,7.516919733338749,0.029937004322568374,44.87251024785449,40.81539793482269,0.9972098843468641,0.2610649783534556,40.92959624197395,0,0,0,0,1,1,1,2,2,2
1000537,31.81,-82.34,-5,56,-5,1013520,SRSO,Southeast,-82.33578676954895,31.820073517758,14276,GA,168.80314702805484,0.2605657250182167,4.8893793351337385,63.93488134048214,13.606644738496987,39.85687918915229,0.9951817809736302,0.2593102622843141,40.04984812941264,0,0,0,0,0,0,0,1,1,1
1000540,34.93,-82.34,-5,304,-5,1013523,SRVC,Southeast,-82.33384643699361,34.93632405210679,3800,SC,38.40496660306084,0.25229168904484767,1.661570985064365,0.0,9.923198791879896,39.70350901359005,0.9993833994810369,0.2521361258584525,39.72800532228914,0,0,0,0,0,0,0,1,1,1
1000541,34.37,-82.34,-5,217,-5,1013524,SRVC,Southeast,-82.3286250626067,34.358648756306096,14924,SC,183.29828729125424,0.253079491700338,4.748898306640529,29.944690891502876,8.478735024276578,40.97250198397969,0.9976124730687251,0.2524752575981501,41.070559049793594,0,0,0,1,1,1,1,2,2,2
1000555,31.01,-82.34,-5,40,-5,1013538,SRSO,Southeast,-82.35615336738549,31.00993944771236,3894,GA,71.05464049498845,0.255770544644957,12.206501496612727,10.278575294001868,70.39248187297495,43.86988562908089,0.9949873204439723,0.25448844886478117,44.090899177997315,0,1,1,2,2,3,3,4,5,5
1000573,32.41,-82.34,-5,55,-5,1013556,SRSO,Southeast,-82.34122084009759,32.3962476179835,14142,GA,182.76874206431873,0.2588003915565731,11.464490741398224,64.32448681958702,52.77936074324321,43.02899253657606,0.9927234861767662,0.25691722692995334,43.34438857923247,0,0,1,1,2,3,3,4,4,4
1000732,32.85,-82.3,-5,69,-5,1013715,SRSO,Southeast,-82.28458306640712,32.85997928711877,14158,GA,169.0490681782684,0.2600230957211318,8.159351611376609,56.34592436779914,11.316805444573436,41.37563665053702,0.995795622440729,0.2589298604525897,41.55032992525507,0,0,0,1,1,1,2,2,3,3
1000815,34.01,-82.3,-5,142,-5,1013798,SRVC,Southeast,-82.29466827092084,34.01349528529608,14930,SC,183.27540558525476,0.2507063370777296,8.792408976544491,29.944690891502876,32.62730318971682,43.201492543266156,0.9961119468800117,0.2497315775216537,43.37011786534677,0,0,1,2,2,3,3,4,4,4
1000848,32.61,-82.3,-5,82,-5,1013831,SRSO,Southeast,-82.3129642013586,32.62809727083948,3566,GA,182.7930767752348,0.2608335518626648,11.652158412701596,56.34592436779914,32.17647171386336,42.77572147916823,0.994499459649194,0.2593988263858002,43.0123124393222,0,0,1,1,2,2,3,3,4,4
1000866,31.49,-82.3,-5,56,-5,1013849,SRSO,Southeast,-82.30239891643244,31.47588233668809,3521,GA,173.41574980598153,0.2623911216469547,9.114699943772733,54.996355508080825,17.918396719856716,41.41786158732947,0.9954692760865984,0.2612022999174446,41.606368556297284,0,0,0,1,1,1,2,2,3,3
1000933,33.21,-82.3,-5,112,-5,1013916,SRSO,Southeast,-82.31839119616131,33.204299437173546,14116,GA,181.54336387806117,0.2584032713455949,3.390046440464865,0.029937004322568374,20.22608560382932,39.52805955807165,0.9987413459798332,0.2580780310292915,39.57787440880595,0,0,0,0,0,0,0,0,1,1
1000974,35.17,-82.3,-5,732,-5,1013957,SRVC,Southeast,-82.30458253839713,35.16881546290731,15085,NC,50.174243061794044,0.25349058288026277,6.729116176345007,0.0,40.187484080879976,41.79781403963449,0.9975028593037593,0.2528575812296387,41.90245035368488,0,0,1,1,1,2,2,3,3,3
1000974,35.17,-82.3,-5,732,-5,1013957,SRVC,Southeast,-82.30458253839713,35.16881546290731,15085,NC,50.174243061794044,0.25349058288026277,4.591917013092767,0.0,27.42374882946681,40.83536208402943,0.9982959630140638,0.25305862555144826,40.90506582911439,0,0,0,0,1,1,1,2,2,2
1000974,35.17,-82.3,-5,732,-5,1013957,SRVC,Southeast,-82.30458253839713,35.16881546290731,15085,SC,129.188494565607,0.25349058288026277,6.729116176345007,0.0,40.187484080879976,41.79781403963449,0.9975028593037593,0.2528575812296387,41.90245035368488,0,0,1,1,1,2,2,3,3,3
1000974,35.17,-82.3,-5,732,-5,1013957,SRVC,Southeast,-82.30458253839713,35.16881546290731,15085,SC,129.188494565607,0.25349058288026277,4.591917013092767,0.0,27.42374882946681,40.83536208402943,0.9982959630140638,0.25305862555144826,40.90506582911439,0,0,0,0,1,1,1,2,2,2
1000978,34.61,-82.3,-5,219,-5,1013961,SRVC,Southeast,-82.29946759424737,34.591082976818235,14891,SC,183.36629712179027,0.25237873826209184,3.4371135734176628,0.4036220834588036,20.259061280909005,40.49292317770087,0.9987160771891355,0.2520547034430599,40.544979802134876,0,0,0,0,1,1,1,1,2,2
1001042,30.89,-82.3,-5,38,-5,1014025,SRSO,Southeast,-82.29424457961528,30.89638749092388,15469,GA,4.890431804531128,0.25685279654860316,12.422155586233961,0.06428442541522439,74.14464933047995,43.780884377073605,0.9953888591748236,0.2556684121323772,43.98369940906102,0,1,1,2,2,3,3,4,5,5
1001065,36.33,-82.3,-5,497,-5,1014048,SRTV,Southeast,-82.3146845864515,36.323681663799256,14965,TN,93.75517105029112,0.23359556017249064,2.1205032616255344,0.3293842436815609,12.583688121031127,43.105506251482154,0.9991976168886182,0.23340812704011446,43.1401211561208,0,0,1,1,2,2,3,4,4,4
1001102,32.05,-82.3,-5,56,-5,1014085,SRSO,Southeast,-82.30764158027002,32.05198070308744,14126,GA,182.80654018595902,0.26174344935947486,4.895482495150874,64.09147127003014,13.604901899216909,39.68020348194241,0.995172159197606,0.2604797936548979,39.872702542177244,0,0,0,0,0,0,0,1,1,1
1001121,35.73,-82.3,-5,1626,-5,1014104,SRVC,Southeast,-82.30963227885222,35.74632513465584,15024,NC,0.014993559938336766,0.23129653807812126,6.067382070243598,0.0,36.23548976872795,45.48192510085791,0.997748425455856,0.23077575668083591,45.584562140579585,0,1,2,2,3,4,4,5,6,6
