row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
404,1884,30.840858,-87.647766,404_1884,FL,0.2808671989245548,0.3259373906529551,7.177321649169049,0.02288362296172036,42.849053084756704,45.0674468273399,0.9973360547362448,0.3250691112848444,45.18782471897943,0,0,1,1,2,2,3,3,4,4
406,1884,30.876773999999997,-87.643372,406_1884,FL,3.5650826933896598,0.3208554152901201,7.69256851153428,0.02288362296172036,45.92619940477653,45.96457922934514,0.9971448492532505,0.31993932471155595,46.09619080293845,0,1,1,2,2,3,3,4,4,5
408,1884,30.912684999999996,-87.63900799999999,408_1884,FL,0.12153008302257293,0.32785249883895035,8.230396003340456,0.02288362296172036,49.13820127824697,45.17086202518127,0.9969452642138262,0.3268509960781605,45.30926987330867,0,1,1,1,2,2,3,3,4,4
402,1886,30.801174,-87.610352,402_1886,FL,0.01853956223351936,0.32897399695947327,6.229865487545585,0.02288362296172036,37.19067560772285,44.322679181280336,0.997687650886035,0.3282132942290865,44.42540623001384,0,0,1,1,1,2,2,3,3,3
404,1886,30.837082000000002,-87.60595699999999,404_1886,FL,11.533431329118349,0.31866269454054,6.75091153509179,0.02288362296172036,40.3024556977706,45.94353000667804,0.9974942933549944,0.3178642193093144,46.058940199197075,0,1,1,2,2,3,3,4,4,5
406,1886,30.872993,-87.601562,406_1886,FL,16.108129410795993,0.3369257740645923,7.296455814332199,0.02288362296172036,43.560543604538964,43.6379966883122,0.997291844655107,0.3360133267287271,43.756496077037006,0,0,1,1,1,2,2,2,3,3
408,1886,30.908909,-87.597137,408_1886,FL,15.004922698901455,0.33713690322805706,7.861241670487356,0.02288362296172036,46.933545646490614,43.801906414555155,0.9970822555041537,0.33615322388431673,43.930083172935056,0,0,1,1,1,2,2,2,3,3
410,1886,30.944836,-87.592712,410_1886,FL,10.098595258609212,0.3368758819518401,8.37848195407612,1.4899659495397517,49.04849065433329,44.01111974136951,0.9968596780913994,0.3358179832392676,44.14976421318773,0,0,1,1,1,2,2,3,3,3
412,1886,30.980755,-87.588318,412_1886,FL,10.450398494444551,0.3359903444919516,8.865795156075583,1.4899659495397517,51.958812163805774,44.292683952045,0.9966788386473122,0.33487446634494866,44.44027728346157,0,0,1,1,1,2,2,3,3,3
414,1886,31.016689000000003,-87.583893,414_1886,FL,0.7431321741793137,0.3427000396531487,9.37616214757125,1.4899659495397517,55.006815023117255,43.595487256816305,0.9964894440595116,0.3414969719931387,43.7490708172647,0,0,1,1,1,2,2,2,3,3
402,1888,30.797394,-87.56854200000001,402_1888,FL,6.927358083578881,0.32069932756451164,5.81188100667272,0.02288362296172036,34.69439760762195,45.31750631721361,0.9978427627952712,0.32000750304355796,45.415478276622494,0,1,1,1,2,2,3,3,4,4
404,1888,30.833298,-87.564148,404_1888,FL,16.106236685292505,0.32547563929531703,6.367385503314224,0.02288362296172036,38.011969712278855,44.84731204387039,0.9976366179095008,0.3247064159985127,44.95355446940767,0,0,1,1,2,2,2,3,3,4
406,1888,30.869204999999997,-87.559692,406_1888,FL,16.108838326676594,0.3317561085829978,6.942863883676362,0.02288362296172036,41.448829419203356,44.19632693371752,0.9974230608173434,0.3309011932677046,44.310512429400426,0,0,1,1,1,2,2,3,3,3
