row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
404,1884,30.840858,-87.647766,404_1884,FL,0.2808671989245548,0.25023553942667154,7.177321649169049,0.02288362296172036,42.849053084756704,58.70135815219983,0.9973360547362448,0.2495689256465926,58.85815305025142,0,0,1,1,1,2,2,3,3,3
406,1884,30.876773999999997,-87.643372,406_1884,FL,3.5650826933896598,0.24598379055621666,7.69256851153428,0.02288362296172036,45.92619940477653,59.95510567553714,0.9971448492532505,0.2452814697529218,60.12677668689436,0,0,1,1,2,2,3,3,4,4
408,1884,30.912684999999996,-87.63900799999999,408_1884,FL,0.12153008302257293,0.25376096105558277,8.230396003340456,0.02288362296172036,49.13820127824697,58.35956771310203,0.9969452642138262,0.2529857883667124,58.53838701879323,0,0,1,1,1,2,2,2,3,3
402,1886,30.801174,-87.610352,402_1886,FL,0.01853956223351936,0.25286434813624525,6.229865487545585,0.02288362296172036,37.19067560772285,57.66336390910223,0.997687650886035,0.2522796374848791,57.79701077575938,0,0,1,1,1,2,2,2,3,3
404,1886,30.837082000000002,-87.60595699999999,404_1886,FL,11.533431329118349,0.24284804370434085,6.75091153509179,0.02288362296172036,40.3024556977706,60.28662551820459,0.9974942933549944,0.24223953774750429,60.43806558074153,0,0,1,1,2,2,3,3,4,4
406,1886,30.872993,-87.601562,406_1886,FL,16.108129410795993,0.26227125645434013,7.296455814332199,0.02288362296172036,43.560543604538964,56.05938680282857,0.997291844655107,0.2615609851493615,56.21161659274931,0,0,0,1,1,1,1,2,2,2
408,1886,30.908909,-87.597137,408_1886,FL,15.004922698901455,0.26322497565662845,7.861241670487356,0.02288362296172036,46.933545646490614,56.1012079011524,0.9970822555041537,0.26245695243273703,56.26537589196791,0,0,0,1,1,1,1,2,2,2
410,1886,30.944836,-87.592712,410_1886,FL,10.098595258609212,0.26300309190046606,8.37848195407612,1.4899659495397517,49.04849065433329,56.373043645330704,0.9968596780913994,0.2621771775289413,56.5506308302722,0,0,0,1,1,1,1,2,2,2
412,1886,30.980755,-87.588318,412_1886,FL,10.450398494444551,0.26189580854697947,8.865795156075583,1.4899659495397517,51.958812163805774,56.823796539879275,0.9966788386473122,0.2610260103092023,57.01314639829241,0,0,0,1,1,1,2,2,2,3
414,1886,31.016689000000003,-87.583893,414_1886,FL,0.7431321741793137,0.26883342482337746,9.37616214757125,1.4899659495397517,55.006815023117255,55.574098427027536,0.9964894440595116,0.2678896700468619,55.76988171658803,0,0,0,1,1,1,1,2,2,2
