row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
404,1884,30.840858,-87.647766,404_1884,FL,0.2808671989245548,0.22294034229782111,7.177321649169049,0.02288362296172036,42.849053084756704,65.88832631588512,0.9973360547362448,0.22234644142885687,66.0643180430391,0,0,1,1,1,2,2,3,3,3
406,1884,30.876773999999997,-87.643372,406_1884,FL,3.5650826933896598,0.21917272533833565,7.69256851153428,0.02288362296172036,45.92619940477653,67.28932231189253,0.9971448492532505,0.21854695416791878,67.4819935762439,0,0,1,1,2,2,3,3,4,4
408,1884,30.912684999999996,-87.63900799999999,408_1884,FL,0.12153008302257293,0.226727963293717,8.230396003340456,0.02288362296172036,49.13820127824697,65.31783629388569,0.9969452642138262,0.2260353692705174,65.51797640103561,0,0,1,1,1,2,2,2,3,3
402,1886,30.801174,-87.610352,402_1886,FL,0.01853956223351936,0.2251675036574208,6.229865487545585,0.02288362296172036,37.19067560772285,64.75627561427505,0.997687650886035,0.22464683777984484,64.90636178243335,0,0,1,1,1,2,2,2,3,3
404,1886,30.837082000000002,-87.60595699999999,404_1886,FL,11.533431329118349,0.21627584205214212,6.75091153509179,0.02288362296172036,40.3024556977706,67.69359411442028,0.9974942933549944,0.2157339182375579,67.8636404893487,0,0,1,1,2,2,3,3,4,4
406,1886,30.872993,-87.601562,406_1886,FL,16.108129410795993,0.2348810013329251,7.296455814332199,0.02288362296172036,43.560543604538964,62.59665843299816,0.997291844655107,0.23424490709375154,62.76664024525935,0,0,0,1,1,1,1,2,2,2
408,1886,30.908909,-87.597137,408_1886,FL,15.004922698901455,0.2355993079574513,7.861241670487356,0.02288362296172036,46.933545646490614,62.67946715172534,0.9970822555041537,0.23491188937343324,62.86288498839325,0,0,0,1,1,1,1,2,2,2
410,1886,30.944836,-87.592712,410_1886,FL,10.098595258609212,0.23515802102511751,8.37848195407612,1.4899659495397517,49.04849065433329,63.04817804610747,0.9968596780913994,0.2344195491397092,63.24679333687198,0,0,0,1,1,1,1,2,2,2
412,1886,30.980755,-87.588318,412_1886,FL,10.450398494444551,0.23415252134360587,8.865795156075583,1.4899659495397517,51.958812163805774,63.55649750908449,0.9966788386473122,0.23337486303908508,63.768282263665846,0,0,0,1,1,1,2,2,2,2
414,1886,31.016689000000003,-87.583893,414_1886,FL,0.7431321741793137,0.24068094695100484,9.37616214757125,1.4899659495397517,55.006815023117255,62.07460707162101,0.9964894440595116,0.23983602302292362,62.29329115493754,0,0,0,1,1,1,1,2,2,2
402,1888,30.797394,-87.56854200000001,402_1888,FL,6.927358083578881,0.21771242681035746,5.81188100667272,0.02288362296172036,34.69439760762195,66.75454412848198,0.9978427627952712,0.21724276946331036,66.8988608400401,0,0,1,1,2,2,2,3,3,4
404,1888,30.833298,-87.564148,404_1888,FL,16.106236685292505,0.22344005248825383,6.367385503314224,0.02288362296172036,38.011969712278855,65.32717565899529,0.9976366179095008,0.2229119782699029,65.48193449022072,0,0,1,1,1,2,2,2,3,3
406,1888,30.869204999999997,-87.559692,406_1888,FL,16.108838326676594,0.22967755876531093,6.942863883676362,0.02288362296172036,41.448829419203356,63.83906863175254,0.9974230608173434,0.2290856936647517,64.00400305507202,0,0,1,1,1,1,2,2,2,3
408,1888,30.905116999999997,-87.555267,408_1888,FL,16.112260693402625,0.24038158559285472,7.428324401017853,1.4899659495397517,43.373979984999416,61.226900006378735,0.9972122767137747,0.23971146824911774,61.39806081022849,0,0,0,0,1,1,1,1,2,2
410,1888,30.941044,-87.550842,410_1888,FL,16.114931965682107,0.24346237069988005,7.917347965905756,1.4899659495397517,46.29451608722827,60.68142633238427,0.997030802562742,0.24273948285272923,60.86213803666878,0,0,0,0,1,1,1,1,2,2
412,1888,30.976963,-87.546387,412_1888,FL,16.120552213683318,0.24240655867970767,8.431551143567582,1.4899659495397517,49.36542933572665,61.18787786106967,0.9968399843858187,0.24164055016929983,61.38184545112248,0,0,0,0,1,1,1,1,2,2
414,1888,31.012890000000002,-87.541962,414_1888,FL,2.4485946946635724,0.24397940270836907,8.967232157886196,1.4899659495397517,52.56461206213513,61.04406167327088,0.9966411958932435,0.24315992368858821,61.24978771177515,0,0,0,0,1,1,1,1,2,2
398,1890,30.721802,-87.535645,398_1890,FL,0.442874905103895,0.223648848205992,4.3386617694287,0.02288362296172036,25.896069106099766,64.23068218793485,0.9983894669411646,0.2232886543423858,64.33429469636019,0,0,1,1,1,1,2,2,2,3
400,1890,30.757694,-87.531189,400_1890,FL,10.492582176887773,0.21831679780601743,4.87725462674113,0.02288362296172036,29.11264187911965,66.08104112320699,0.9981895978785041,0.21792155661211124,66.2008913573653,0,0,1,1,1,2,2,3,3,3
402,1890,30.793587,-87.526764,402_1890,FL,16.030882944785052,0.23875547122150692,5.445378992041318,0.02288362296172036,32.50558209416919,60.695805625590204,0.9979787698238327,0.23827289145834898,60.81873428660659,0,0,0,0,1,1,1,1,2,2
404,1890,30.829502,-87.522308,404_1890,FL,16.108173622328337,0.24498708856864296,6.0234049021338985,1.4899659495397517,34.9835497239211,59.421255427348264,0.9977336351750742,0.24443185844855,59.55623157569656,0,0,0,0,0,1,1,1,1,1
406,1890,30.865398,-87.517883,406_1890,FL,16.101109543825125,0.24447911122885763,6.47863050658429,1.4899659495397517,37.702238367813095,59.75728022737253,0.9975647032747988,0.2438837320499019,59.903162202112526,0,0,0,0,0,1,1,1,1,1
408,1890,30.901305999999998,-87.513428,408_1890,FL,16.112558650939174,0.24673856795910115,6.969437548121661,1.4899659495397517,40.63342571124225,59.43714062149163,0.9973825672846768,0.246092746359193,59.59312160759558,0,0,0,0,0,1,1,1,1,1
410,1890,30.937225,-87.508972,410_1890,FL,16.11461414504175,0.24631431781572324,7.4889768234203435,1.4899659495397517,43.73620708821625,59.78029709176835,0.9971897689091331,0.24562211766167183,59.94876698059635,0,0,0,0,0,1,1,1,1,1
412,1890,30.973141,-87.504517,412_1890,FL,16.1172238587524,0.2478846520960499,8.031396494539198,1.4899659495397517,46.975634277016106,59.65138634331975,0.996988479735385,0.2471381424429756,59.83157032983178,0,0,0,0,0,1,1,1,1,1
414,1890,31.009068,-87.500031,414_1890,FL,3.9458956189443017,0.25458704927695436,8.592276639078147,1.4899659495397517,50.32531071137124,58.33246666198483,0.9967803399740943,0.2537673655312841,58.520884012921904,0,0,0,0,0,0,1,1,1,1
398,1892,30.717983,-87.49389599999999,398_1892,FL,8.451348330869173,0.20683418488899927,3.9499466940930783,0.02288362296172036,23.574593225364822,69.23780143719837,0.9985337171232724,0.2065309074653746,69.33947271872718,0,1,1,2,2,3,3,4,4,5
400,1892,30.753871999999998,-87.489441,400_1892,FL,16.092288540648717,0.22056951018836776,4.53518449270157,0.02288362296172036,27.06973792174941,65.22910704820413,0.9983165383607745,0.22019818987918288,65.3391029215139,0,0,1,1,1,2,2,2,3,3
402,1892,30.789764,-87.484985,402_1892,FL,16.102080172010073,0.23502946007688308,5.077189720593667,1.4899659495397517,29.33258360166739,61.47920745693045,0.9980847708034842,0.2345793247929025,61.597180174824324,0,0,0,0,1,1,1,1,2,2
404,1892,30.825668,-87.480499,404_1892,FL,16.098353616372126,0.24618075409376358,5.528629325839,1.4899659495397517,32.02866158187098,58.90370751950029,0.9979172438682061,0.24566801961864515,59.02664562762044,0,0,0,0,0,1,1,1,1,1
406,1892,30.861568,-87.47604399999999,406_1892,FL,16.111218838962365,0.252217678672114,6.022410625494496,1.4899659495397517,34.97761172618546,57.7173136355162,0.9977340041460645,0.25164615445795374,57.84839786523563,0,0,0,0,0,0,0,1,1,1
408,1892,30.897479999999998,-87.471558,408_1892,FL,16.113322199586328,0.24544111704211477,6.548430957750631,1.4899659495397517,38.119099133264925,59.55552608150142,0.9975388006833358,0.2448370375325694,59.70246574940704,0,0,0,0,0,1,1,1,1,1
410,1892,30.933388,-87.467102,410_1892,FL,16.114787265441745,0.24051487101485175,7.099615187354238,1.4899659495397517,41.410869831279314,61.03695526054881,0.9973342590266309,0.23987372066848286,61.2000988716853,0,0,0,0,1,1,1,1,2,2
412,1892,30.969307,-87.462616,412_1892,FL,16.123595539811806,0.24548567162760176,7.670248260495006,1.4899659495397517,44.81879249777786,60.06638222768801,0.9971225000032735,0.24477928660829695,60.239722027625305,0,0,0,0,0,1,1,1,1,2
414,1892,31.005226,-87.45813000000001,414_1892,FL,5.965985643684824,0.2500945680868204,8.256268091133167,1.4899659495397517,48.31860762916751,59.22692978762561,0.9969050310326776,0.2493205331596958,59.41080438351625,0,0,0,0,0,1,1,1,1,1
396,1894,30.678271999999996,-87.456604,396_1894,FL,0.2081883420447716,0.21780267392085423,3.036247165819194,0.02288362296172036,18.117816393914907,65.27211245265657,0.998872786358577,0.21755716377567225,65.3457710972467,0,0,1,1,1,2,2,2,3,3
398,1894,30.714153000000003,-87.452148,398_1894,FL,15.16280068115991,0.209466214861716,3.645208701025032,0.02288362296172036,21.75464348392444,68.20172308488728,0.9986468038384129,0.20918276598378294,68.29413845089793,0,0,1,1,2,2,3,3,4,4
400,1894,30.750038,-87.447662,400_1894,FL,16.0945557855878,0.22099653707227776,4.132561517624345,1.4899659495397517,23.69109519898097,64.89509227070477,0.9984353175122398,0.22065074766086512,64.99679161230112,0,0,1,1,1,2,2,2,3,3
402,1894,30.785931,-87.443176,402_1894,FL,16.09682903491808,0.23123342334900682,4.578992955280712,1.4899659495397517,26.357263507545447,62.242529428679404,0.9982696490824136,0.23083330838273822,62.35041753086582,0,0,0,1,1,1,1,2,2,2
404,1894,30.821831,-87.438721,404_1894,FL,16.097543530858854,0.2493683113178384,5.076978932798012,1.4899659495397517,29.33132473929076,57.944013798956455,0.9980848490257602,0.24889073335347353,58.05519826848002,0,0,0,0,0,0,0,1,1,1
406,1894,30.857722999999996,-87.43420400000001,406_1894,FL,16.105915842101794,0.2391903921101767,5.611465154164551,1.4899659495397517,32.523371948718555,60.66470794600837,0.9978865039147564,0.23868486415282397,60.79319412379847,0,0,0,0,1,1,1,1,2,2
408,1894,30.893631,-87.42971800000001,408_1894,FL,16.109884206822382,0.23883019119692303,6.173738116120293,1.4899659495397517,35.88136653753825,61.02495509045604,0.9976778472860255,0.23827559102025606,61.16699419202471,0,0,0,0,1,1,1,1,2,2
410,1894,30.929543,-87.425232,410_1894,FL,16.116687638278886,0.24128213852296576,6.756371534683174,1.4899659495397517,39.36095741097185,60.68046497715864,0.9974616349956807,0.24066967638637177,60.83488612313535,0,0,0,0,1,1,1,1,2,2
412,1894,30.965453999999998,-87.420715,412_1894,FL,16.119969710447076,0.2493218142173789,7.354184379899628,1.4899659495397517,42.93120253245392,58.99746830380951,0.9972397896975161,0.24863363357714213,59.16076445536201,0,0,0,0,0,1,1,1,1,1
414,1894,31.001377,-87.416199,414_1894,FL,7.7283037617616035,0.24345536380100247,7.964078952487166,1.4899659495397517,46.57360188841061,60.705084780641165,0.9970134609319379,0.2427282748456815,60.88692596376617,0,0,0,0,1,1,1,1,2,2
374,1896,30.280109000000003,-87.463989,374_1896,FL,0.9475114607259446,0.28722638679585005,4.474757957632486,0.0,26.724054017718377,50.06731570098331,0.9983394401420633,0.2867494301877967,50.15059376383922,0,0,0,0,0,0,0,0,0,0
376,1896,30.315936999999998,-87.459564,376_1896,FL,0.1363409995839332,0.272701390667761,3.9284251936687697,0.0,23.461257139305673,52.50537005485154,0.9985421814446105,0.272303841520365,52.5820251067321,0,0,0,0,0,0,0,0,0,0
384,1896,30.459263,-87.441742,384_1896,FL,0.7624322540222248,0.21482835068299316,1.5001946232489185,0.02288362296172036,8.944236166701838,65.35958646169095,0.999442807623643,0.21470864996376726,65.39602462805776,0,0,1,1,1,2,2,2,3,3
386,1896,30.495113,-87.437286,386_1896,FL,4.1392922248989965,0.2116694475936711,0.9656120886550186,0.02288362296172036,5.7516137574721835,66.04669174661325,0.9996411884759943,0.21159349815659456,66.07039856701475,0,0,1,1,1,2,2,3,3,3
388,1896,30.530959999999997,-87.43283100000001,388_1896,FL,11.844613626246955,0.21482459007756172,0.715366655683077,0.02288362296172036,4.257103320986417,64.94368229498318,0.9997340532799813,0.21476745818245124,64.96095844881191,0,0,1,1,1,2,2,2,3,3
390,1896,30.566817999999998,-87.428345,390_1896,FL,4.251617809069783,0.21073325554288283,0.994675072846255,0.02288362296172036,5.925183091678951,66.35585073476383,0.9996304033507748,0.21065536923775385,66.38038470252417,0,0,1,1,1,2,2,3,3,3
392,1896,30.602676000000002,-87.423859,392_1896,FL,0.3805251785174012,0.22017637878305574,1.5378402260482251,0.02288362296172036,9.169062432672774,63.79153695669006,0.9994288375324273,0.2200506222992488,63.82799311073539,0,0,0,1,1,1,2,2,2,3
396,1896,30.674415999999997,-87.414917,396_1896,FL,7.229148232365572,0.22086024105050048,2.7945751192329458,0.02288362296172036,16.674507752711776,64.24357966826183,0.9989624696225985,0.22063109184125038,64.31030356178711,0,0,1,1,1,1,2,2,2,3
398,1896,30.7103,-87.4104,398_1896,FL,16.086897477814034,0.23284050104248968,3.191410060974956,1.4899659495397517,18.07037054649949,61.13263465842713,0.9987845740181664,0.2325575006478995,61.20702726964144,0,0,0,0,1,1,1,1,2,2
400,1896,30.746178000000004,-87.405914,400_1896,FL,16.087219380131053,0.24327926388306925,3.6295927125407954,1.4899659495397517,20.68727563073965,58.715132175903896,0.9986219666707918,0.24294401694913315,58.79615523745039,0,0,0,0,0,0,1,1,1,1
402,1896,30.782065999999997,-87.40142800000001,402_1896,FL,16.097280124768275,0.23931505773373002,4.133220515343221,1.4899659495397517,23.69503085109972,59.92797122201484,0.998435072961547,0.23894054712917356,60.02190111797371,0,0,0,0,0,1,1,1,1,1
404,1896,30.817959000000002,-87.396912,404_1896,FL,16.106403727849663,0.22879768726209881,4.6802296167092186,1.4899659495397517,26.96186693731851,62.95566194995816,0.998232080673639,0.22839319140896144,63.067159600274174,0,0,0,1,1,1,1,2,2,2
406,1896,30.853859000000003,-87.392395,406_1896,FL,16.101340432039382,0.21886099264407238,5.256925069094413,1.4899659495397517,30.405995215816173,66.11476304476163,0.9980180719322607,0.2184272258998178,66.24605796642238,0,0,1,1,1,2,2,3,3,3
408,1896,30.889754999999997,-87.387878,408_1896,FL,16.110657837327896,0.2253268250326386,5.854144558374177,1.4899659495397517,33.97269670963077,64.52014049851223,0.9977964468254582,0.2248303053920285,64.66262803779914,0,0,1,1,1,2,2,2,3,3
410,1896,30.925671,-87.383362,410_1896,FL,16.119650385454193,0.2381385900049854,6.466462544116127,1.4899659495397517,37.62956912193129,61.34250531308081,0.9975692187436171,0.23755972718397986,61.491978862718184,0,0,0,0,1,1,1,1,2,2
412,1896,30.961582,-87.378845,412_1896,FL,16.120903637170688,0.23454465826563145,7.089524252468086,1.4899659495397517,41.35060496521504,62.58570797122678,0.9973380037211058,0.23392030125809382,62.752755573052596,0,0,0,1,1,1,1,2,2,2
