Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
100181,41.89,-124.18,-8,8,-8,171609,NWPP,Northwest,-124.19683274095422,41.89758544663672,41646,132.43632205220626,0.22898721910115047,32.03098586053223,32.32626237184909,169.83093176393876,58.88404420606923,0.9874385031046399,0.22611079685933422,59.63312552724028,0,1,2,3,4,5,6,7,8,9
100488,40.21,-124.14,-8,297,-8,151164,CAMX,California,-124.15134754201412,40.21311683683747,9831,53.741283697987534,0.27163110799711127,24.635063531716753,14.797129000627985,137.30007321879663,46.531526725731545,0.9905490945220137,0.2690639480705499,46.97548761900104,0,1,2,2,3,4,5,6,6,7
100606,40.57,-124.14,-8,40,-8,155574,CAMX,California,-124.15115490949972,40.573159858121855,39261,190.5077771471036,0.22271420522200494,23.14870083426177,14.797129000627985,128.42324962458272,55.98984600853019,0.9911006761389631,0.22073219938128089,56.49259187941449,0,1,2,3,4,5,6,7,8,9
100727,42.01,-124.14,-8,217,-8,173078,NWPP,Northwest,-124.13775844664328,42.01958487362925,41647,59.16214109714336,0.23274390837808093,33.295829624284714,32.32626237184909,177.3848047078017,58.553979713809966,0.9869691260342967,0.22971105184172094,59.32706319708651,0,1,2,3,4,5,6,7,8,9
100817,41.77,-124.1,-8,134,-8,170148,NWPP,Northwest,-124.08188052476255,41.77960538146093,41649,136.43615047885356,0.2283316385306268,29.671540922729488,32.32626237184909,155.73990503876738,57.87349746090919,0.9883140810884824,0.22566337351782395,58.55779915345338,0,1,2,3,4,5,6,7,8,9
100895,40.33,-124.1,-8,824,-8,152635,CAMX,California,-124.09519495200556,40.334281204801506,39257,6.845031100264994,0.27126688737473825,23.38101705856821,14.797129000627985,129.81068362354756,46.066271826090635,0.9910144647728774,0.26882940920228066,46.48395504161303,0,1,2,2,3,4,5,6,6,7
101012,41.05,-124.1,-8,178,-8,161425,CAMX,California,-124.088860369976,41.055966437169545,41085,228.28086445536775,0.23445378485946974,22.99130985921444,32.32626237184909,115.8443715858988,53.10968665091853,0.9907930807686537,0.23229518779878516,53.603207048757575,0,1,2,3,4,5,6,7,8,9
101317,40.69,-124.1,-8,132,-8,157044,CAMX,California,-124.09292695751179,40.694852905368435,41092,181.5313274952494,0.21837452730320286,22.53313212954891,14.797129000627985,124.74696333778948,56.78072349983747,0.9913291105460365,0.21648102591739524,57.27736923670277,0,1,2,3,4,5,6,7,8,9
101869,41.17,-124.02,-8,461,-8,162879,CAMX,California,-124.03009362279688,41.177631999842255,2572,90.42042862747356,0.24741743102368816,22.591876819762874,32.32626237184909,113.45888610850938,50.14266625332348,0.9909413083325861,0.24517615280290092,50.60104552276296,0,1,2,3,4,5,6,6,7,8
101889,41.53,-124.02,-8,194,-8,167232,CAMX,California,-124.02641753603906,41.53959365699699,41651,70.2051042746838,0.2329445790627334,25.912009496726352,32.32626237184909,133.28731165582278,54.885073093692355,0.989709224028007,0.23054739858570858,55.45575585353867,0,1,2,3,4,5,6,7,8,9
