Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
545370,39.97,-102.14,-7,1117,-7,558353,RMPA,Rocky Mountains,-102.13742532560292,39.9577877989355,20786,0.8403173683908447,0.27398802986236503,45.653706956218244,342.78170197686643,127.85049432159292,54.888524464521126,0.9707561984230517,0.26597557828261104,56.54202832151366,0,1,2,3,4,5,6,7,8,9
545661,37.81,-102.14,-7,1133,-7,558644,RMPA,Rocky Mountains,-102.13175569386793,37.82463345753885,21022,0.6901819561534859,0.2915220600128993,38.453442022539015,299.45598589715087,103.1513491433787,48.767666596714605,0.974983077843058,0.28422907533052527,50.018987718846006,0,1,2,2,3,4,5,5,6,7
545844,37.61,-102.14,-7,1151,-7,558827,RMPA,Rocky Mountains,-102.12253215064965,37.621641395742905,5210,3.4753171695196716,0.2927005429237551,39.276686574898136,299.45598589715087,108.0679126972826,48.892387332024065,0.9746775759880179,0.2852886556673024,50.16262663318431,0,1,2,2,3,4,5,5,6,7
545931,39.77,-102.14,-7,1156,-7,558914,RMPA,Rocky Mountains,-102.12794290333012,39.75493188339029,20863,3.5026124677949277,0.27561161365020276,43.781149028558985,342.78170197686643,116.66724381198341,53.78959240227362,0.9714510951204314,0.2677432039083987,55.37035541208103,0,1,2,3,4,5,6,7,8,9
546378,37.01,-102.1,-7,1114,-7,559361,RMPA,Rocky Mountains,-102.10170880080776,36.99120777635103,28706,8.478688133740366,0.29528245551457627,44.855023136294314,299.45598589715087,141.38273531053474,50.62144549696208,0.9726074837381979,0.2871939260500684,52.04714784056518,0,1,2,3,4,5,5,6,7,8
546487,37.41,-102.1,-7,1140,-7,559470,RMPA,Rocky Mountains,-102.11345483704085,37.418648475243366,20713,8.391832762108091,0.2935817198355656,40.26525630901826,299.45598589715087,113.97182777493413,49.13003013699239,0.9743107228011431,0.28603981765419256,50.425422801202025,0,1,2,2,3,4,5,5,6,7
546744,39.33,-102.1,-7,1212,-7,559727,RMPA,Rocky Mountains,-102.10912775567348,39.34918011620685,20845,13.069115335746954,0.2807532530183763,41.28329436242119,342.78170197686643,101.74960945984648,51.78886789923524,0.9723780362486042,0.2729982968404162,53.2600140774823,0,1,2,3,4,5,6,6,7,8
546849,38.73,-102.1,-7,1218,-7,559832,RMPA,Rocky Mountains,-102.0812833218146,38.74032706841268,20986,37.757687056946565,0.2868276762206359,39.03634452132204,309.9987243543149,102.17896797589796,49.7978165762809,0.9743884019330774,0.27948156106280353,51.1067419085527,0,1,2,3,3,4,5,6,7,7
546850,39.57,-102.1,-7,1134,-7,559833,RMPA,Rocky Mountains,-102.1185071951918,39.552055427278965,20865,7.5911287382867325,0.2769099950716712,41.92831566196924,342.78170197686643,105.60179190522311,52.7735580563225,0.9721386721337885,0.26919491490954833,54.286039192832,0,1,2,3,4,5,6,7,8,9
546975,37.21,-102.1,-7,1137,-7,559958,RMPA,Rocky Mountains,-102.10751225261204,37.20493054464065,7141,12.886525672345028,0.295052883976431,42.35937169095338,299.45598589715087,126.47825898664117,49.69527093897802,0.9735336072623689,0.28724389847074006,51.046281883091744,0,1,2,3,3,4,5,6,7,7
547244,38.93,-102.1,-7,1198,-7,560227,RMPA,Rocky Mountains,-102.09054143331531,38.94336045036304,20983,28.18056512839831,0.2837913050760243,40.352977046466215,309.9987243543149,110.0421326557713,50.86023520748273,0.9738998063174913,0.2763842970481281,52.22327274075081,0,1,2,3,4,5,6,6,7,8
547262,39.13,-102.1,-7,1214,-7,560245,RMPA,Rocky Mountains,-102.09982279271557,39.146311897402846,20840,19.910272972845885,0.2818663268073467,41.62460585178492,342.78170197686643,103.7879826556674,51.722587074402824,0.9722513772955041,0.2740449244516675,53.198779947505656,0,1,2,3,4,5,6,6,7,8
547615,37.93,-102.06,-7,1072,-7,560598,RMPA,Rocky Mountains,-102.04482743491079,37.92820673378471,21032,88.83894379988497,0.28838915063132115,37.153571623053395,299.4564134917021,95.38811024361574,48.782915604120554,0.9754654377735396,0.2813136490697209,50.009886270768945,0,1,2,2,3,4,5,5,6,7
547864,38.13,-102.06,-7,1098,-7,560847,RMPA,Rocky Mountains,-102.05387401389162,38.1312120946553,21029,74.22606218404549,0.2874853989646378,37.60515415155928,299.25381301214105,98.17062650038768,49.115586962666264,0.9753051288408584,0.28038598407707166,50.359200941596306,0,1,2,2,3,4,5,5,6,7
