Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
747310,32.53,-94.14,-6,91,-6,760293,SPSO,Lower Midwest,-94.12464470943735,32.51758880194019,31189,2.3987645232125177,0.25208866876938524,3.16269548016094,9.058009098984225,15.061799078241815,40.41525009241414,0.9985012608785448,0.251710853619425,40.475912926593836,0,0,1,1,1,1,2,2,3,3
747824,32.73,-94.1,-6,52,-6,760807,SPSO,Lower Midwest,-94.11282715084404,32.73065652515755,31208,2.4621249228101267,0.24741590197889496,3.7924640886802594,9.058009098984225,18.822889727631512,41.469112960735444,0.9982675569595849,0.2469872680214236,41.541080516567696,0,0,1,1,2,2,3,3,4,4
748190,32.93,-94.1,-6,81,-6,761173,SPSO,Lower Midwest,-94.1009516330285,32.943725126472955,31210,18.672146605607978,0.2509710047334028,7.242857072593495,9.058009098984225,39.42925310135902,42.45111293385488,0.9969871337193916,0.2502148626558311,42.57939896925793,0,1,1,2,2,3,4,4,5,5
748771,32.21,-94.06,-6,88,-6,761754,SPSO,Lower Midwest,-94.05685006162454,32.19391031326457,30898,72.48340013103201,0.2519900887505393,4.751069859394513,0.0,28.374238063054715,41.150617952328005,0.9982369022044406,0.2515458055805604,41.223298659319944,0,0,1,1,2,2,3,3,3,4
748850,32.41,-94.06,-6,90,-6,761833,SPSO,Lower Midwest,-94.04493569645149,32.40696416038117,7834,93.92548230682516,0.25252181832929094,3.079034860186073,0.0,18.388546309125008,40.30810629369646,0.9988573858656887,0.2522332833304459,40.35421559080955,0,0,0,1,1,1,2,2,2,2
748966,31.97,-94.06,-6,66,-6,761949,ERCT,Texas,-94.06874904155369,31.981031251835766,7763,25.23764275532732,0.2526286612012898,8.6422817633559,0.0,51.613250787414806,42.80492201742773,0.9967928933110831,0.25181845413213905,42.942643657140316,0,1,2,2,3,3,4,4,5,6
749209,33.05,-94.02,-6,75,-6,762192,SRMV,Southeast,-94.00878259507523,33.0461433916128,31167,42.75930052520182,0.24976481555746147,9.267546986927544,9.058009098984225,51.521063016463394,43.58150857405703,0.9962357816175919,0.24882464624746128,43.74617874424624,0,1,2,2,3,4,5,5,6,7
749445,32.85,-94.02,-6,69,-6,762428,SPSO,Lower Midwest,-94.02089306483127,32.83308305440696,7839,117.79201720865696,0.25267352758196976,5.560932637840977,9.058009098984225,29.38449987143732,41.405200057676986,0.9976112872997365,0.2520699631176143,41.5043420065441,0,0,1,1,2,2,3,3,4,4
749588,32.61,-94.02,-6,76,-6,762571,SPSO,Lower Midwest,-94.03294098088855,32.6200186474486,31216,107.61063265052681,0.25244762724449116,1.2473529607817258,9.058009098984225,3.623031342655871,39.491677130327155,0.9992120347197211,0.25224870727913373,39.52281974006104,0,0,0,0,0,1,1,1,1,1
750105,32.09,-93.98,-6,81,-6,763088,SPSO,Lower Midwest,-93.97752772029284,32.083330909047945,30900,179.3639690598473,0.2523869531097888,6.1218230703083485,0.0,36.56062114796321,41.70590601968552,0.9977282226783674,0.251813586153438,41.80086828427831,0,1,1,1,2,2,3,3,4,4
