Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1000005,38.93,-82.34,-5,212,-5,1012988,RFCW,Great Lakes - Mid-Atlantic,-82.34985455464229,38.93348792886092,4247,191.5214907878181,0.21939133433258376,5.192813728042267,46.93199607020749,19.11539514963284,47.49492628736354,0.9958959951769147,0.21849095123833973,47.69064894063196,0,1,1,2,2,2,3,3,4,5
1000194,40.61,-82.34,-5,371,-5,1013177,RFCW,Great Lakes - Mid-Atlantic,-82.34435911558019,40.62204796343047,4311,191.70996835578782,0.21761897834601884,7.640193724590389,13.345795679743278,39.99092481390975,49.16554894097955,0.9966858016022933,0.21689774587667388,49.32903515023488,0,1,2,3,4,4,5,5,6,7
1000543,40.01,-82.34,-5,300,-5,1013526,RFCW,Great Lakes - Mid-Atlantic,-82.32240354551513,40.01996680267421,17203,180.76149458237234,0.21870796174359144,4.180761073404982,2.7374139241224187,23.81188372921668,47.11508463205611,0.9983502990261014,0.21834715900610366,47.19293886926988,0,0,1,1,2,2,3,3,3,4
1000571,39.77,-82.34,-5,301,-5,1013554,RFCW,Great Lakes - Mid-Atlantic,-82.3471455936548,39.777714071265386,17219,191.70740468536056,0.21858053455646115,4.136675198098201,2.7374139241224187,23.548595005162397,47.11952742720527,0.9983666590696009,0.21822351802278156,47.19661559122673,0,0,1,1,2,2,3,3,3,4
1000767,39.41,-82.3,-5,292,-5,1013750,RFCW,Great Lakes - Mid-Atlantic,-82.3008183843717,39.4178119775282,4310,187.56480778753425,0.21891556452223535,8.61831652815224,60.37031961698768,36.1665649692655,49.38440264966615,0.9940014611836994,0.21760239101095635,49.682424602129956,0,1,2,3,4,4,5,6,7,8
1000890,40.25,-82.3,-5,340,-5,1013873,RFCW,Great Lakes - Mid-Atlantic,-82.29748220024213,40.26219294315703,17176,191.6923463092077,0.21718543157138667,6.577325547752088,23.41752755391877,29.388674884481663,48.705037304598974,0.9967187665478767,0.2164727954680008,48.86537601101692,0,1,2,2,3,4,5,5,6,7
1001048,38.57,-82.3,-5,230,-5,1014031,RFCW,Great Lakes - Mid-Atlantic,-82.30406672261856,38.57382091579846,16935,134.37441944460016,0.22164006257543678,2.2749932125357204,1.4345473089335732,13.223015672380564,45.51023222638563,0.9990892189977684,0.22143819701710965,45.55171986745989,0,0,0,0,1,1,1,1,1,2
1001348,40.85,-82.3,-5,336,-5,1014331,RFCW,Great Lakes - Mid-Atlantic,-82.31928900460039,40.86425250568949,17158,191.7172919378191,0.21751158900751488,8.578542965373385,13.345795679743278,45.59491413257166,49.682290828300964,0.996337584984384,0.21671497129786327,49.86491684851943,0,1,2,3,4,4,5,6,7,8
1001374,41.09,-82.3,-5,285,-5,1014357,RFCW,Great Lakes - Mid-Atlantic,-82.29403467836501,41.106449157121844,74,189.96631224484256,0.21526589643655167,4.8477203535706055,1.5020908405051654,28.316922419860283,48.22213459363226,0.9981471278126209,0.21486703624415315,48.31164990606961,0,1,1,2,3,3,4,4,5,6
1001504,39.89,-82.26,-5,293,-5,1014487,RFCW,Great Lakes - Mid-Atlantic,-82.25109595035158,39.90228389325736,4321,191.70824265981238,0.2180730642830365,4.61726639243308,2.7374139241224187,26.418771483856286,47.48075391894017,0.9981883141282775,0.21767798439347166,47.56693025444336,0,1,1,2,2,2,3,3,4,5
1001851,40.73,-82.26,-5,381,-5,1014834,RFCW,Great Lakes - Mid-Atlantic,-82.24709207438778,40.74658933880385,17161,191.71174764266402,0.21619714817293517,8.609218208016909,13.345795679743278,45.778112162313995,50.00054744005306,0.996326201558275,0.21540288342687205,50.18491670885616,0,1,2,3,4,5,6,6,7,8
