Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
100197,42.97,-124.18,-8,161,-8,184892,NWPP,Northwest,-124.18778480704323,42.98297672285897,40820,193.17572883622188,0.21914821482067912,13.909480705361723,23.266382854858264,67.62160117316314,52.08816585371718,0.9943524684635925,0.21791056836633194,52.384006180625626,0,1,2,3,3,4,4,5,5,6
100212,42.61,-124.18,-8,473,-8,180446,NWPP,Northwest,-124.19094093238294,42.62124976383894,40828,0.5761802759001293,0.2376948534069832,12.747616121650202,79.51873185561797,23.33256982969883,47.465880960668905,0.99360910052038,0.23617576949203617,47.771181781456846,0,1,1,2,2,2,3,3,4,4
100270,43.33,-124.18,-8,27,-8,189319,NWPP,Northwest,-124.1844808746173,43.34487387440735,40891,135.56393756560857,0.21475902657814092,12.477969334611675,109.90381413652685,1.547247912106567,52.39180955214318,0.9930747348572313,0.21327176337728437,52.757166921254175,0,1,2,3,3,4,5,5,6,7
100284,43.69,-124.18,-8,16,-8,193715,NWPP,Northwest,-124.18115019577915,43.70677549242695,40876,141.1951691763813,0.2183298174719368,10.307599716263494,78.03670005390981,9.744388366225806,50.40014716564069,0.9945455224862282,0.21713894239195022,50.67656132988985,0,1,1,2,3,3,4,5,5,6
100314,43.09,-124.14,-8,86,-8,186374,NWPP,Northwest,-124.12765878325274,43.10497252651439,10216,190.03501519342583,0.2160285211957443,12.774524407500985,92.85008695224687,14.641580857200895,52.24063598844335,0.9933207608206192,0.21458561503311,52.5919099337916,0,1,2,3,3,4,4,5,6,6
100404,43.45,-124.14,-8,139,-8,190790,NWPP,Northwest,-124.12393050196562,43.466953448540174,40864,186.0184674056416,0.21067549750654319,14.176717993046573,78.03670005390981,32.85145400165937,54.327794334318114,0.9931097124252446,0.20922388274376844,54.70472562557643,0,1,2,3,3,4,5,6,6,7
100559,42.73,-124.14,-8,744,-8,181929,NWPP,Northwest,-124.13116744646835,42.743251069349476,40824,12.711205561801396,0.2423333602696101,12.600132646228884,23.266382854858264,59.80194062580833,46.48786114742916,0.9948383608509906,0.2410825229101315,46.729059691328324,0,1,1,1,2,2,2,3,3,3
100572,43.81,-124.14,-8,36,-8,195173,NWPP,Northwest,-124.1202994490005,43.82877442609593,10234,140.32983980047308,0.21214211303446767,10.139965961116816,78.03670005390981,8.74324962975142,51.780000211602385,0.9946077305178731,0.210998185592478,52.060725673870984,0,1,2,3,3,4,4,5,5,6
100727,42.01,-124.14,-8,217,-8,173078,NWPP,Northwest,-124.13775844664328,42.01958487362925,41647,130.4354885172664,0.23274390837808093,14.422602202632438,0.0,86.13435720736454,49.29711868065024,0.9946478458742488,0.23149822710861173,49.56238419972688,0,1,1,2,2,3,3,4,4,5
101468,44.69,-124.06,-8,39,-8,205807,NWPP,Northwest,-124.05105202918516,44.67447983117477,40881,137.28307600294505,0.19846353683057916,6.765685025198901,41.0000222389865,13.182879056054215,53.40793044115237,0.9966332222342674,0.19779535420746933,53.58835050814547,0,1,2,3,3,4,5,6,6,7
101528,42.85,-124.06,-8,244,-8,183413,NWPP,Northwest,-124.07116274944825,42.86521627907719,40823,99.93467577155378,0.21652607890529124,11.692967394044466,23.266382854858264,54.384187658628846,51.55038128823195,0.9951750052497615,0.2154813417112835,51.80031754846397,0,1,2,2,3,3,4,5,5,6
101578,43.21,-124.06,-8,115,-8,187851,NWPP,Northwest,-124.06723351832592,43.22702322074084,40890,193.32319633820146,0.21661436944933876,10.543083451596196,92.85008695224687,1.315016782101828,50.92338363434187,0.9941488371795675,0.21534692350444537,51.22309832279556,0,1,2,2,3,3,4,5,5,6
101579,43.97,-124.06,-8,33,-8,197114,NWPP,Northwest,-124.059199472271,43.95074094138168,40877,197.99512284293925,0.2121209584620052,9.055831767327405,72.82438609835022,5.729454076365055,51.20172530521889,0.9951188785356285,0.21108557029861327,51.45287302816022,0,1,2,2,3,3,4,5,5,6
101610,43.57,-124.06,-8,151,-8,192258,NWPP,Northwest,-124.06320265364401,43.58891777513609,40866,186.24744461603626,0.2079424909352459,11.906524849846829,78.03670005390981,19.29345494027043,53.7955498229427,0.9939521695232716,0.2066848900011609,54.12287580069834,0,1,2,3,3,4,5,6,6,7
101648,44.33,-124.06,-8,158,-8,201465,NWPP,Northwest,-124.05515047031288,44.312601243870446,40888,254.80078843167718,0.1987933581941195,10.257373467312508,40.82566807274212,34.15163313844938,55.32439031705799,0.9953411149159785,0.19786720278282638,55.58334674211482,0,1,2,3,4,4,5,6,7,7
101758,42.13,-124.06,-8,458,-8,174551,NWPP,Northwest,-124.07844089663305,42.14157520676836,41685,64.3421648741699,0.2450497313501334,12.30287808476734,0.0,73.47498604922961,45.834069568674245,0.9954344646843284,0.2439309481475585,46.044286384246426,0,0,1,1,1,2,2,3,3,3
101984,42.97,-124.02,-8,237,-8,184896,NWPP,Northwest,-124.01092056355749,42.98715126049323,40817,169.50744945558972,0.219177692045721,11.906556341807738,23.266382854858264,55.659779016118314,51.03796888258605,0.9950957434804966,0.21810278842057604,51.28950577566849,0,1,2,2,3,3,4,5,5,6
102058,43.33,-124.02,-8,320,-8,189323,NWPP,Northwest,-124.00656582402388,43.349041985531066,10230,193.24855891311915,0.2163384381713923,12.625656072006073,92.85008695224687,13.752512559661348,52.08724502187538,0.9933760051007302,0.21490541346042902,52.43457135507681,0,1,2,3,3,4,4,5,5,6
102191,43.73,-124.02,-8,73,-8,194205,NWPP,Northwest,-124.00223158899051,43.71085435289496,40880,162.5807518347147,0.2048982069540781,9.564611865138396,78.03670005390981,5.307132171372102,53.29006597378354,0.9948212414887294,0.20383708862087058,53.567479011642405,0,1,2,3,3,4,5,6,6,7
102377,44.09,-123.98,-8,185,-8,198568,NWPP,Northwest,-123.99784824131578,44.07267476625386,2558,193.220400690414,0.20466407015263893,9.68671409107714,72.82438609835022,9.497196032095724,53.419134919998,0.9948847613226263,0.2036171645851254,53.693791478905744,0,1,2,3,3,4,5,6,6,7
102574,42.01,-123.98,-8,549,-8,173082,NWPP,Northwest,-123.96326853397636,42.02347764896889,41714,19.30646143925113,0.2458121671567149,12.657282198156366,0.0,75.59155073495867,45.85649138299193,0.9953029471252216,0.24465757441031594,46.07289822203512,0,0,1,1,1,2,2,3,3,3
102630,44.81,-123.98,-8,46,-8,207255,NWPP,Northwest,-123.9889198482457,44.7964248194112,10223,188.50787045095043,0.1926322954188734,8.134758055224335,40.82566807274212,21.474994654633377,55.83598338138536,0.9961288066705994,0.19188657856182073,56.05297528540327,0,1,2,3,4,4,5,6,7,8
102763,44.45,-123.98,-8,132,-8,202916,NWPP,Northwest,-123.99341346881515,44.434553986379186,40889,186.02463690609488,0.19675280886222704,7.813981020636231,40.82566807274212,19.55925689157645,54.48051961630914,0.9962478453922529,0.19601456190386746,54.685708850751396,0,1,2,3,3,4,5,6,6,7
103047,45.29,-123.94,-8,26,-8,213026,NWPP,Northwest,-123.92272201971932,45.27755877089668,38566,237.60766119663958,0.18216482015110153,8.667014106615241,51.101007825358074,17.831151432062683,59.377949375584,0.9957167435559036,0.18138456151130164,59.63337441081233,0,1,2,3,4,5,6,7,7,8
103173,43.49,-123.94,-8,404,-8,191284,NWPP,Northwest,-123.94571969393965,43.470943804405934,40865,193.17493173956612,0.21609621512200622,13.763262387445993,78.03670005390981,30.3822232538483,52.74658311292958,0.9932631436919633,0.2146404059720187,53.104339416914534,0,1,2,3,3,4,5,6,6,7
103222,43.09,-123.94,-8,274,-8,186379,NWPP,Northwest,-123.95044046902979,43.109053715387105,40816,193.24856778008342,0.2156925903355012,12.239296560988931,23.266382854858264,57.64696305499992,52.0387290644199,0.9949722652820499,0.2146081452106668,52.30168807737391,0,1,2,3,3,4,4,5,5,6
103264,44.93,-123.94,-8,282,-8,208701,NWPP,Northwest,-123.92655663591292,44.91832964420802,40840,192.24296139178594,0.19567999683183698,9.916206531471325,5.863593544211077,55.328076021185844,56.0055985351743,0.9961977164821979,0.19493596600511973,56.219360482919875,0,1,2,3,4,4,5,6,7,8
103282,43.85,-123.94,-8,161,-8,195663,NWPP,Northwest,-123.94101040321159,43.83275919874027,40879,193.1994178971989,0.20663369137156976,10.29113835868768,1.7508515740454396,61.03348743165893,53.2438621591533,0.9960987523453276,0.20582756216773013,53.45239318269391,0,1,2,3,3,4,5,6,6,7
103322,44.57,-123.94,-8,75,-8,204364,NWPP,Northwest,-123.93141986337528,44.55647252663081,40882,188.33056495369092,0.19422854755933613,5.518554744657181,40.82566807274212,5.850561052883588,53.83946094008941,0.9970996663771716,0.19366521997233668,53.996067550306066,0,1,2,3,3,4,5,6,6,7
103333,44.21,-123.94,-8,382,-8,200019,NWPP,Northwest,-123.93624452340576,44.1945952850918,40887,193.24195100177963,0.207558118960616,10.007450236405662,1.7508515740454396,59.33925127948483,52.850697177793265,0.9962040275607684,0.20677023406150274,53.05208141669491,0,1,2,3,3,4,5,6,6,7
103463,42.13,-123.9,-8,1069,-8,174555,NWPP,Northwest,-123.9036120728577,42.14537757877933,10431,38.82037154606903,0.2557265266527645,10.417695515286828,0.0,62.216338923047765,43.078921412711914,0.9961340463219054,0.2547378997464649,43.24610886634706,0,0,0,1,1,1,1,2,2,2
103492,42.85,-123.9,-8,958,-8,183417,NWPP,Northwest,-123.89462922367277,42.86921181686135,10218,42.17861838117339,0.23845122259857726,9.565469950833236,23.266382854858264,41.67839281268464,45.79190998681808,0.9959645087012351,0.23748895476460086,45.97745159265964,0,0,1,1,1,2,2,3,3,3
103530,45.65,-123.9,-8,176,-8,217347,NWPP,Northwest,-123.91937000325058,45.63547320459754,38559,164.92023582156185,0.1847600726035591,9.290110803985678,50.45518844500062,21.981204331691607,58.92887502961791,0.9954990000387306,0.18392846752392633,59.195313131731154,0,1,2,3,4,5,6,7,7,8
103554,46.37,-123.9,-8,227,-8,226003,NWPP,Northwest,-123.91203870891572,46.35138715682683,39029,31.470023118506468,0.16886753147571915,11.235035410892179,33.820013751978514,44.641986142093295,65.78959548223447,0.9951245852402804,0.168044232220325,66.11191850550962,0,1,2,3,4,5,6,7,8,9
103646,46.01,-123.9,-8,31,-8,221667,NWPP,Northwest,-123.91599945761848,45.993396158629416,38572,193.564011167435,0.17022243679652593,9.963779756888352,66.40391661549107,15.414914631832024,64.41340098150276,0.9949160008918362,0.16935702607966294,64.74255205842806,0,1,2,3,4,5,6,7,8,9
103750,43.61,-123.9,-8,393,-8,192749,NWPP,Northwest,-123.88462765226645,43.59281323065565,10229,193.18424551744118,0.21046794828857168,12.174798076317527,78.03670005390981,20.89563058051528,53.29555174632367,0.9938526146970543,0.2091741207165214,53.62520655295473,0,1,2,3,3,4,5,6,6,7
103767,43.25,-123.9,-8,365,-8,188346,NWPP,Northwest,-123.88965648625084,43.23101098267791,40860,193.24278398172243,0.21935316264978785,12.351513514861931,77.0691826096015,54.96841091600368,51.228704835975805,0.991795543917034,0.21755348926016796,51.65248538388392,0,1,2,2,3,3,4,5,5,6
104012,43.97,-123.86,-8,265,-8,197119,NWPP,Northwest,-123.87953858004916,43.95463000130516,40870,193.1988845265325,0.20843264978315618,8.633261844691912,1.7508515740454396,51.13235268108338,51.87632783182999,0.996713981864918,0.20774773631602553,52.04735638880668,0,1,2,3,3,4,4,5,5,6
104097,44.69,-123.86,-8,140,-8,205812,NWPP,Northwest,-123.8691625651098,44.678352861709826,40843,193.15217765245305,0.19449672580058533,6.06565499820834,40.82566807274212,9.117941516238117,54.08633293601314,0.9968966402631526,0.19389313249278714,54.254704802431554,0,1,2,3,3,4,5,6,6,7
104103,46.13,-123.86,-8,11,-8,223112,NWPP,Northwest,-123.8526586177132,46.1139315047779,38571,183.3339751637618,0.1715222514760058,7.723788165325897,66.40391661549107,2.037284632862915,62.43446073369334,0.995747250348071,0.17079281028074314,62.70111286962519,0,1,2,3,4,5,6,7,8,9
104167,45.41,-123.86,-8,42,-8,214468,NWPP,Northwest,-123.86021961255187,45.39811574256657,38567,182.96311628197068,0.18277363144437,6.493496544744491,51.101007825358074,4.850516215174807,57.82264620061025,0.9965233248387206,0.18213818689979053,58.02437811475049,0,1,2,3,4,5,6,7,7,8
104206,45.05,-123.86,-8,306,-8,210146,NWPP,Northwest,-123.863928280237,45.040200385426814,9657,107.02336818439942,0.19134458034998206,10.415474051456718,0.0,62.203071944150494,57.57241377262675,0.9961348706958039,0.19060500880527223,57.79580202067638,0,1,2,3,4,5,6,7,7,8
104332,45.77,-123.86,-8,112,-8,218788,NWPP,Northwest,-123.85646031492044,45.75602772073057,9654,190.72642873134598,0.17258734761814284,11.322760082256027,50.45518844500062,34.120548990304854,64.42964082375744,0.9947446942575648,0.17168034833913356,64.77002711921472,0,1,2,3,4,5,6,7,8,9
104443,44.33,-123.86,-8,244,-8,201470,NWPP,Northwest,-123.87438540575864,44.31648256198353,10235,193.24775221807536,0.20431802094501159,8.174291370673856,5.863593544211077,44.925047456918314,52.66459870505437,0.9968441323150403,0.2036732203052563,52.83132738389874,0,1,2,3,3,4,5,5,6,7
104487,43.73,-123.82,-8,350,-8,194210,NWPP,Northwest,-123.82328790768601,43.71465490962631,40878,193.1938590328749,0.2143781274419744,9.978177943387713,1.7508515740454396,59.16443191556821,51.1537713146001,0.996214890359426,0.2135666827250656,51.3481296150314,0,1,2,2,3,3,4,5,5,6
104515,45.17,-123.82,-8,307,-8,211589,NWPP,Northwest,-123.80156246237678,45.16072637688632,38564,125.34294393194156,0.18626011137883006,10.261943400224792,51.101007825358074,27.356354135856325,59.04991112476898,0.9951248734287835,0.18535206976068938,59.339197221859926,0,1,2,3,4,5,6,7,7,8
104533,44.81,-123.82,-8,403,-8,207259,NWPP,Northwest,-123.80667319965715,44.80019128143278,40842,191.28377142499008,0.1942402249102912,7.257476986344756,5.863593544211077,39.44966814858247,54.8581912418394,0.997184357457542,0.19369331386957717,55.01308843402625,0,1,2,3,3,4,5,6,6,7
104655,43.37,-123.82,-8,329,-8,189818,NWPP,Northwest,-123.82869312703586,43.3528496046856,40859,193.16979230586068,0.22000188251528383,11.714490472278245,77.0691826096015,51.16399549024848,50.74710621187101,0.9920319399194795,0.21824889429757444,51.1547100146695,0,1,2,2,3,3,4,5,5,6
104675,43.01,-123.82,-8,576,-8,185395,NWPP,Northwest,-123.83403461337747,42.99105265013478,40818,88.41695246453905,0.2255458661803991,10.027396494377179,23.266382854858264,44.437100662084724,48.64584063488139,0.9957930901166352,0.2245970150468127,48.85135387832788,0,1,1,2,2,3,3,4,4,5
104706,44.45,-123.82,-8,521,-8,202920,NWPP,Northwest,-123.812268804083,44.438336316465,40884,146.16784679291553,0.20157835550805653,6.483589029928683,5.863593544211077,34.827871004080144,52.422910209445604,0.997471543331534,0.20106867337085377,52.555795260438394,0,1,2,3,3,4,4,5,6,6
104720,44.09,-123.82,-8,186,-8,198572,NWPP,Northwest,-123.81782204853212,44.076466138408854,40872,193.21603090203166,0.20416895426316078,7.989088776891817,1.7508515740454396,47.28523602725721,52.59949913262791,0.9969530312052579,0.2035468578306658,52.76025799233309,0,1,2,3,3,4,5,5,6,7
105010,45.53,-123.78,-8,209,-8,215910,NWPP,Northwest,-123.79744536042595,45.51864331499253,38557,180.09813527548255,0.1759032105036902,6.81094121270188,50.45518844500062,7.175160585002215,60.28709181166588,0.9964190072309144,0.17527330237881755,60.503755321976406,0,1,2,3,4,5,6,7,8,9
105036,43.13,-123.78,-8,517,-8,186875,NWPP,Northwest,-123.77319931245529,43.11286139350658,165,193.44619790950748,0.22951477732500739,10.884387861081915,77.0691826096015,46.20647438365509,48.23087408914377,0.9923399867651798,0.227756691093111,48.60317505330639,0,1,1,2,2,3,3,4,4,5
105105,42.77,-123.78,-8,856,-8,182432,NWPP,Northwest,-123.77844387301631,42.75095731822832,41681,34.93338641156207,0.24529412577133197,7.675273468307928,23.266382854858264,30.38980170197491,43.63480386517327,0.9966659509763733,0.2444763031308027,43.78077110232058,0,0,0,1,1,1,1,2,2,2
105160,42.37,-123.78,-8,529,-8,177504,NWPP,Northwest,-123.78363023377844,42.38904150491365,10432,0.28849355258603626,0.2500611768553045,7.064403646737581,0.0,42.189880759107474,42.52410231424331,0.9973784358333785,0.2494056254345974,42.63587499634628,0,0,0,1,1,1,1,2,2,2
105219,42.01,-123.78,-8,773,-8,173087,NWPP,Northwest,-123.78875641655578,42.027105703950475,41717,137.72762218509192,0.24723211484402624,10.686803893681146,0.0,63.823502239795154,44.68328512381792,0.9960341815750683,0.24625163716774298,44.861196483396256,0,0,1,1,1,1,2,2,2,3
105259,43.85,-123.78,-8,272,-8,195667,NWPP,Northwest,-123.76169825587203,43.83646365342866,10232,193.19395956433388,0.2093639754570379,8.3268439957862,1.7508515740454396,49.30237054044446,51.478489749653974,0.9968276919659929,0.20869980843566385,51.64231508067915,0,1,2,2,3,3,4,5,5,6
105361,43.49,-123.78,-8,277,-8,191288,NWPP,Northwest,-123.76748457401058,43.47465694606142,40862,193.1749806234409,0.21662041288177444,12.222933105575445,77.0691826096015,54.200505738578045,51.80721496193772,0.9918432594511924,0.21485349637632223,52.23326817848592,0,1,2,3,3,4,4,5,5,6
105439,45.89,-123.78,-8,200,-8,220230,NWPP,Northwest,-123.79327826360071,45.87654756258225,38554,191.2070567591747,0.17239557654761772,10.490673773309405,34.02745746168742,40.0587879564674,63.95032875537554,0.9953964826936412,0.17160195052744107,64.24608672749136,0,1,2,3,4,5,6,7,8,9
105539,46.01,-123.74,-8,259,-8,221671,NWPP,Northwest,-123.72982159347166,45.99703243286295,608,191.51824471906983,0.17159179775519556,8.682295206565353,34.02745746168742,29.258828057022647,63.04682408060749,0.9960675627574838,0.1709170237791927,63.29573056878847,0,1,2,3,4,5,6,7,8,9
105602,44.93,-123.74,-8,675,-8,208706,NWPP,Northwest,-123.74391944203501,44.921996709543286,40844,161.46981104974031,0.2054235860366224,8.195293556073926,5.863593544211077,45.05047626053981,52.392835207881355,0.9968363385111443,0.2047736953485757,52.55911445416836,0,1,2,3,3,4,4,5,6,6
105639,45.65,-123.74,-8,516,-8,217351,NWPP,Northwest,-123.73440464293192,45.63913111030324,38558,129.65537862437353,0.1835971433215627,9.103073762302603,50.45518844500062,20.8641857012812,59.185844462842205,0.9955684085310573,0.18278351578749663,59.44929947121346,0,1,2,3,4,5,6,7,7,8
105654,42.53,-123.74,-8,1070,-8,179470,NWPP,Northwest,-123.72328353974031,42.51082955860785,41701,10.569334797250331,0.25153175328898714,6.542397755528484,0.0,39.07236831121188,42.0385784997018,0.9975721495575073,0.2509210718104635,42.14089027881225,0,0,0,0,0,1,1,1,1,1
105745,44.21,-123.74,-8,300,-8,200024,NWPP,Northwest,-123.7558420907814,44.198289725455425,40886,191.21975405544225,0.206440957222697,7.492454464103742,1.7508515740454396,44.31924717877367,51.74598811053352,0.9971373296660234,0.20584998481873787,51.89454508524425,0,1,2,2,3,4,4,5,5,6
106027,42.13,-123.74,-8,915,-8,174559,NWPP,Northwest,-123.72876298053036,42.14891451181128,41689,45.524532586714,0.26282637259570396,8.686781842011666,0.0,51.879013207873996,41.16341123950051,0.9967763795588331,0.2619791201285267,41.29653559579649,0,0,0,0,0,0,0,1,1,1
