Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1247222,43.69,-73.5,-5,158,-5,1260205,NYUP,Northeast,-73.51641544899444,43.67607777263135,18368,0.09226834747137423,0.21055082109665413,11.813182458604054,81.26626880766051,36.221049033668905,53.078515909321005,0.9926996583791288,0.2090137281740936,53.46885683025935,0,0,0,1,1,1,1,2,2,2
1247487,44.05,-73.5,-5,258,-5,1260470,NYUP,Northeast,-73.51332841577738,44.038067459171344,18296,0.015313035355313243,0.21434709759449203,15.51847908095774,81.26626880766051,58.349742479211024,54.11178552891278,0.9913246416986546,0.21248755972200636,54.58533284937935,0,0,0,1,1,2,2,3,3,3
1248381,43.93,-73.46,-5,147,-5,1261364,NYUP,Northeast,-73.45451962588395,43.9154025957256,18357,19.503189737204444,0.21207490698244238,13.480801622343357,81.26626880766051,46.18036862920974,53.594707424228545,0.9920808134119036,0.21039544622339523,54.02252185475588,0,0,0,1,1,1,1,2,2,2
1249152,43.57,-73.46,-5,253,-5,1262135,NYUP,Northeast,-73.45794821282587,43.553411773915826,4611,16.478070578744465,0.2137894571707497,11.314843610842129,81.26626880766051,33.24488039777617,52.008350917412606,0.9928845893841304,0.21226825739763594,52.381063694092084,0,0,0,0,0,0,0,1,1,1
1250981,44.17,-73.38,-5,29,-5,1263964,NEWE,Northeast,-73.39212697196841,44.1546724362409,18294,62.51452630567998,0.20642236775288697,16.627166286357838,81.26626880766051,64.97102055645955,56.802306686960165,0.9909132135307567,0.20454665177464088,57.32319027674072,0,1,1,2,2,3,4,5,5,5
1251229,43.81,-73.38,-5,39,-5,1264212,NEWE,Northeast,-73.39594497767915,43.79270601381107,18370,55.85503749724524,0.2085908969481217,11.195182031416943,81.26626880766051,32.530240065789144,53.239030445754196,0.9929289951860111,0.20711594971164726,53.61816474679604,0,0,0,1,1,1,1,2,2,2
1251520,44.53,-73.38,-5,29,-5,1264503,NYUP,Northeast,-73.38826593731169,44.51660144255664,18288,0.012945663315554159,0.20474491669837372,20.362822569677977,56.89723955384795,83.83205472570303,59.350491417818986,0.9912554653286719,0.2029545176755266,59.874062230910425,0,1,2,3,3,4,5,6,7,7
1251597,44.89,-73.38,-5,30,-5,1264580,NYUP,Northeast,-73.38423270223466,44.87849643506985,18143,26.302749902777453,0.20104648415505272,24.860499733745698,56.89723955384795,110.69298633917471,62.9961023232764,0.9895864002701094,0.1989528665419602,63.65902189650292,0,1,2,3,4,5,6,7,8,9
1252138,44.41,-73.34,-5,29,-5,1265121,NYUP,Northeast,-73.32922913523213,44.3938904306661,18306,17.255533388193708,0.2047571935224114,18.80910749093324,56.89723955384795,74.55299067673126,58.4807130843085,0.9918320410708378,0.2030847451752698,58.96231485037468,0,1,1,2,3,4,5,6,6,6
1252151,42.93,-73.34,-5,170,-5,1265134,NYUP,Northeast,-73.34580762129325,42.94611501714572,18221,11.544630867751891,0.21053720344077959,19.389603402863614,81.26626880766051,81.46878857453342,57.189955723584205,0.9898880872045562,0.20840826959938982,57.774163021891326,0,1,1,2,3,3,4,5,5,5
1252171,43.65,-73.34,-5,99,-5,1265154,NEWE,Northeast,-73.33761046293542,43.66997841015133,18369,158.61923872471428,0.20967185761650106,9.574405630592596,81.26626880766051,22.8506738196654,52.08213014557853,0.9935304570428047,0.20831537652673618,52.42127181545946,0,0,0,0,0,0,0,1,1,1
1252687,43.29,-73.34,-5,275,-5,1265670,NYUP,Northeast,-73.34172385263606,43.30800084507929,4609,3.354901159624157,0.21289548362772717,13.199206284355835,81.26626880766051,44.49863095875534,53.23714158744189,0.9921853120057653,0.2112317718477948,53.65645000309432,0,0,0,1,1,1,1,2,2,2
1253175,44.05,-73.34,-5,33,-5,1266158,NEWE,Northeast,-73.33344341325301,44.031964005503205,1157,183.0979804510899,0.20729043657286847,14.375849730688332,81.26626880766051,51.52575584843779,55.32463157944556,0.9917486656234171,0.20558001386763788,55.78493170411102,0,0,1,2,2,2,3,4,4,4
1253388,44.77,-73.34,-5,29,-5,1266371,NEWE,Northeast,-73.32496619449373,44.75580852098013,4560,57.179221471490116,0.20283566736050482,22.83308259229609,56.89723955384795,98.58488893646877,61.299399343395905,0.9903387644319835,0.20087602419653916,61.897404751751445,0,1,2,3,4,5,6,7,8,8
1253601,43.17,-73.3,-5,216,-5,1266584,NYUP,Northeast,-73.28399425054461,43.1852582489196,18343,51.17059860264142,0.20831938562947555,14.979402258874506,81.26626880766051,55.130279382111034,55.3821032493299,0.9915246903581735,0.20655381433187067,55.85549587204323,0,1,1,2,2,2,3,4,4,4
1254445,42.81,-73.3,-5,289,-5,1267428,NYUP,Northeast,-73.28836774650598,42.82344749475542,18224,88.0779118648353,0.2112111555233008,20.71021837875052,160.82272175593081,55.74862905853642,57.72123374342383,0.9865428467064469,0.20836885462611526,58.508592846347206,0,1,1,2,3,3,4,5,6,6
1254677,43.89,-73.26,-5,89,-5,1267660,NEWE,Northeast,-73.27500372588169,43.909205991937405,18364,184.96256838089766,0.20901719804390748,11.241591036516693,81.26626880766051,32.80740293603528,53.15579315452636,0.9929117730408928,0.20753563670581562,53.53526325076332,0,0,0,1,1,1,1,2,2,2
