Location ID,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,psm3id,eGRID,avert,ico9lon,ico9lat,ico9index,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
771582,45.61,-92.94,-6,266,-6,784565,MROW,Upper Midwest,-92.93103493269341,45.59423910133646,10644,21.175606407350944,0.22388344554334527,23.74866629924767,0.0,141.83127825882463,56.00335135183763,0.9911869910485774,0.22191035873369644,56.501297795072595,0,1,2,3,4,5,5,6,7,8
772955,45.73,-92.86,-6,255,-6,785938,MROW,Upper Midwest,-92.8497204584418,45.72801699171773,10646,50.54245612502107,0.22070256334138222,24.002121652871605,89.01432683207787,105.74255214943231,56.94159746903906,0.9878983385125883,0.21803169563042077,57.6391266684102,0,1,2,3,4,5,6,6,7,8
773698,45.01,-92.82,-6,273,-6,786681,MROW,Upper Midwest,-92.818821143202,45.00878260747889,2678,19.832729087439613,0.22573271357117186,17.725539380214514,0.0,105.86008816009178,52.498601151081594,0.9934221427317974,0.22424787600053664,52.84621601720739,0,1,1,2,3,3,4,4,5,6
774046,45.25,-92.82,-6,302,-6,787029,MROW,Upper Midwest,-92.82902988812454,45.24853492559519,10704,2.763997756214,0.22405141180268232,19.00797712748189,0.0,113.51903551698237,53.54596341576538,0.9929462366238966,0.2224710061597443,53.926347108002844,0,1,2,2,3,4,4,5,6,6
774274,45.49,-92.82,-6,280,-6,787257,MROW,Upper Midwest,-92.83931626784212,45.488277826280786,2663,1.4399632749197382,0.2242100663904801,21.17319927612867,0.0,126.45012904397423,54.6104837080273,0.9921427337266224,0.22244838819767845,55.04297098755432,0,1,2,2,3,4,5,5,6,7
774287,44.77,-92.82,-6,269,-6,787270,MROW,Upper Midwest,-92.80870421549412,44.76903141762485,10619,51.23347826031289,0.2204386822890607,17.520672725679052,0.0,104.63658789615087,53.65331061367989,0.9934981677025271,0.2190054269449413,54.004438415577184,0,1,2,2,3,4,4,5,6,6
774594,45.85,-92.78,-6,274,-6,787577,MROW,Upper Midwest,-92.76800452435741,45.8618066200237,10920,40.06877430351975,0.22371479056978516,22.688421339239817,89.01432683207787,97.89689916060246,55.50455873443609,0.9883858459994358,0.2211165325399037,56.15677213417702,0,1,2,3,4,4,5,6,7,7
775516,44.89,-92.74,-6,258,-6,788499,MROW,Upper Midwest,-92.72825267914251,44.90273032251484,10698,111.83735950917259,0.22737632016689344,16.424405291838323,0.0,98.089482913667,51.46587120113282,0.9939049869565371,0.22599045852970162,51.78147999712512,0,1,1,2,2,3,3,4,4,5
775995,45.13,-92.74,-6,236,-6,788978,MROW,Upper Midwest,-92.73805551771594,45.14248812195242,10696,111.6329321810677,0.22358941328804047,17.235842875709682,0.0,102.93553314223804,52.751827985141425,0.99360386660729,0.2221593055754524,53.09140771086688,0,1,1,2,3,3,4,4,5,6
776082,45.37,-92.74,-6,283,-6,789065,MROW,Upper Midwest,-92.74794214995752,45.382243426306076,10649,5.497261748705943,0.22393823321845804,19.086070687211574,0.0,113.98542420848517,53.61283474023096,0.9929172565021385,0.2223521361532074,53.99526938337132,0,1,2,2,3,4,4,5,6,6
776103,45.61,-92.74,-6,265,-6,789086,MROW,Upper Midwest,-92.75793665183257,45.62199032873914,10645,154.8250642830651,0.22544905222839629,21.711231737373403,0.0,129.66335503155312,54.58279503460599,0.9919430726240849,0.2236326255876232,55.02613662113969,0,1,2,2,3,4,5,5,6,7
776690,44.65,-92.7,-6,215,-6,789673,MROW,Upper Midwest,-92.71852610869315,44.66298862697716,10618,45.53362690345253,0.22197447562243447,16.28447884593545,0.0,97.25381717839798,52.646355111571204,0.9939569129470219,0.22063306454270895,52.96643589456805,0,1,1,2,3,3,4,4,5,6
777081,45.53,-92.66,-6,298,-6,790064,MROW,Upper Midwest,-92.66649776260712,45.51588993562278,10648,130.00925947475474,0.222220910248771,19.950493284531415,0.0,119.14791040408134,54.47120999864105,0.992596473684611,0.22057569189191453,54.87749699174209,0,1,2,2,3,4,5,5,6,7
777184,45.05,-92.66,-6,277,-6,790167,MROW,Upper Midwest,-92.64742481951978,45.036373051000346,10697,175.77717379386326,0.22422480213526524,15.812487106349804,0.0,94.43499817991136,51.87769873351077,0.9941320666745429,0.2229090659464217,52.18391044063805,0,1,1,2,2,3,4,4,5,5
777218,45.29,-92.66,-6,278,-6,790201,MROW,Upper Midwest,-92.65691025343307,45.27613644487354,670,168.91053723079108,0.22382328174595953,17.437926219628352,0.0,104.1424109778877,52.7997760186505,0.9935288745089361,0.2223748932019597,53.14367541129334,0,1,1,2,3,3,4,4,5,6
777282,45.77,-92.66,-6,286,-6,790265,MROW,Upper Midwest,-92.6761680192532,45.75564477514201,2665,157.70320986048498,0.2239381444703125,21.305928631637308,89.01432683207787,89.64040570400026,54.744456151954076,0.9888988819928618,0.22145218070224798,55.35900297675657,0,1,2,2,3,4,5,5,6,7
