row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
628,1836,34.983684999999994,-88.19381700000001,628_1836,AL,1.0666924017445103,0.3379058828468171,17.53153516376245,6.507240169823179,103.11435617831572,46.96915523551421,0.9931884128681236,0.3356042074834324,47.29128393662685,0,0,1,1,2,2,2,3,3,4
630,1836,35.020148999999996,-88.189453,630_1836,AL,1.0959062591269209,0.3354066242201668,17.680797807328172,6.507240169823179,104.00577935410429,47.36994392382257,0.9931330222622984,0.3331033943985693,47.69748146720227,0,0,1,1,2,2,3,3,4,4
626,1838,34.943638,-88.153687,626_1838,AL,5.613953803815619,0.325403579820555,16.73379350678436,6.507240169823179,98.35010047217108,48.49389633614113,0.9934844507287462,0.32328339676319184,48.81193288991046,0,1,1,1,2,2,3,3,4,5
628,1838,34.980103,-88.149292,628_1838,AL,15.243679869440324,0.3395694787996646,16.862144137379254,6.507240169823179,99.11663337019651,46.51401363140578,0.9934368204642885,0.3373408233454544,46.82131029698214,0,0,1,1,2,2,2,3,3,4
630,1838,35.016571,-88.144897,630_1838,AL,4.3751663830489536,0.3594708324578959,17.017268709518028,6.507240169823179,100.04306503076063,43.988124271639656,0.9933792545266641,0.357090867571104,44.2812994847568,0,0,0,1,1,1,1,2,2,3
448,1840,31.711440999999997,-88.482147,448_1840,AL,1.003035125476661,0.32611969950599695,12.900082372898725,65.82014124710433,33.33865088334234,47.045453657583195,0.9938385429971015,0.32411032699969256,47.33711928268454,0,0,1,1,2,2,2,3,3,4
450,1840,31.747524,-88.478149,450_1840,AL,3.2277711869620735,0.32716027590951624,13.356146308337236,65.82014124710433,36.06234618967808,47.05495268404357,0.9936692999964717,0.32508912234966153,47.354741345245,0,0,1,1,2,2,2,3,3,4
452,1840,31.783596000000003,-88.474152,452_1840,AL,5.453981160876072,0.30366201789156366,13.849677094225585,65.82014124710433,39.009800221016434,50.88173536193627,0.9934861532387115,0.30168401003979434,51.21534426631368,0,1,1,2,3,3,4,4,5,6
454,1840,31.819678999999997,-88.47015400000001,454_1840,AL,7.654121813947412,0.3048109103118715,14.373088567605526,65.82014124710433,42.13570705676845,50.88597578792134,0.9932919179102071,0.302766213703635,51.22962834025737,0,1,1,2,3,3,4,4,5,6
456,1840,31.85577,-88.466125,456_1840,AL,9.745935094705251,0.32490352912785253,14.919989172765543,65.82014124710433,45.40189518426034,47.93124968435641,0.9930889658846879,0.3226581097538646,48.26480942888849,0,1,1,1,2,2,3,3,4,4
