row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
914,1496,40.574707000000004,-95.792328,914_1496,MO,0.5244579413837324,0.4534372174904608,12.124437136561935,91.42953174186009,33.786640751699146,33.64061141166576,0.9922194084224862,0.4499092076951232,33.90440776113262,0,0,0,0,1,1,1,1,2,2
912,1498,40.537483,-95.743622,912_1498,MO,11.820995767862446,0.41706427096259535,11.37183207048813,91.42953174186009,29.291948830886067,36.368474762528514,0.9924986963244096,0.41393574521386617,36.64334764087294,0,0,1,1,2,2,2,3,3,3
914,1498,40.574593,-95.74346899999999,914_1498,MO,13.659650131101884,0.4231737867281394,11.440334969308177,91.42953174186009,29.70106038189513,35.86188902627767,0.9924732752480051,0.4199886741131773,36.133858634446646,0,0,1,1,1,2,2,2,3,3
908,1500,40.463135,-95.69516,908_1500,MO,3.8298106964151413,0.4517973888423723,10.854425386008813,91.42953174186009,26.201903667310425,33.4418194880666,0.9926907033063759,0.4484950676819187,33.68805548060561,0,0,0,0,1,1,1,1,1,1
910,1500,40.500240000000005,-95.69497700000001,910_1500,MO,7.228348435246349,0.4230815333836078,10.712155720933774,91.42953174186009,25.35224380848767,35.673232468445875,0.9927434988535457,0.420011441751566,35.93398748986274,0,0,1,1,1,2,2,2,3,3
912,1500,40.537357,-95.69479399999999,912_1500,MO,15.701091161691124,0.42734708770786295,10.679514692023847,91.42953174186009,25.157305751939862,35.30844173895987,0.9927556117729132,0.4242512194967923,35.56609634863133,0,0,0,1,1,1,2,2,3,3
914,1500,40.574467,-95.694611,914_1500,MO,13.676515999083929,0.4275982879933735,10.759044011240439,91.42953174186009,25.632269055622338,35.30893098030718,0.9927260988481313,0.42448798031380147,35.56764652533709,0,0,0,1,1,1,2,2,3,3
900,1502,40.314575,-95.647247,900_1502,MO,4.102793684027306,0.42712819837128696,11.757084120642688,91.01164026255749,31.769273201662728,35.61452981891512,0.9923707287792375,0.4238695214998768,35.888331634616286,0,0,1,1,1,2,2,2,3,3
902,1502,40.351669,-95.64703399999999,902_1502,MO,1.5230199326796667,0.42262667618736594,11.267891475142246,91.01164026255749,28.84772731980652,35.86173543236235,0.9925522656752231,0.41947906498455895,36.13082824204323,0,0,1,1,1,2,2,2,3,3
904,1502,40.388775,-95.64681999999999,904_1502,MO,5.824775809084843,0.43294556150169455,10.832669604036573,91.01164026255749,26.248504545470322,34.892246345462304,0.9927137742920683,0.429791022421346,35.1483451212762,0,0,0,1,1,1,2,2,2,2
906,1502,40.425877,-95.646606,906_1502,MO,11.175271373232244,0.42705817803856,10.469202980000986,91.01164026255749,24.07781692698205,35.27611069652207,0.9928486549026595,0.4240041376307648,35.53019941390826,0,0,0,1,1,1,2,2,3,3
908,1502,40.462982000000004,-95.646393,908_1502,MO,16.159142547673937,0.4221226153261572,10.194974434063427,91.42953174186009,22.263544759704086,35.61440772889103,0.9929354221916087,0.4191404972655039,35.8677985827949,0,0,1,1,1,2,2,2,3,3
910,1502,40.500091999999995,-95.646179,910_1502,MO,17.047628423796688,0.4248615945824221,10.026361923210727,91.42953174186009,21.256560719281328,35.33950613975026,0.9929979934345048,0.4218867109077292,35.58869843988375,0,0,0,1,1,1,2,2,3,3
912,1502,40.537209000000004,-95.645966,912_1502,MO,17.048023883621138,0.4295337807930533,9.987333028532401,91.42953174186009,21.023473187059288,34.944733681487804,0.9930124768582823,0.42653240355961236,35.19062901610947,0,0,0,1,1,1,2,2,2,2
914,1502,40.574314,-95.645752,914_1502,MO,13.311427991066171,0.43710084683276257,10.082053664726388,91.42953174186009,21.589161749928518,34.36451002982351,0.9929773265132421,0.4340312303046707,34.60754753634875,0,0,0,1,1,1,1,2,2,2
900,1504,40.314392,-95.598602,900_1504,MO,10.920332696484358,0.42077724464816724,11.31974642020445,91.01164026255749,29.157414316522065,36.03342565504995,0.9925330225695578,0.4176353104591357,36.3045106164462,0,0,1,1,1,2,2,2,3,3
902,1504,40.351494,-95.59835799999999,902_1504,MO,16.470443662855402,0.42378651092257974,10.781399934430649,91.01164026255749,25.94231291834952,35.63254160970805,0.9927328002049967,0.420706769677278,35.89338601721432,0,0,1,1,1,2,2,2,3,3
904,1504,40.388591999999996,-95.598114,904_1504,MO,17.044389869504734,0.4262777163946437,10.291687912683422,91.01164026255749,23.017665228751788,35.29315914633455,0.9929145298388589,0.42325733835477003,35.545012270152114,0,0,0,1,1,1,2,2,3,3
906,1504,40.425701000000004,-95.59787,906_1504,MO,17.043169919435822,0.4284907952101031,9.871287668878528,91.01164026255749,20.506959860802,34.99887642274168,0.9930705382253993,0.4255215846239264,35.243092082143626,0,0,0,1,1,1,2,2,2,2
908,1504,40.462811,-95.597626,908_1504,MO,17.049039697354367,0.441460692167597,9.548636306756464,91.01164026255749,18.58002827883045,33.887193827184745,0.9931902725004419,0.43845446515216935,34.11953858737543,0,0,0,0,1,1,1,1,2,2
910,1504,40.499916,-95.597382,910_1504,MO,17.044820993100174,0.43801614050035187,9.343882536790568,91.42953174186009,17.180671886554073,34.100319471039825,0.9932512580543319,0.4350600826000775,34.332017396925856,0,0,0,0,1,1,1,1,2,2
912,1504,40.537025,-95.597137,912_1504,MO,17.052699950727213,0.4420862438015163,9.295359624103666,91.42953174186009,16.890884382510418,33.773842521898345,0.9932692646597754,0.4391106782969343,34.00270573505252,0,0,0,0,1,1,1,1,2,2
914,1504,40.574135,-95.59689300000001,914_1504,MO,12.956873900694564,0.469945555173012,9.412361734335086,91.42953174186009,17.589641889311036,31.800082839438144,0.9932258457733498,0.4667620715041413,32.01697073708127,0,0,0,0,0,0,0,0,0,0
896,1506,40.240002000000004,-95.550476,896_1506,MO,0.27097755499005177,0.47219872374450367,12.192313497461774,91.01164026255749,34.36854080146045,32.32040433143229,0.9922092173770602,0.46851992613298066,32.57418270803049,0,0,0,0,0,0,0,1,1,1
898,1506,40.277103000000004,-95.550232,898_1506,MO,7.443816087261215,0.43240829110148093,11.560940214018126,91.01164026255749,30.597866746719063,35.12786274698945,0.9924435167827012,0.42914080510675173,35.39532694098984,0,0,0,1,1,1,2,2,2,3
900,1506,40.314194,-95.549927,900_1506,MO,16.483216103193623,0.4182143571132122,10.946459927191135,91.01164026255749,26.928080686005345,36.15235271541844,0.9926715472834476,0.41514949297172465,36.41924946308096,0,0,1,1,2,2,2,3,3,3
902,1506,40.351292,-95.549683,902_1506,MO,17.042041233804248,0.4192145532181633,10.35744736997148,91.01164026255749,23.410392456767422,35.90570498343497,0.992890126839616,0.4162339909177951,36.16281803277002,0,0,1,1,1,2,2,2,3,3
904,1506,40.388397,-95.549377,904_1506,MO,17.047084091251982,0.43666138996597265,9.806221805187523,91.01164026255749,20.11837489767073,34.32698453371015,0.9930946838355954,0.4336461050114692,34.565671423323124,0,0,0,1,1,1,1,2,2,2
906,1506,40.425509999999996,-95.549133,906_1506,MO,17.045305317847724,0.4594244660402309,9.316018027549156,91.01164026255749,17.190790354030206,32.50438439466085,0.993276595957561,0.45633556972806066,32.724403783344194,0,0,0,0,0,0,1,1,1,1
908,1506,40.462601,-95.548828,908_1506,MO,17.047618744977743,0.47863964009678245,8.922050720458198,91.01164026255749,14.837947206848169,31.105522318607957,0.9934227952160882,0.4754915291661681,31.311464230938967,0,0,0,0,0,0,0,0,0,0
910,1506,40.499718,-95.54858399999999,910_1506,MO,17.053125706487172,0.4652797217580093,8.667738403671873,91.42953174186009,13.142618318448338,31.93628311387723,0.9935021716939672,0.462256414011747,32.14515682378872,0,0,0,0,0,0,0,0,1,1
912,1506,40.536827,-95.54827900000001,912_1506,MO,17.053389407354324,0.4553113075805066,8.603448089727463,91.42953174186009,12.758665076969445,32.61936524967468,0.9935260295016075,0.45236363560764586,32.831918118982614,0,0,0,0,0,0,1,1,1,1
914,1506,40.57394,-95.548035,914_1506,MO,12.716344610053932,0.4736410673609227,8.756467172614173,91.42953174186009,13.672522379537313,31.393886216334224,0.9934692449003071,0.4705478335448314,31.60025977400493,0,0,0,0,0,0,0,0,0,0
896,1508,40.239788,-95.501892,896_1508,MO,3.8053311138057015,0.4318156032850891,11.966770377399687,91.01164026255749,33.02155699117791,35.28336315034874,0.9922929152787021,0.4284875638465926,35.55740709933298,0,0,0,1,1,1,2,2,3,3
898,1508,40.276878,-95.501587,898_1508,MO,17.036914489301665,0.41832700515800514,11.306232625341359,91.01164026255749,29.07670751912097,36.24079417486757,0.9925380374699144,0.4152054647201932,36.51325471339035,0,0,1,1,2,2,2,3,3,3
900,1508,40.31398,-95.50128199999999,900_1508,MO,17.033926117791612,0.43120325892963196,10.654805022724037,91.01164026255749,25.186265487215238,34.98614330418271,0.9927797789311288,0.4280898760745423,35.24058814115892,0,0,0,1,1,1,2,2,2,2
902,1508,40.351074,-95.500977,902_1508,MO,17.042590898966747,0.45950378041865997,10.017932909329936,91.01164026255749,21.382751437546435,32.67315167769504,0.9930161189245216,0.4562946606624833,32.90294191103508,0,0,0,0,0,0,1,1,1,1
904,1508,40.388184,-95.500671,904_1508,MO,17.038664239838713,0.4688503834827067,9.404510491041624,91.01164026255749,17.719283156752628,31.872451959781266,0.9932437568556483,0.46568271629357494,32.08925476731026,0,0,0,0,0,0,0,0,0,0
906,1508,40.425278000000006,-95.500366,906_1508,MO,17.045964155125393,0.46628287751039676,8.833365923278283,91.01164026255749,14.308305752980496,31.90812463829898,0.9934557056920515,0.46323138512921164,32.118316353190046,0,0,0,0,0,0,0,0,0,1
908,1508,40.462391,-95.500061,908_1508,MO,17.04400122629647,0.4663827438581828,8.342173893797579,91.01164026255749,11.374819192768845,31.781064411185493,0.9936379845492359,0.46341560963578726,31.984550616392735,0,0,0,0,0,0,0,0,0,0
910,1508,40.499493,-95.499756,910_1508,MO,17.051682427647233,0.4730928964501513,8.005971915796275,91.42953174186009,9.190430616555274,31.24917096096589,0.9937477498627751,0.47013500132340075,31.445777829716878,0,0,0,0,0,0,0,0,0,0
912,1508,40.536609999999996,-95.49945100000001,912_1508,MO,17.0492821146062,0.4658276705214127,7.913106367639309,91.42953174186009,8.635820970887456,31.713787407864977,0.9937822117941052,0.4629312527256652,31.912210775649847,0,0,0,0,0,0,0,0,0,0
914,1508,40.573719,-95.499146,914_1508,MO,12.579229968202153,0.4680435691673861,8.130270426777269,91.42953174186009,9.93276353226354,31.616608162465074,0.9937016233192412,0.4650956544657631,31.81700363621906,0,0,0,0,0,0,0,0,0,0
890,1510,40.128265,-95.454285,890_1510,MO,0.06169942264843786,0.4538505285308659,10.966552654932986,2.174320265137728,64.57571164596594,33.31873753312572,0.9958523349999936,0.451968108578444,33.45750806832815,0,0,0,0,0,1,1,1,1,1
892,1510,40.165363,-95.453979,892_1510,MO,6.755694186390058,0.4376117087727577,11.314001198937962,2.174320265137728,66.65073642859782,34.64575881141,0.9957233986172136,0.43574021793389656,34.794561280294765,0,0,0,1,1,1,2,2,2,2
894,1510,40.202453999999996,-95.453644,894_1510,MO,13.993375229377794,0.4121424292905336,11.69185352463465,2.174320265137728,68.90733802766651,36.89142990809637,0.9955831795460994,0.41032207017892286,37.055095612318105,0,0,1,1,2,2,3,3,3,4
896,1510,40.239536,-95.45330799999999,896_1510,MO,15.205597403466573,0.4127124228061691,11.82170826147048,91.01164026255749,32.155220116933265,36.87639698107048,0.9923467470901431,0.4095538302553937,37.1607979662382,0,0,1,1,2,2,3,3,3,4
898,1510,40.276638,-95.452972,898_1510,MO,17.031703480514707,0.4441248057267705,11.140588763922329,91.01164026255749,28.08745278351786,34.09310531606498,0.9925995070621451,0.4408380632384633,34.34729220949579,0,0,0,0,1,1,1,1,2,2
900,1510,40.313728000000005,-95.452637,900_1510,MO,17.035014022110847,0.4672269510450117,10.462661160450706,91.01164026255749,24.038748011815898,32.24172909032024,0.9928510825385329,0.46388678413621803,32.473882193776966,0,0,0,0,0,0,0,0,1,1
902,1510,40.350838,-95.452301,902_1510,MO,17.037569233995914,0.47340994780369344,9.789143591250783,91.01164026255749,20.016380752715214,31.658226198161852,0.9931010214736927,0.4701439027396555,31.878152890411133,0,0,0,0,0,0,0,0,0,0
904,1510,40.387932,-95.451965,904_1510,MO,17.039530234218812,0.4719166203074472,9.124287928988883,91.01164026255749,16.04574394945147,31.597578481589277,0.9933477460193614,0.46877731109147747,31.809181234074508,0,0,0,0,0,0,0,0,0,0
