row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
398,1694,31.004871,-91.64544699999999,398_1694,MS,0.992171934744494,0.3397629548703863,21.821651404222397,77.49424850420583,111.42209359416596,48.15384646487781,0.9882612535512464,0.33577456369048353,48.72582658870859,0,1,2,3,3,4,5,5,6,7
404,1694,31.113132,-91.63858,404_1694,MS,0.3317177951835762,0.3450046974911288,20.75941230198204,77.49424850420583,105.07821188776346,47.07075906469574,0.9886554450649354,0.3410907727475853,47.61088334632509,0,1,2,2,3,4,4,5,6,6
406,1694,31.149216,-91.636292,406_1694,MS,0.6393214103560539,0.34344267473983864,20.443048458151512,77.49424850420583,103.1888304884054,47.179688458992224,0.9887728460740048,0.339586790965779,47.71539656082045,0,1,2,2,3,4,4,5,6,6
410,1694,31.221424,-91.631653,410_1694,MS,3.4806200561710696,0.33864786133730734,19.872151435142023,77.49424850420583,99.77933146613155,47.655247078724365,0.9889847030478123,0.3349175545824536,48.18603051378084,0,1,2,2,3,4,4,5,6,7
412,1694,31.257541999999997,-91.629364,412_1694,MS,7.178895626195527,0.33923847628875836,19.557290306380427,69.78329029286094,99.77961334739605,47.46632702057116,0.9894638234530766,0.3356641998110707,47.97176601658965,0,1,2,2,3,4,4,5,6,6
398,1696,31.002899,-91.603363,398_1696,MS,9.394393135646787,0.3357791337961674,21.270227959910752,77.49424850420583,108.12889426317524,48.537695291705106,0.9884658839793095,0.33190621830963546,49.10406730104313,0,1,2,3,3,4,5,5,6,7
400,1696,31.038967,-91.60104399999999,400_1696,MS,0.5453120953187939,0.33253631938053363,20.886798636346835,77.49424850420583,105.83898583641405,48.8793971168735,0.9886081726458908,0.3287481230411797,49.44263912572527,0,1,2,3,3,4,5,6,7,7
402,1696,31.075058000000002,-91.598724,402_1696,MS,1.202642189713396,0.33430337960108664,20.52061813869972,77.49424850420583,103.65209047983616,48.49599008977484,0.9887440603611393,0.33054048093922966,49.04807223020046,0,1,2,3,3,4,5,5,6,7
404,1696,31.111145,-91.596405,404_1696,MS,13.853272401330043,0.33481699878118204,20.173108088354844,77.49424850420583,101.5766983703532,48.30311288230258,0.9888730195686083,0.3310914965876465,48.846628360206054,0,1,2,3,3,4,5,5,6,7
406,1696,31.147240000000004,-91.594086,406_1696,MS,12.396786605653991,0.33984280171032977,19.84531786147898,77.49424850420583,99.6190765699228,47.47867022684093,0.9889946608501542,0.33610271641987377,48.00700358283793,0,1,2,2,3,4,4,5,6,6
