row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
650,2008,35.001179,-84.315033,650_2008,NC,7.860204713539368,0.3006428873652932,21.27423124400445,19.959411042064726,113.80095472624359,54.211833914463924,0.9916884955467267,0.29814409266811165,54.66619221449821,0,1,1,2,2,3,3,4,5,5
652,2008,35.037434000000005,-84.308533,652_2008,NC,10.536798998377316,0.3660651129301366,21.01115748775232,19.959411042064726,112.2298312511215,44.44119489147621,0.9917861208760619,0.3630582983410377,44.80925267659577,0,0,1,1,1,2,2,2,3,3
654,2008,35.0737,-84.302002,654_2008,NC,11.166817787066405,0.32633272616072256,20.76892550488804,19.959411042064726,110.78317857042343,49.76736217948708,0.9918760119295805,0.3236816029864054,50.17498314398228,0,0,1,1,2,2,3,3,4,4
656,2008,35.109970000000004,-84.29547099999999,656_2008,NC,11.782966958658204,0.2726492102889211,20.54888045440069,19.959411042064726,109.4690302139687,59.47422205505699,0.991957669525642,0.27045647523620486,59.95641132902153,0,1,1,2,2,3,4,4,5,6
658,2008,35.146236,-84.28894,658_2008,NC,12.403293791163616,0.2795291128995119,20.35185724844832,19.959411042064726,108.29237242633695,57.92995325007269,0.9920307838326021,0.2773014849737347,58.395318163683065,0,1,1,2,2,3,3,4,5,5
660,2008,35.182507,-84.28241,660_2008,NC,13.024219535237364,0.2798450670345134,20.17860481403193,19.959411042064726,107.25767793338736,57.79387479839573,0.9920950769274701,0.2776329133073786,58.25437112074382,0,1,1,2,2,3,3,4,5,5
662,2008,35.218788,-84.275879,662_2008,NC,12.517636800411243,0.3474914758540452,20.029791392752227,19.959411042064726,106.36893759335241,46.494213689569634,0.992150300829196,0.34476377230417227,46.86206681660208,0,0,1,1,1,2,2,3,3,4
664,2008,35.255074,-84.269318,664_2008,NC,2.241607926308148,0.4089550773827826,19.905614953956434,19.959411042064726,105.62733371454456,39.471737689164854,0.9921963820723645,0.4057637482093207,39.78218264283697,0,0,0,0,0,1,1,1,2,2
650,2010,34.995838,-84.270782,650_2010,NC,11.492957576870616,0.2792057036494443,20.649907554579922,19.959411042064726,110.07238210651924,58.11891461295575,0.9919201788839783,0.2769497715093838,58.59233015941471,0,1,1,2,2,3,3,4,5,5
652,2010,35.032097,-84.264252,652_2010,NC,16.608490048491525,0.3721119345618172,20.377627205141746,19.959411042064726,108.44627521196912,43.52467285751805,0.9920212207330934,0.36914293557336686,43.87473972114605,0,0,0,1,1,2,2,2,3,3
654,2010,35.068352000000004,-84.25769,654_2010,NC,16.608574942047753,0.3796749974808582,20.12672982965985,19.959411042064726,106.9478712583329,42.58223236331875,0.9921143274696212,0.3766810047827518,42.920690876347244,0,0,0,1,1,1,2,2,3,3
656,2010,35.104618,-84.25116,656_2010,NC,16.614581856010748,0.30218703175292805,19.8990392750783,19.959411042064726,105.5880625854229,53.41531964227035,0.9921988222732618,0.299829617011508,53.83529837284891,0,1,1,1,2,3,3,4,4,5
658,2010,35.140884,-84.244598,658_2010,NC,16.61579911986593,0.2681787053381311,19.69453814487736,19.959411042064726,104.36674529811512,60.10198309605671,0.9922747115997751,0.2661069474965951,60.569903065612245,0,1,1,2,2,3,4,4,5,6
660,2010,35.177155,-84.238037,660_2010,NC,16.621881998575578,0.31243439890715696,19.51454936867568,19.959411042064726,103.29182016845705,51.522896989931986,0.992341504516726,0.3100416214743071,51.92053013546363,0,0,1,1,2,3,3,3,4,4
662,2010,35.213432,-84.231476,662_2010,NC,16.626721503945227,0.3439021742405872,19.359839237464687,19.959411042064726,102.36786362316084,46.757088444207035,0.9923989166574356,0.34128814515249545,47.11521512104495,0,0,1,1,1,2,2,3,3,4
664,2010,35.249706,-84.224884,664_2010,NC,14.451554603724455,0.3924295872716109,19.230642053749467,19.959411042064726,101.59627495864912,40.9375754561782,0.9924468610734392,0.38946551208005553,41.249135910309356,0,0,0,0,1,1,1,2,2,2
666,2010,35.285992,-84.218323,666_2010,NC,0.21267869700145248,0.4045277970314201,19.1284937198085,19.959411042064726,100.98622685774522,39.684430067006815,0.9924847677992339,0.40148767670506463,39.98492607096055,0,0,0,0,1,1,1,1,2,2
