row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1218,1188,45.951233,-104.038269,1218_1188,ND,7.559830428786587,0.44270046475733926,30.84915195488501,220.81931416295163,37.61808408395103,39.28486898100746,0.9839414046598666,0.4355913171369121,39.92602485773799,0,1,2,2,3,4,4,5,6,6
1220,1188,45.9883,-104.04364,1220_1188,ND,8.667332278098757,0.4625331836306464,30.4913171701395,220.81931416295163,35.4810308159309,37.51207837654,0.9840741953236182,0.45516697049179966,38.11915661928718,0,1,1,2,3,3,4,4,5,5
1222,1188,46.025372,-104.049026,1222_1188,ND,6.924707623243059,0.4692647096956687,30.196347600551814,220.81931416295163,33.719419844817054,36.90221820012521,0.9841836570266216,0.4618426581018191,37.495256029360206,0,1,1,2,2,3,3,4,5,5
1224,1188,46.062443,-104.054413,1224_1188,ND,5.1829709195278095,0.48129333332236923,29.974421952304784,220.81931416295163,32.394040222539374,35.92730988674578,0.984266012502921,0.4737206700334476,36.501626014074276,0,1,1,1,2,3,3,4,4,4
1226,1188,46.099509999999995,-104.059814,1226_1188,ND,3.440253446945666,0.48701321831004035,29.83492065981439,220.81931416295163,31.56091357941092,35.47265100435287,0.9843177807211426,0.47937577022880024,36.03780374501056,0,1,1,1,2,2,3,3,4,4
1228,1188,46.136581,-104.065216,1228_1188,ND,1.698491576539375,0.48913778662556173,29.78423222409677,220.81931416295163,31.2581931849188,35.30674596957617,0.9843365909411392,0.4814762213874998,35.86857005469933,0,1,1,1,2,2,3,3,4,4
1230,1188,46.173645,-104.07061800000001,1230_1188,ND,0.10862037407564787,0.4660112964220381,29.824929472875606,220.81931416295163,31.50124442591002,37.06886402496154,0.9843214883996632,0.45870493290519715,37.659305889206095,0,1,1,2,2,3,3,4,5,5
1218,1190,45.954952,-103.984955,1218_1190,ND,13.637153444021884,0.42504783451968925,30.28458365179893,220.81931416295163,34.24638130779765,40.76477966057067,0.9841509130779854,0.41831121444437264,41.4212689526209,0,1,2,2,3,4,5,6,6,7
1220,1190,45.992022999999996,-103.99029499999999,1220_1190,ND,17.206664178278267,0.4466151846024568,29.889009079676736,220.81931416295163,31.883939286682725,38.695111587294086,0.9842977087843691,0.43960230291250624,39.31240644162777,0,1,2,2,3,4,4,5,6,6
1222,1190,46.029102,-103.995636,1222_1190,ND,17.2075270267169,0.45640644742989916,29.558469944818235,220.81931416295163,29.909900516638928,37.78231382121021,0.9844203701716486,0.44929580392766844,38.380264129055234,0,1,1,2,3,3,4,4,5,5
1224,1190,46.066174,-104.00099200000001,1224_1190,ND,17.20359281747617,0.45344925462417063,29.30688640661097,220.81931416295163,28.40739867661164,37.96537731460492,0.9845137315396645,0.4464270177339217,38.56256758880499,0,1,1,2,3,3,4,5,5,5
1226,1190,46.103249,-104.006348,1226_1190,ND,17.205133515891024,0.4644123061418931,29.146954169912032,220.81931416295163,27.452254784319788,37.02984333695223,0.9845730815770892,0.45724785538044627,37.61005051817771,0,1,1,2,2,3,3,4,5,5
1228,1190,46.140312,-104.011719,1228_1190,ND,17.207133746378354,0.4858458834453324,29.0886220794308,220.81931416295163,27.103885117905087,35.38252892839994,0.9845947283183879,0.4783612956154642,35.93613484893484,0,1,1,1,2,2,3,3,4,4
1230,1190,46.177383,-104.01709,1230_1190,ND,17.142677516690377,0.47850249112386195,29.135498897438183,220.81931416295163,27.38384185041873,35.93671418573589,0.9845773325702853,0.47112270633896863,36.499635932021114,0,1,1,1,2,3,3,4,4,4
1232,1190,46.214458,-104.022476,1232_1190,ND,15.609680660414298,0.46261839159247753,29.284701756364413,220.81931416295163,28.274907981658572,37.207425954814774,0.9845219641502349,0.45545796754264845,37.792377732201665,0,1,1,2,2,3,3,4,5,5
1234,1190,46.251526,-104.027863,1234_1190,ND,13.87024589501338,0.4412377685544108,29.526838262619947,220.81931416295163,29.720990458990677,39.07299404735512,0.9844321085275988,0.43436862686003125,39.690897634166,0,1,2,2,3,4,4,5,6,6
1236,1190,46.288593,-104.033264,1236_1190,ND,12.124735267662357,0.4383932040983023,29.84933262038398,220.81931416295163,31.646984382884412,39.410499449081094,0.9843124325160727,0.43151588112451505,40.038607811079906,0,1,2,2,3,4,4,5,6,6
1238,1190,46.325661,-104.038666,1238_1190,ND,10.38237912718084,0.47692806962725615,30.23840918870952,220.81931416295163,33.97061916434234,36.319334853797436,0.9841680481857598,0.4693773674100588,36.90359072391083,0,1,1,2,2,3,3,4,4,5
1240,1190,46.362732,-104.044067,1240_1190,ND,8.645818012026105,0.48202593108471575,30.681413280765597,220.81931416295163,36.61631875262585,36.040138890992075,0.9840036516264072,0.4743152763659792,36.626021490289446,0,1,1,1,2,3,3,4,4,4
