row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
978,496,38.990520000000004,-119.96423300000001,978_496,NV,0.4567099868539584,0.26495384196654753,9.353437628184423,0.0,55.86040067275741,56.37805052201356,0.9965289869963614,0.26403418373571763,56.57442107323207,0,0,0,1,1,1,1,2,2,2
980,496,39.025890000000004,-119.97828700000001,980_496,NV,0.03882619192183887,0.21429719236586367,8.833678267069248,0.0,52.756304903965095,69.42810432433997,0.9967218670446292,0.2135946976773257,69.65644742018212,0,1,1,2,2,3,3,4,4,5
980,498,39.036797,-119.93273899999998,980_498,NV,0.2921301925934299,0.29849077358295556,8.384676736796516,0.0,50.074787543103135,49.673200171523696,0.9968884892227184,0.29756201632403306,49.828241281283404,0,0,0,0,0,1,1,1,1,1
982,498,39.072178,-119.946793,982_498,NV,0.13653976550998095,0.27411867746938395,7.860900299666244,0.0,46.9467010786269,53.871557571868884,0.9970828599874093,0.27331903490713955,54.029168220331414,0,0,0,0,1,1,1,2,2,2
984,498,39.107548,-119.96084599999999,984_498,NV,0.2726317962012711,0.2697846684017435,7.364337514915872,0.0,43.98113940836428,54.52687490569305,0.9972671319044848,0.2690473824888092,54.67629801612219,0,0,0,1,1,1,1,2,2,2
990,498,39.213676,-120.00311299999998,990_498,NV,0.03773628960732242,0.23656333261124143,6.102078859614973,0.0,36.44270519404955,61.575144595853914,0.9977355496542651,0.23602764669092172,61.71489491097206,0,0,1,1,1,2,2,3,3,3
992,498,39.249062,-120.017242,992_498,NV,0.13569795792529174,0.20898088767833775,5.78488779618793,0.0,34.54838349146373,69.52890547806328,0.9978532576403082,0.20853225955439267,69.67848723817671,0,1,1,2,2,3,3,4,4,5
970,500,38.870781,-119.817352,970_500,NV,2.2970495441784817,0.22204155124693586,10.967617637178364,0.0,65.50057208830776,68.10368657481024,0.995929973026936,0.22113783614421986,68.38200317219321,0,1,1,2,2,3,3,4,4,4
972,500,38.90617,-119.83128400000001,972_500,NV,4.201498967144643,0.18075861739303714,10.34600369843092,0.0,61.78818258377186,83.26511861223689,0.9961606507895304,0.1800646219380636,83.58603458813914,0,1,2,2,3,4,4,5,6,7
974,500,38.941547,-119.84524499999999,974_500,NV,4.280874461905125,0.23714562190917593,9.733588751502873,0.0,58.13073110194415,63.17205949129144,0.9963879148531731,0.23628903173064278,63.40106955291647,0,0,1,1,2,2,2,3,3,4
976,500,38.976929,-119.85920700000001,976_500,NV,0.2824011067203516,0.3500449856783519,9.13179847990217,0.0,54.5367320794577,42.60103822615301,0.9966112361539851,0.3488587658864063,42.745893966191225,0,0,0,0,0,0,0,0,0,0
984,500,39.118458000000004,-119.915253,984_500,NV,0.6668317098551729,0.34826096606365975,6.8884361398592615,0.0,41.13897136831945,42.08392456405378,0.9974437364777909,0.34737071925990193,42.19177786675171,0,0,0,0,0,0,0,0,0,0
986,500,39.153839000000005,-119.92929099999999,986_500,NV,0.5447936243264031,0.2605316401090646,6.3901070501208475,0.0,38.16286100908657,56.03657711564597,0.9976286638616397,0.2599138320156877,56.16977453187696,0,0,0,1,1,1,1,2,2,2
988,500,39.18922,-119.94335900000002,988_500,NV,1.4512718647082898,0.23507248616589324,5.930032325166879,0.0,35.415212551165965,61.88210978464105,0.9977993952458047,0.2345551845352561,62.01858818464866,0,0,1,1,1,2,2,3,3,3
990,500,39.224613,-119.957443,990_500,NV,0.08055346098720244,0.2619193863773676,5.517526107371402,0.0,32.95165171695192,55.35936780367067,0.9979524741995506,0.26138309967612205,55.47295010022794,0,0,0,1,1,1,1,2,2,2
992,500,39.259995,-119.971542,992_500,NV,0.16257184648939835,0.2664788831798544,5.164393353339828,0.0,30.842679816456453,54.26088369409213,0.9980835199636835,0.2659681817201403,54.36507327169021,0,0,0,1,1,1,1,2,2,2
968,502,38.846237,-119.75799599999999,968_502,NV,0.10015313499550656,0.20594845558946961,11.343364090033162,0.0,67.74459703851323,73.63367498917319,0.995790535434494,0.20508152286334505,73.944943609094,0,1,1,2,2,3,3,4,5,5
970,502,38.881622,-119.771896,970_502,NV,5.239727544573372,0.16632877613058708,10.699463295808043,0.0,63.899106451123316,90.73136553757729,0.9960294837354988,0.165668365019706,91.09305198205512,0,1,2,3,4,4,5,6,7,7
972,502,38.917010999999995,-119.785812,972_502,NV,16.3830653305551,0.16207121609531946,10.06130568263078,0.0,60.08791516707218,92.6653622139122,0.9962663007713055,0.16146609092079078,93.01264344901665,0,1,2,3,4,5,5,6,7,8
974,502,38.9524,-119.79974399999999,974_502,NV,14.51302339842869,0.1751597513544925,9.430155802030487,0.0,56.318575314026205,85.32975615240154,0.9965005172732905,0.17454678283021272,85.62941481042888,0,1,2,3,3,4,5,6,6,7
976,502,38.987782,-119.81369,976_502,NV,16.335107847702094,0.19514931961388668,8.807654061117702,0.0,52.60088369633729,76.22510320638425,0.9967315244947409,0.1945114788428607,76.47506006697637,0,1,1,2,3,3,4,5,5,6
