row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1062,2130,42.11161,-79.785645,1062_2130,NY,0.6370153552277366,0.436932296594086,9.447310585306877,70.38680321756348,9.685930266702766,34.21193007683391,0.9950244986463851,0.43475833936094405,34.38300275357567,0,0,0,0,1,1,1,1,2,2
1064,2130,42.148041,-79.775574,1064_2130,NY,4.1627861608185315,0.44048626042175376,8.755795264220291,70.38680321756348,5.556077217717903,33.75668757523434,0.995281116455486,0.43840765705586504,33.9167367059597,0,0,0,0,0,1,1,1,1,2
1066,2130,42.184467,-79.765472,1066_2130,NY,7.850603225470429,0.46707792101756207,8.065742031359592,70.38680321756348,1.4349560208459982,31.66620216583964,0.9955371916911026,0.46499344179074237,31.808155868138677,0,0,0,0,0,0,0,0,1,1
1068,2130,42.220901,-79.755371,1068_2130,NY,11.376000523377314,0.45289031891983,8.280594912460142,70.38680321756348,2.718095814049775,32.712358467007256,0.9954574608826219,0.45083304693025483,32.86163372365792,0,0,0,0,0,0,1,1,1,1
1070,2130,42.257328,-79.745239,1070_2130,NY,13.542213714035077,0.4239284761302566,8.971689981058708,70.38680321756348,6.845439040090628,35.133291176422254,0.995200999027076,0.4218940429608573,35.302708910832195,0,0,0,0,1,1,1,2,2,2
1072,2130,42.293751,-79.735107,1072_2130,NY,2.073182136404509,0.42285631512294497,9.011236757989126,25.466684923874286,36.907467007116026,35.233048506753136,0.996124240251843,0.42121742563753745,35.370134650920065,0,0,0,0,1,1,1,2,2,2
1056,2132,41.994858,-79.766846,1056_2132,NY,2.417954212978888,0.4147631763410212,11.579656648583867,70.38680321756348,22.42068193797152,36.62744560348982,0.9942331958967319,0.4123713183538133,36.83989405569416,0,0,0,1,1,1,2,2,3,3
1058,2132,42.031284,-79.756775,1058_2132,NY,10.74119262599524,0.42875977201494975,10.90112170318515,70.38680321756348,18.368350011768566,35.25110875405098,0.9944849967546117,0.42639516048079534,35.44659685072068,0,0,0,0,1,1,1,2,2,2
1060,2132,42.067703,-79.746674,1060_2132,NY,14.452241478990445,0.4541616415156964,10.230239692637486,70.38680321756348,14.361722779828387,33.110838242689766,0.9947339576473964,0.45177000707654674,33.28612438344703,0,0,0,0,0,1,1,1,1,1
1062,2132,42.104122,-79.736572,1062_2132,NY,17.11944632350773,0.44047891854409127,9.575565457595653,70.38680321756348,10.451891279015106,33.96970324028302,0.9949769039173463,0.4382663506138609,34.14119775699328,0,0,0,0,1,1,1,1,1,2
1064,2132,42.140549,-79.72644,1064_2132,NY,17.132006492199807,0.4402074862992142,8.96538396272291,70.38680321756348,6.807778371907421,33.832415822731626,0.9952033391583214,0.43809596028746894,33.9954806133839,0,0,0,0,0,1,1,1,1,2
1066,2132,42.176971,-79.716309,1066_2132,NY,17.126882508097957,0.45539359738785234,8.527746322709191,70.38680321756348,4.194128194032489,32.594494466306344,0.9953657442546885,0.4532831869927796,32.74624895868051,0,0,0,0,0,0,1,1,1,1
1068,2132,42.213390000000004,-79.706177,1068_2132,NY,17.13378539350088,0.4512890156324586,8.627855176896754,70.38680321756348,4.7919961574599,32.916272115825336,0.9953285943694294,0.4491808615838185,33.07075904583932,0,0,0,0,0,0,1,1,1,1
1070,2132,42.249817,-79.696014,1070_2132,NY,17.132297957704186,0.44212379915429595,9.041060033198095,25.534863390282112,37.04030811966553,33.705314154292694,0.9961117494432533,0.4404047110460833,33.8368804234377,0,0,0,0,0,1,1,1,1,1
1072,2132,42.28624,-79.685852,1072_2132,NY,12.99237244657002,0.418122244531997,8.516948034821816,25.466684923874286,33.955486438928794,35.49701457619582,0.9963076682762622,0.416578398504111,35.6285670646399,0,0,0,0,1,1,1,2,2,2
