row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
1048,2102,41.958690999999995,-80.541748,1048_2102,PA,0.6168320738742945,0.42861319057060626,2.7143973042615728,6.830636023639914,13.325393602544993,33.08274239996693,0.9987475592711182,0.42807637795379966,33.12422853289432,0,0,0,0,0,0,1,1,1,1
1050,2102,41.995182,-80.532166,1050_2102,PA,0.5750140044986984,0.44594645249629555,2.8256632288876777,6.830636023639914,13.989893584039553,31.82534872292181,0.9987062690539178,0.4453695177704055,31.866575497788972,0,0,0,0,0,0,0,0,1,1
1038,2104,41.769119,-80.540649,1038_2104,PA,0.7805406778485419,0.42770759032624306,4.246754407549076,6.830636023639914,22.47690400610569,33.5617761000929,0.9981789093647243,0.42692869603886363,33.623006642619586,0,0,0,0,0,0,1,1,1,1
1040,2104,41.805599,-80.53106700000001,1040_2104,PA,4.1471531528284515,0.42651038042949174,3.6282423302211466,6.830636023639914,18.78303937216959,33.490439240738546,0.9984084360423646,0.4258315618804428,33.54382638581539,0,0,0,0,0,0,1,1,1,1
1042,2104,41.842087,-80.521484,1042_2104,PA,7.632922997348007,0.4270146072225913,3.0472469593408684,6.830636023639914,15.313231212162721,33.295573660392265,0.9986240404615679,0.4264270524007336,33.34145014674683,0,0,0,0,0,0,1,1,1,1
1044,2104,41.878571,-80.511902,1044_2104,PA,11.116323395620249,0.4314885336689471,2.536152057090136,6.830636023639914,12.26088113976784,32.81512957371702,0.9988137051733377,0.43097666105369153,32.85410422759685,0,0,0,0,0,0,1,1,1,1
1046,2104,41.915054,-80.502319,1046_2104,PA,14.601940331343059,0.42631181828722253,2.159989575863966,6.830636023639914,10.014371593797717,33.11287797772121,0.9989532971517866,0.42586559649279426,33.1475736374589,0,0,0,0,0,0,1,1,1,1
1048,2104,41.951541999999996,-80.492676,1048_2104,PA,17.115441946037105,0.41732517177898976,2.0203598121529165,6.830636023639914,9.180477697585822,33.78773364797036,0.999005113045023,0.4169099804096033,33.821382099820774,0,0,0,0,0,1,1,1,1,1
1050,2104,41.988029,-80.483063,1050_2104,PA,9.27986341600627,0.43963168260218266,2.1780524900930804,6.830636023639914,10.12224654483343,32.11432149827805,0.9989465940964325,0.4391685719923342,32.14818658781865,0,0,0,0,0,0,0,1,1,1
1032,2106,41.652557,-80.52044699999999,1032_2106,PA,1.7989157110023166,0.390223445989295,6.055571362462733,6.830636023639914,33.27948203802515,37.31480639171116,0.9975076666172676,0.389250879068131,37.40803969783264,0,0,0,1,1,1,2,2,3,3
1034,2106,41.689021999999994,-80.51089499999999,1034_2106,PA,10.16644878619,0.3914265002938331,5.373555714052258,6.830636023639914,29.206362731546744,37.00121646873155,0.9977607591462844,0.3905500020831482,37.08425705215242,0,0,0,1,1,1,2,2,2,3
1036,2106,41.725497999999995,-80.501343,1036_2106,PA,14.79241099454305,0.41936422321279293,4.694357908284017,6.830636023639914,25.150072084785236,34.35133918319051,0.9980128059882669,0.41853086513968935,34.419737880191455,0,0,0,0,0,1,1,1,1,2
1038,2106,41.761978000000006,-80.49176,1038_2106,PA,17.110978010705768,0.4292730701750397,4.0196497008285625,6.830636023639914,21.120594121293927,33.37898923444201,0.9982631867632114,0.4285275030245628,33.43706316835215,0,0,0,0,0,0,1,1,1,1
1040,2106,41.798454,-80.482147,1040_2106,PA,17.107895808196073,0.4257278589587803,3.3528433423120614,6.830636023639914,17.13830741147125,33.478151454657905,0.9985106352023121,0.425093794872252,33.52808700718021,0,0,0,0,0,0,1,1,1,1
1042,2106,41.83493,-80.472534,1042_2106,PA,17.110175051478166,0.41834167266279526,2.701243376307716,6.830636023639914,13.246835994622435,33.89143159628418,0.9987524406267002,0.4178197665878229,33.933765984109016,0,0,0,0,0,1,1,1,1,2
1044,2106,41.871414,-80.462921,1044_2106,PA,17.113812573668554,0.4191401882236924,2.0834105449996376,6.830636023639914,9.557027939276212,33.65859375282714,0.9989817152396065,0.41871338415755577,33.692902722202575,0,0,0,0,0,1,1,1,1,1
1046,2106,41.907894,-80.453278,1046_2106,PA,17.118183671537885,0.4304265265286627,1.5591666756356508,6.830636023639914,6.426149885985197,32.63698509390692,0.9991762594660155,0.4300719667518589,32.66389166546945,0,0,0,0,0,0,1,1,1,1
1048,2106,41.94437,-80.443634,1048_2106,PA,17.118085216636867,0.4176748747682129,1.3266699469449674,6.830636023639914,5.03763788258737,33.56985122858031,0.9992625378163578,0.4173668553430138,33.59462599482511,0,0,0,0,0,0,1,1,1,1
1050,2106,41.980858000000005,-80.43396,1050_2106,PA,16.756949780945845,0.42523893376043403,1.5884110242379197,6.830636023639914,6.600802360858608,33.04298221717683,0.9991654070373881,0.424884032338889,33.07058269276168,0,0,0,0,0,0,1,1,1,1
1052,2106,42.017342,-80.424316,1052_2106,PA,4.294216953286875,0.4448702428460506,2.123041496304065,6.830636023639914,9.793711061237392,31.722043964598207,0.9989670083956853,0.4444106956201812,31.754846454381884,0,0,0,0,0,0,0,0,1,1
1018,2108,41.390121,-80.538452,1018_2108,PA,1.5365630552845648,0.3799423989374575,10.51755970800564,1.1899184824756541,62.31008732791541,39.66514866179435,0.9960542827612319,0.3784432536642311,39.82227610310133,0,0,1,1,2,2,2,3,3,4
1020,2108,41.426575,-80.528961,1020_2108,PA,4.981297535418106,0.41345059838776993,10.13925383517534,6.830636023639914,57.667963387242445,36.34602584553007,0.995992232877398,0.4117935846727313,36.49227839912694,0,0,0,1,1,1,2,2,2,3
1022,2108,41.463046999999996,-80.51944,1022_2108,PA,8.4677552058833,0.41772037359515385,9.448126555613246,6.830636023639914,53.540427791572334,35.785638603230424,0.9962487066862682,0.4161533819506768,35.92038650896818,0,0,0,1,1,1,1,2,2,2
1024,2108,41.499512,-80.509888,1024_2108,PA,11.955202592267186,0.4025288552573213,8.757063155524088,6.830636023639914,49.41327369552779,36.940213394602864,0.9965051567897916,0.4011220800206123,37.06976641606606,0,0,0,1,1,1,2,2,2,3
