row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
740,2024,36.591621,-83.6521,740_2024,VA,0.17963913658948968,0.2770683774163657,11.271360382319939,37.174383822991814,58.24781287674555,54.703182598436776,0.9940707248499548,0.2754255627712875,55.02946745232205,0,1,1,2,3,3,4,4,5,6
742,2024,36.628006,-83.645081,742_2024,VA,0.2219509313779229,0.3688823940755589,10.945373023537169,37.174383822991814,56.300958126681394,40.986799901738635,0.9941916970963455,0.36673981339494277,41.226254475314406,0,0,0,1,1,1,2,2,2,3
740,2026,36.585964000000004,-83.606812,740_2026,VA,1.5650766640906688,0.21110436972287425,10.684304862895242,37.174383822991814,54.74181242687857,71.47889260470889,0.9942885781593778,0.20989866361498824,71.88948377243786,0,1,2,3,4,5,5,6,7,8
742,2026,36.62233,-83.599731,742_2026,VA,8.960399709948451,0.3137636690197849,10.33620825308715,37.174383822991814,52.66291727948205,47.96530319430619,0.9944177550360723,0.31201216335853577,48.234560325772,0,0,1,1,2,2,3,3,4,4
744,2026,36.658707,-83.592651,744_2026,VA,0.005073144727403378,0.3792239221081973,10.028995134756807,37.174383822991814,50.82818564775028,39.593228828351876,0.9945317602575751,0.377150234786047,39.81092450792881,0,0,0,0,1,1,1,1,2,2
740,2028,36.58028,-83.561523,740_2028,VA,0.18861695572488127,0.2276923997648354,10.112007603944171,37.174383822991814,51.32395094538462,65.98452934748867,0.9945009547536023,0.2264403089562677,66.34938763214863,0,1,2,3,3,4,5,6,7,7
742,2028,36.616646,-83.554413,742_2028,VA,15.880822074518864,0.21933883013457,9.73967094247933,37.174383822991814,49.100289878579595,68.30378205351299,0.9946391269898486,0.2181629825200234,68.6719235148389,0,1,2,3,4,4,5,6,7,8
744,2028,36.653015,-83.547302,744_2028,VA,4.978550346012627,0.39950249743272703,9.409237581126868,37.174383822991814,47.12688280681219,37.40640181742514,0.9947617491251194,0.3974098031260331,37.603377743790006,0,0,0,0,0,1,1,1,1,2
742,2030,36.610939,-83.50909399999999,742_2030,VA,13.596624811811648,0.22266469475153286,9.158278360330176,37.174383822991814,45.628109501906174,66.98548528225726,0.9948548788121281,0.2215190579127757,67.33191615066406,0,1,2,3,4,4,5,6,7,7
744,2030,36.647304999999996,-83.501984,744_2030,VA,12.731126686309599,0.2960942064723279,8.80192357356522,37.174383822991814,43.49989504625374,50.2361158639171,0.9949871202561767,0.2946099218224394,50.48921221310175,0,1,1,2,2,3,3,4,4,5
742,2032,36.605209,-83.463806,742_2032,VA,10.922712063051852,0.24245291903591712,8.596225561343765,37.174383822991814,42.27142976567532,61.25371232397471,0.995063453739504,0.24125603898510403,61.55759423560362,0,1,2,2,3,4,5,5,6,7
744,2032,36.641566999999995,-83.456665,744_2032,VA,14.027765107777247,0.3044510127255853,8.209963164719799,37.174383822991814,39.96460172042086,48.63523803478716,0.99520679374505,0.3029917162270631,48.86947952974529,0,0,1,1,2,3,3,3,4,5
746,2032,36.677937,-83.449493,746_2032,VA,0.2088703079159689,0.4356155023516903,7.873615594863162,37.174383822991814,37.95587393878845,33.90295238072055,0.9953316106129357,0.433581879563671,34.061966905524834,0,0,0,0,0,0,0,0,0,1
742,2034,36.599457,-83.418518,742_2034,VA,8.2486115725801,0.25452674274254233,8.05798574307963,37.174383822991814,39.05696540492855,58.10665823852419,0.995263191791174,0.2533210983781537,58.383208298851805,0,1,2,2,3,4,4,5,6,6
744,2034,36.635818,-83.411316,744_2034,VA,16.76537155942913,0.24198168622688887,7.63733236046439,37.174383822991814,36.54474824677563,60.920637798793884,0.995419294116236,0.24087323929302623,61.20098149481934,0,1,2,2,3,4,5,5,6,7
746,2034,36.67218,-83.40414399999999,746_2034,VA,10.584544479067217,0.3520745423434841,7.268050214159746,37.174383822991814,34.33932929025052,41.75116742770719,0.9955563328374836,0.35051004026091437,41.93752382520651,0,0,0,1,1,1,2,2,2,3
748,2034,36.708549,-83.39694200000001,748_2034,VA,0.2723933580893252,0.3894896711181057,6.959687838883454,37.174383822991814,32.497734090702444,37.65009207542561,0.995670764542378,0.38780347862352366,37.81379690577742,0,0,0,0,0,1,1,1,1,2
742,2036,36.593681,-83.37323,742_2036,VA,5.567876377980246,0.22749291946194972,7.549996932635058,37.174383822991814,36.02316546775835,64.7567796734715,0.9954517038481148,0.22645821429177979,65.05265842947621,0,1,2,3,3,4,5,6,6,7
744,2036,36.630043,-83.366028,744_2036,VA,16.758450656589197,0.22181204662514087,7.091504077564242,37.174383822991814,33.28496421940901,66.17931586314147,0.9956218482084332,0.2208409198158179,66.47033307096214,0,1,2,3,3,4,5,6,7,7
746,2036,36.666405,-83.35882600000001,746_2036,VA,16.767361684921894,0.2360311152218418,6.683278776494124,37.174383822991814,30.846969784740384,61.995082387065644,0.995773338535814,0.2350334916027848,62.258226835258775,0,1,2,2,3,4,5,5,6,7
748,2036,36.702766,-83.35159300000001,748_2036,VA,6.630928968506926,0.29616813456389174,6.337672658957282,37.174383822991814,28.78294830215832,49.273753580662145,0.9959015912035275,0.2949543164759602,49.476528620780485,0,0,1,2,2,3,3,3,4,5
742,2038,36.587894,-83.32794200000001,742_2038,VA,2.892015365555406,0.20996495531904338,7.080440689641799,37.174383822991814,33.21889169006605,69.90741159506737,0.9956259537752707,0.20904655889890467,70.2145332089712,0,1,2,3,4,5,5,6,7,8
744,2038,36.624249,-83.32074,744_2038,VA,16.76482121685594,0.21659100052094074,6.5800182066168205,37.174383822991814,30.230279212104033,67.50502404363793,0.9958116580066925,0.21568384333808638,67.7889473384577,0,1,2,3,4,4,5,6,7,8
746,2038,36.660603,-83.313477,746_2038,VA,16.770615394356767,0.2629526228311304,6.126335789803753,37.174383822991814,27.52080676049993,55.406142409647344,0.9959800172379055,0.2618955578201017,55.62977313872425,0,1,1,2,3,3,4,4,5,6
748,2038,36.696964,-83.30624399999999,748_2038,VA,14.585604957935557,0.2806259307651184,5.735776514309706,37.174383822991814,25.188316986919855,51.75789007021304,0.9961249517932872,0.2795384917553499,51.95923460910723,0,1,1,2,2,3,3,4,4,5
750,2038,36.73333,-83.29898100000001,750_2038,VA,0.5836885524045092,0.32171109211876453,5.426469116600453,37.174383822991814,23.341077944557128,45.03822642950039,0.9962397341911872,0.3205013728987545,45.208221358552194,0,0,1,1,2,2,2,3,3,4
742,2040,36.582085,-83.282684,742_2040,VA,0.6439304514281814,0.28140847092856525,6.660348626639293,37.174383822991814,30.71002683293008,51.98902075974642,0.995781847797487,0.2802214471671121,52.209247311284045,0,1,1,2,2,3,3,4,4,5
744,2040,36.618435,-83.275421,744_2040,VA,16.732646530417043,0.1830560345645913,6.1140650082411705,37.174383822991814,27.447523460615805,79.58104046157887,0.9959845708623655,0.1823209860295808,79.90188080190264,0,1,2,3,4,5,6,7,8,9
