row_full,col_full,latitude,longitude,rowf_colf,state,km2,cf,cost_trans_annual,km_urban_fromstation,km_site_spur,lcoe,transloss,cf_transloss,lcoe_transloss,binlcoe_1,binlcoe_2,binlcoe_3,binlcoe_4,binlcoe_5,binlcoe_6,binlcoe_7,binlcoe_8,binlcoe_9,binlcoe_10
994,880,40.998112,-111.034332,994_880,WY,6.536638030952994,0.280725464823314,50.26973990355956,225.88705033153354,204.79818671885647,69.84899593188695,0.9732383935619329,0.27321280041656903,71.76966752847493,0,1,2,2,3,3,4,5,5,6
996,880,41.034595,-111.04351799999999,996_880,WY,9.028459834824456,0.3081794810716312,50.11518183222298,225.88705033153354,203.87513830229838,63.569281662908026,0.9732957492739985,0.2999497789404853,65.31342781505587,0,1,1,2,2,3,3,4,4,5
998,880,41.071083,-111.052719,998_880,WY,5.7059837317104325,0.3623962179457854,49.973971191487294,225.88705033153354,203.0318031260437,54.01443869853708,0.9733481518226368,0.3527376889650437,55.49344147558373,0,0,1,1,2,2,3,3,3,4
1000,880,41.107571,-111.061935,1000_880,WY,2.3808771106581217,0.3610198601090491,49.846315069093755,225.88705033153354,202.2694179550829,54.179999062086075,0.9733955243586428,0.3514151160347317,55.66082615572384,0,0,1,1,2,2,3,3,3,4
1002,880,41.144065999999995,-111.07116699999999,1002_880,WY,0.0034006598371582554,0.32576905351956026,49.732337912207136,225.88705033153354,201.5887260101189,60.00276692936477,0.9734378207003087,0.317115917509683,61.64006128937715,0,1,1,2,2,3,3,4,4,5
994,882,41.005035,-110.985992,994_882,WY,11.858940683395591,0.31491346049717117,49.596422473014535,225.88705033153354,200.77701472356117,62.02189356785,0.9734882582266584,0.3065645561515208,63.710982689027304,0,1,1,2,2,3,3,4,4,5
996,882,41.041527,-110.995148,996_882,WY,17.075794958902918,0.2996763057435323,49.43864354969446,225.88705033153354,199.8347308034954,65.11531763916769,0.9735468091804697,0.29174891124360675,66.8846295063939,0,1,1,2,2,3,4,4,5,5
998,882,41.078014,-111.004318,998_882,WY,17.07816721469656,0.31056600889327385,49.29451470126799,225.88705033153354,198.97396756952182,62.7791329837186,0.9736002946610999,0.30236715777021317,64.48142356568549,0,1,1,2,2,3,3,4,4,5
1000,882,41.114506,-111.013504,1000_882,WY,17.083887086314174,0.31795377275027303,49.16416878318203,225.88705033153354,198.19551845810642,61.27364029368153,0.9736486653665701,0.3095752664865691,62.93198201079292,0,1,1,2,2,3,3,4,4,5
1002,882,41.151009,-111.022705,1002_882,WY,16.45752324236965,0.33301803679044206,49.04772485708648,225.88705033153354,197.50009452669468,58.46197582427951,0.9736918771137094,0.3242569573552079,60.0415564701812,0,1,1,2,2,3,3,3,4,5
1004,882,41.187484999999995,-111.031906,1004_882,WY,13.267515207314132,0.3269799547454317,48.94537154735839,225.88705033153354,196.88882227376754,59.505813630878265,0.9737298599049734,0.31839014552600375,61.111213778208935,0,1,1,2,2,3,3,4,4,5
1006,882,41.223988,-111.041122,1006_882,WY,9.94654195983634,0.3357037897603004,48.857107023269606,225.88705033153354,196.36169076588925,57.92943953086167,0.9737626144197359,0.3268957999876035,59.490309725416765,0,1,1,1,2,2,3,3,4,4
1008,882,41.260487,-111.050354,1008_882,WY,6.61875718274107,0.3173517243408626,48.78325318200053,225.88705033153354,195.92062243053397,61.252862658227656,0.9737900212035948,0.30903394237488596,62.901509898940766,0,1,1,2,2,3,3,4,4,5
1010,882,41.296978,-111.059601,1010_882,WY,3.2879148129477764,0.3523219731902683,48.723910427940396,225.88705033153354,195.56621690065327,55.15388984244641,0.9738120429969934,0.34309538050514715,56.63709977615947,0,0,1,1,2,2,3,3,4,4
1012,882,41.333477,-111.068848,1012_882,WY,0.2707014466654997,0.3422608598034135,48.678874223604886,225.88705033153354,195.29725264184623,56.76017465260656,0.973828755702749,0.33330346722811116,58.28558082744888,0,1,1,1,2,2,3,3,4,4
992,884,40.975449,-110.928497,992_884,WY,0.04541423857243662,0.3517716431003093,49.09819614622744,225.88705033153354,197.80151808303398,55.361636904387666,0.9736731474757001,0.34251060293017677,56.858543390988736,0,0,1,1,2,2,3,3,4,4
994,884,41.011936,-110.93762199999999,994_884,WY,15.016049627704914,0.3145930345877112,48.92368218128205,225.88705033153354,196.75928950437037,61.84095054291157,0.973737908718114,0.30633116359672324,63.50882510502506,0,1,1,2,2,3,3,4,4,5
996,884,41.048431,-110.946762,996_884,WY,17.078931754995608,0.3119262391191842,48.76277981874479,225.88705033153354,195.7983518472419,62.31077096419563,0.9737976187642899,0.30375302888436206,63.98739303066432,0,1,1,2,2,3,3,4,4,5
998,884,41.08493,-110.95590200000001,998_884,WY,17.07674155573474,0.31828091339864784,48.615534441603316,225.88705033153354,194.9189761469593,61.01388676784505,0.9738522607728328,0.3099585870741154,62.65209747464717,0,1,1,2,2,3,3,4,4,5
1000,884,41.121418,-110.965057,1000_884,WY,17.080902281356508,0.33011835020154556,48.482433347788046,225.88705033153354,194.12407263382752,58.78001453064588,0.9739016539099655,0.32150280724731445,60.35518503809824,0,1,1,2,2,3,3,4,4,5
1002,884,41.157925,-110.974228,1002_884,WY,17.08279303748657,0.3275333280104267,48.36346139116314,225.88705033153354,193.4135508524171,59.202464267926615,0.9739458037963419,0.31899971041920594,60.78619984516738,0,1,1,2,2,3,3,4,4,5
1004,884,41.194416,-110.983398,1004_884,WY,17.080740166365313,0.34002159263693027,48.25878308849275,225.88705033153354,192.7883933262373,56.99294100670358,0.9739846493806299,0.3311758116863239,58.51523537146727,0,1,1,1,2,2,3,3,4,4
1006,884,41.230911,-110.992599,1006_884,WY,15.041459146843328,0.3196981668039605,48.16883361291519,225.88705033153354,192.25119898702167,60.583901868490216,0.974018029172297,0.3113917783603899,62.19997993258228,0,1,1,2,2,3,3,4,4,5
1008,884,41.267418,-111.001801,1008_884,WY,14.311349348680627,0.31241725622963706,48.09329942093751,225.88705033153354,191.80009529701024,61.9682151177404,0.9740460595257345,0.3043087973583197,63.619388951599355,0,1,1,2,2,3,3,4,4,5
1010,884,41.303917,-111.011017,1010_884,WY,17.089759959232158,0.3015593988440436,48.03256948647535,225.88705033153354,191.4374052779241,64.1764348045433,0.9740685960947061,0.2937395402711811,65.88492336355293,0,1,1,2,2,3,3,4,4,5
1012,884,41.34042,-111.020233,1012_884,WY,16.984456303968464,0.2937449302600881,47.986475672289416,225.88705033153354,191.16212478412982,65.86580143373592,0.9740857012740836,0.28613273638810466,67.61807646656229,0,1,1,2,2,3,4,4,5,5
1014,884,41.376919,-111.02946499999999,1014_884,WY,14.189926954958803,0.2879715433567594,47.95533671983269,225.88705033153354,190.976157396533,67.17396569207064,0.9740972567805395,0.2805122904146775,68.96022468442767,0,1,1,2,2,3,4,4,5,5
1016,884,41.413418,-111.03871200000002,1016_884,WY,10.864224596303815,0.26106562880152706,47.939164679106504,225.88705033153354,190.87957507989483,74.0899694041067,0.9741032581423796,0.25430487960455656,76.05966696528321,0,1,2,2,3,4,4,5,5,6
1018,884,41.449923999999996,-111.047974,1018_884,WY,7.472052658242536,0.2542026080705485,47.93796049445736,225.88705033153354,190.87238347402118,76.08972674662706,0.9741037050091619,0.24761970234451317,78.11255244728939,0,1,2,2,3,4,4,5,6,6
1020,884,41.486427,-111.057236,1020_884,WY,4.204815063675422,0.24500562047174484,47.95155773692542,225.88705033153354,190.9535886354286,78.95230789298385,0.9740986591418245,0.2386596463837374,81.05165442126817,0,1,2,2,3,4,5,5,6,7
1022,884,41.52293,-111.06651299999999,1022_884,WY,0.9558125885004316,0.22465015564117555,47.98013337912217,225.88705033153354,191.124247476172,86.12066698725306,0.9740880548667339,0.21882903313402172,88.41158307709185,0,1,2,3,3,4,5,6,6,7
992,886,40.982315,-110.88015700000001,992_886,WY,1.5508239132994144,0.3334362309962778,48.43023111217636,225.88705033153354,193.81231155590083,58.17724787856015,0.9739210258933827,0.32474055616191777,59.73507741574206,0,1,1,2,2,2,3,3,4,4
994,886,41.018814,-110.889252,994_886,WY,16.901344971898922,0.31437827899115955,48.25196254912007,225.88705033153354,192.74765984649352,61.63928383335249,0.973987180448008,0.30620041354869676,63.285518609187505,0,1,1,2,2,3,3,4,4,5
996,886,41.055309,-110.89836100000001,996_886,WY,17.078258072982248,0.3181117554752667,48.08763395402943,225.88705033153354,191.7662601163992,60.856892788546574,0.9740481619516117,0.3098561707158841,62.478320031540484,0,1,1,2,2,3,3,4,4,5
998,886,41.091815999999994,-110.907486,998_886,WY,17.0790557497305,0.33491144547271556,47.93736829193608,225.88705033153354,190.86884673475663,57.752996037623284,0.9741039247724974,0.3262385534862025,59.288331120431046,0,1,1,1,2,2,3,3,4,4
1000,886,41.128307,-110.916611,1000_886,WY,17.079242550483002,0.34251303568975555,47.80136179028279,225.88705033153354,190.05659160691366,56.425921098352426,0.974154396091662,0.3336605794358757,57.922975377142464,0,1,1,1,2,2,3,3,4,4
1002,886,41.164818,-110.925751,1002_886,WY,17.08091508898617,0.33245927282731025,47.67974443109092,225.88705033153354,189.33027100872525,58.09051467437105,0.9741995276734401,0.323881666559021,59.62897027172803,0,1,1,1,2,2,3,3,4,4
1004,886,41.201305,-110.93490600000001,1004_886,WY,17.08038517407528,0.3573283205359161,47.57297431319945,225.88705033153354,188.69262078830545,54.013468253052515,0.9742391495196889,0.3481232390982097,55.44169342782189,0,0,1,1,2,2,3,3,3,4
1006,886,41.237815999999995,-110.944061,1006_886,WY,12.044137856303868,0.3618865212457894,47.480702221719646,225.88705033153354,188.1415553719452,53.304026043858876,0.9742733912222725,0.35257640829176623,54.711569179762186,0,0,1,1,2,2,3,3,3,4
1008,886,41.274322999999995,-110.953232,1008_886,WY,8.875459668869413,0.2957579104969222,47.403447297746624,225.88705033153354,187.68017516301828,65.19247267389535,0.9743020601305783,0.28815754149706646,66.91197252026552,0,1,1,2,2,3,4,4,5,5
