row_full,col_full,latitude,longitude,rowf_colf,km2,lon_station,lat_station,voltage,objectid,km_urban_fromstation,lat_urban_fromstation,lon_urban_fromstation,cost_trunk_upfront,km_site_spur,cost_spur_upfront,cost_trans_upfront,cost_trans_annual
994,880,40.998112,-111.034332,994_880,6.536638030952994,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,204.79818671885647,524.5657341566289,892.6684097597081,50.26973990355956
996,880,41.034595,-111.04351799999999,996_880,9.028459834824456,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,203.87513830229835,522.2014575092062,890.3041331122854,50.11518183222298
998,880,41.071083,-111.052719,998_880,5.7059837317104325,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,203.0318031260437,520.0413566657381,888.1440322688172,49.9739711914873
1000,880,41.107571,-111.061935,1000_880,2.3808771106581217,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,202.26941795508293,518.0885994498543,886.1912750529334,49.84631506909375
1002,880,41.144065999999995,-111.07116699999999,1002_880,0.0034006598371582554,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,201.58872601011893,516.3450895313084,884.4477651343875,49.73233791220713
994,882,41.005035,-110.985992,994_882,11.858940683395591,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,200.77701472356117,514.2659894485478,882.368665051627,49.59642247301454
996,882,41.041527,-110.995148,996_882,17.075794958902918,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,199.8347308034954,511.8524433901941,879.9551189932732,49.43864354969446
998,882,41.078014,-111.004318,998_882,17.07816721469656,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,198.97396756952185,509.6477026891242,877.7503782922033,49.294514701267985
1000,882,41.114506,-111.013504,1000_882,17.083887086314174,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,198.1955184581064,507.6537996366826,875.7564752397618,49.16416878318203
1002,882,41.151009,-111.022705,1002_882,16.45752324236965,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,197.50009452669468,505.8725555203377,873.9752311234168,49.04772485708648
1004,882,41.187484999999995,-111.031906,1004_882,13.267515207314132,-108.790339686245,41.734917105249,345,6369,225.88705033153354,42.78038,-106.44211,368.10267560307915,196.88882227376754,504.3068557294187,872.4095313324979,48.94537154735839
