latlon,km2
34.0_-88.125,2057.1792699604434
33.5_-88.125,2389.3855972390015
34.5_-88.125,1713.450062642922
34.0_-87.5,3180.1024773743006
33.0_-88.125,2692.7075452409836
32.0_-85.0,1210.2117656660157
32.0_-85.625,3223.4658915001696
31.5_-85.625,3252.4480946984763
32.5_-85.625,3216.965412742557
32.0_-86.25,3202.0253318298023
32.5_-85.0,1341.2124150983495
33.0_-85.625,3172.05801991375
32.5_-86.25,2919.350079419087
32.5_-86.875,3230.8983550871426
33.0_-86.25,3197.220711479732
30.0_-87.5,10.429978370792794
32.0_-86.875,3272.58673176775
32.0_-87.5,3272.1002294083146
31.5_-86.875,3289.6022471813912
31.5_-86.25,3286.766359297245
32.0_-88.125,3270.2929966314746
31.5_-87.5,3275.300579321889
32.5_-87.5,3253.6268315782504
33.0_-85.0,510.7161617671589
33.5_-85.625,2996.1685179718884
31.0_-88.75,0.16567520654821463
31.0_-88.125,2631.6302238070257
31.5_-88.75,81.35034040252461
31.5_-88.125,3292.733963372989
31.0_-87.5,2204.2992116659498
30.0_-88.125,32.80725424106515
30.5_-88.125,1081.1398087128973
32.5_-88.125,3037.3839091880814
33.0_-87.5,3042.807631515262
33.5_-87.5,3154.650687961288
33.0_-86.875,3122.607320900792
32.0_-88.75,98.9189625667215
34.5_-85.625,2164.77030834809
33.5_-86.875,2011.4955769482767
34.5_-87.5,3113.6272107727127
34.0_-86.875,3095.8642954620223
33.5_-86.25,3210.230167308096
31.0_-85.0,658.9708428812066
31.0_-85.625,1556.1553501702817
31.0_-86.25,1676.5359592686393
31.5_-85.0,1191.2828645421193
31.0_-86.875,1660.8143710948852
34.0_-86.25,2964.076538536831
34.5_-86.25,2826.056510910438
34.0_-85.625,2522.845013871221
34.5_-86.875,2671.8540640905885
35.0_-86.25,1453.7197779792373
35.0_-86.875,1288.2191022578963
35.0_-85.625,807.3063784750254
33.5_-85.0,71.56003650222539
35.0_-88.125,723.068535192909
35.0_-87.5,1370.190728327366
30.5_-87.5,1665.0883559678339
