latlon,km2
35.5_-94.375,1770.41364900879
36.5_-90.0,513.0470894611859
35.0_-94.375,1936.0294489856417
34.5_-94.375,2040.9464784295174
35.0_-93.75,3164.7373019982874
35.5_-93.75,3064.6720083582254
36.0_-94.375,2121.0879080877894
34.0_-91.875,3085.208026033683
34.0_-91.25,2704.4519210111175
34.5_-91.875,3093.1439054150796
33.5_-91.875,3220.7059275868637
34.0_-92.5,3202.326446567514
33.5_-91.25,2005.1152392473805
33.0_-91.875,1562.304549586
33.5_-92.5,3220.9562650644975
34.5_-92.5,2859.5743422938863
34.0_-93.125,3174.653443154562
33.0_-92.5,1482.2516433756934
33.5_-93.125,3173.7229754042073
33.0_-93.125,1502.716588698365
34.5_-93.75,3159.677760943075
34.0_-94.375,2121.964512702657
34.5_-93.125,3036.228493283909
34.0_-93.75,3128.1802992238872
33.5_-94.375,747.2010125896902
33.5_-93.75,3052.5633376631845
33.0_-91.25,1081.274227518332
36.0_-89.375,10.059776999846598
36.0_-90.0,1473.5887951778886
36.0_-90.625,3031.3298731164905
35.5_-90.0,1510.2635531023304
36.5_-90.625,1533.5385294911484
35.0_-92.5,2721.097294873086
35.0_-93.125,3131.542672022484
34.5_-91.25,3159.5257387644424
35.0_-91.875,3102.994068970384
33.0_-93.75,1414.2209755217925
35.0_-91.25,3164.6636006498065
34.5_-90.625,1546.7002279565081
35.0_-90.625,2986.9848075914156
34.0_-90.625,83.4505494866939
36.5_-91.25,1529.0472310889768
36.5_-91.875,1532.7475981461125
36.0_-91.25,3116.801745685678
36.0_-93.75,3108.726541417715
36.5_-94.375,1060.5244104025192
36.5_-93.75,1437.284708675392
36.5_-93.125,1488.7156927639837
35.0_-90.0,377.0870723158027
35.5_-90.625,3057.392167336926
35.5_-92.5,3100.4320450110254
35.5_-93.125,3009.9876949548843
36.0_-93.125,2895.4453212469944
36.0_-92.5,2962.3494843344442
35.5_-91.875,3030.8394811899234
36.5_-92.5,1389.3999814976173
36.0_-91.875,3107.727486322461
35.5_-91.25,3144.923362284815
