latlon,km2
32.0_-113.75,466.6631942117858
34.5_-111.25,2828.1557854237726
34.5_-111.875,1657.9736353707597
34.0_-111.25,919.7489602283451
34.5_-110.625,3183.7015139056525
35.0_-111.25,2852.9171258516244
33.5_-111.25,1373.749931933009
34.0_-110.625,2643.6683826573317
34.0_-111.875,1476.1603305708513
35.0_-112.5,2974.5087658332927
35.0_-111.875,2932.329302786123
35.5_-111.875,2405.2629099295414
35.5_-112.5,3144.2713086884924
36.0_-111.875,1134.550713272462
35.5_-111.25,1239.744698285493
31.5_-110.0,2432.926373953689
31.5_-109.375,2601.3544648748457
32.0_-108.75,67.55955052284651
32.0_-109.375,1670.8844407547847
31.5_-108.75,58.41298269874868
32.5_-108.75,78.89385441620091
33.0_-108.75,50.51330376050581
31.5_-110.625,1844.6550189981606
37.0_-113.75,762.5330540190384
36.5_-112.5,1810.271644382152
37.0_-112.5,1564.2594305068262
36.5_-113.125,2334.526020844646
36.0_-112.5,2510.9516853138507
36.5_-111.875,795.0457573157831
37.0_-111.875,1231.1016469501426
36.0_-111.25,13.853786156357176
37.0_-111.25,50.74030124972904
36.5_-113.75,1939.4094927765177
36.0_-113.75,593.6226019669016
36.0_-114.375,765.2256878379607
37.0_-113.125,1545.3641472936188
36.0_-113.125,1216.0268763043343
33.5_-111.875,885.7592199220195
34.0_-112.5,2349.8556562180556
34.5_-112.5,2413.4503796897147
35.0_-110.625,2655.3970604817405
35.0_-110.0,1882.9943162676057
35.5_-109.375,1.1936022979420562
34.5_-110.0,3180.34577945847
35.0_-109.375,1454.1901566996407
34.0_-108.75,59.61833393257696
33.5_-108.75,25.69459824822929
35.0_-108.75,29.56180800709231
35.5_-108.75,2.4721381913637437
34.5_-108.75,86.75063558622249
34.5_-109.375,3183.701513905588
33.5_-110.625,2155.798530933783
33.0_-111.25,2993.6521887655745
33.5_-112.5,2257.5205701896384
33.0_-111.875,1813.298697940027
32.0_-113.125,936.2389865893447
31.5_-111.875,141.02213555203014
32.0_-111.875,1.2694875077026522
31.5_-111.25,2084.791560660826
32.0_-112.5,44.76723981242256
32.0_-111.25,2023.3499053085604
32.5_-111.875,865.7604968714294
32.5_-111.25,2741.3265340074863
32.5_-112.5,1584.6928046147166
33.0_-112.5,3076.823870367935
32.5_-110.625,1297.7888050218307
33.0_-110.625,1953.240712002058
32.0_-110.625,1768.8173387188579
33.0_-110.0,1646.210650910223
32.5_-109.375,3135.3843800765744
34.0_-110.0,2704.0157556106647
33.5_-110.0,3215.830502206105
34.0_-109.375,2735.8895437790025
32.0_-110.0,3208.365437838248
32.5_-110.0,1715.1940220124034
33.0_-109.375,1920.7085780361201
35.5_-113.125,2869.021971668343
35.5_-113.75,2363.100833118363
35.5_-114.375,1418.5902178094975
32.5_-115.0,255.6898679184564
33.5_-109.375,1727.9638046592584
35.0_-113.125,3149.6624958374405
32.5_-113.75,3248.92969809514
32.5_-114.375,2340.896100289472
32.5_-113.125,3256.723764051195
35.0_-113.75,1264.0921885977386
34.5_-113.125,3039.1870965249072
34.0_-113.125,2723.3421207987667
34.5_-113.75,2542.147638068519
35.0_-114.375,2027.0300728726743
33.0_-113.125,3238.838759387895
34.0_-113.75,2956.8780507420624
34.5_-114.375,950.037726412532
33.0_-114.375,2642.3951276588
33.0_-113.75,3238.838759387895
33.0_-115.0,12.588424590941925
33.5_-113.125,3206.2003821780995
33.5_-113.75,3168.1764390668823
33.5_-114.375,2634.437557447327
34.0_-114.375,1845.4743514252825
33.5_-115.0,29.942009784096555
