latlon,km2
38.5_-123.75,20.129358841005995
32.5_-116.875,348.9306228682209
39.0_-123.75,1221.2239776673264
42.0_-121.875,1228.1871616895323
42.0_-122.5,386.4674272223072
41.5_-122.5,609.6962446466521
42.0_-124.375,282.08968049969457
42.0_-123.75,152.25195113691706
41.5_-124.375,75.90840363981168
41.0_-124.375,290.2645674011702
41.5_-123.75,165.17796398587913
41.5_-123.125,150.2662840821045
41.0_-123.75,404.7899511354688
41.0_-123.125,8.732248923904123
40.5_-123.75,520.4686910674164
40.5_-123.125,399.19562088090856
41.0_-122.5,200.41384888144646
40.5_-124.375,930.0399809123433
42.0_-121.25,1282.3667055325577
42.0_-120.625,1065.634462125871
41.5_-121.25,2626.9661087435275
41.5_-121.875,2037.409221279816
42.0_-120.0,221.51814102866973
41.5_-120.625,2578.7747246002973
40.0_-123.125,218.59112039405449
40.0_-123.75,1084.2899909979271
39.5_-123.125,919.5671854714807
40.0_-122.5,1896.4881780193016
40.5_-122.5,1709.290749307864
36.0_-121.875,2.5865482293464055
37.5_-117.5,4.070311500387036
37.0_-117.5,0.19994888303492647
37.5_-118.125,233.524811237901
34.5_-120.625,806.2566867075101
32.5_-117.5,1.5966374246891601
33.0_-116.875,977.7510877493594
32.5_-116.25,656.4819876488274
33.0_-117.5,31.85394425605963
33.0_-118.125,35.09809738768502
33.5_-117.5,1347.677440971787
41.5_-120.0,531.7665836498313
40.0_-124.375,63.68131556084546
39.5_-123.75,1445.1988160606259
41.0_-120.0,1000.994607498138
38.5_-118.75,25.370348833462714
39.0_-119.375,3.649036419768094
39.5_-122.5,1701.9906302342188
39.0_-123.125,2383.6998315352475
39.0_-122.5,2323.7957649965983
39.5_-121.875,2863.259899140315
41.0_-121.25,2852.5554455976758
41.0_-120.625,2899.124033827302
41.0_-121.875,1162.4246363036725
35.5_-121.25,641.6721183796853
35.0_-120.625,1740.4543034105384
36.0_-121.25,1777.0549469699326
35.5_-120.625,2942.445504634572
37.0_-119.375,1111.530785046472
37.0_-118.75,58.24162431337084
37.5_-119.375,9.593940303898549
36.5_-119.375,2643.308312404879
37.0_-120.0,2804.9805084062677
38.0_-118.75,1496.571433211557
38.0_-119.375,168.84976068615907
37.5_-118.75,471.3759338506859
38.5_-119.375,98.35316138951192
38.0_-120.0,187.7575233479694
37.5_-120.0,1701.9786983112376
37.0_-118.125,232.6190532877168
33.0_-116.25,1342.6729891446448
32.5_-115.625,631.699900358279
33.0_-118.75,110.42627046789528
33.5_-118.125,110.51493233681464
33.0_-119.375,33.842278605935185
34.0_-119.375,106.69269513997928
33.5_-119.375,31.585947008135104
33.5_-118.75,90.73700054654537
34.5_-120.0,757.3002888510965
33.5_-116.25,786.6689389429492
33.5_-115.625,2023.9650565397897
34.0_-116.25,1027.2938179416512
33.5_-116.875,1010.9871660886182
33.0_-115.625,2891.0936330008944
34.0_-116.875,574.3426569846112
39.0_-120.0,244.47488650136563
38.5_-120.0,107.8481438969331
39.5_-120.0,517.7255879639346
39.0_-120.625,690.6815543599216
40.0_-120.0,738.8479420486259
39.5_-120.625,752.2670970530179
40.5_-120.0,1198.0358035747465
40.5_-120.625,2534.8949812411615
40.5_-121.25,1985.762683142631
40.0_-120.625,1011.7921746620307
38.5_-120.625,2017.370549736011
38.5_-121.25,1982.161055218122
38.0_-120.625,2745.0161181114177
40.0_-121.875,1982.1815873174562
40.5_-121.875,1565.1813424003712
40.0_-121.25,299.9270259103262
39.5_-121.25,2037.5196722106355
39.0_-121.25,2681.840319516901
39.0_-121.875,2922.413215519827
36.5_-118.75,211.06202350412332
34.5_-119.375,677.0165189140153
34.0_-118.75,165.68596296462948
36.5_-120.0,2987.361485391881
36.0_-119.375,3042.0159923627293
36.5_-118.125,221.89319834210002
36.0_-118.75,805.9965547716993
35.0_-119.375,2263.021992056188
35.0_-120.0,1735.8840868811976
35.5_-120.0,2934.9280654483646
36.0_-120.0,2988.619879694126
35.5_-119.375,2941.917684964413
34.5_-118.75,1223.8878577173746
36.0_-120.625,2825.747215514346
35.5_-118.125,747.6743857919573
35.5_-118.75,1013.9033978851779
35.0_-118.75,1143.9840275635443
36.0_-118.125,235.2772393738829
35.5_-117.5,2767.5915452266395
35.0_-118.125,2426.265139538804
34.5_-118.125,1674.037583190531
35.0_-117.5,3135.853180417848
34.0_-117.5,587.9797691018063
34.5_-116.875,2093.095595881557
34.5_-116.25,3080.4634425900795
34.0_-115.625,1354.102369758642
34.0_-118.125,46.327604840287016
34.5_-117.5,1972.6271729530745
36.0_-116.25,872.0353420605622
35.5_-116.25,1914.3691389731077
36.0_-115.625,377.01700175077553
36.5_-116.25,316.3624241841308
36.0_-116.875,50.276007466874994
35.5_-115.625,1068.7422646703803
35.5_-115.0,55.852840100662924
35.0_-115.625,254.1119853467468
36.5_-116.875,42.433184643670984
32.5_-115.0,341.76737653813217
38.5_-123.125,1909.1850882006229
36.5_-121.875,500.8400746962299
36.5_-117.5,127.84429950528107
36.0_-117.5,554.9462720137429
35.5_-116.875,2283.8372717117713
35.0_-116.875,3026.974019910069
35.0_-116.25,2728.2206451792727
34.5_-115.625,2689.4225331688417
33.0_-115.0,3226.250335073952
32.5_-114.375,31.693585877771525
33.5_-115.0,3035.1223473958003
33.0_-114.375,587.5860004139336
35.0_-115.0,1452.8240717480064
38.5_-121.875,2932.143414803318
38.5_-122.5,2314.193964589305
38.0_-123.125,129.58274073921424
37.0_-122.5,321.0508869636952
36.5_-121.25,2373.4779336654474
37.0_-121.875,1488.5216738149418
38.0_-121.25,3004.098873893176
37.5_-120.625,2998.1727465041245
36.5_-120.625,2255.108960215582
34.0_-115.0,2839.540529985163
33.5_-114.375,432.79763463145963
34.5_-115.0,2509.3489610071597
34.0_-114.375,1350.1659059637302
38.0_-121.875,2102.096681113275
38.0_-122.5,1099.7960855371214
37.0_-120.625,3052.9160299266314
37.0_-121.25,3071.8881762512524
37.5_-121.25,2810.794103084161
35.0_-114.375,205.80318494411577
34.5_-114.375,1751.8810480273512
37.5_-121.875,989.3151013326751
37.5_-122.5,508.6347237353976
