latlon,km2
41.0_-104.375,1477.7430934815702
41.0_-105.0,1462.4907383934453
40.5_-104.375,2908.4192156451963
41.0_-103.75,1476.2291450441376
39.5_-105.0,1268.800379985428
39.5_-105.625,357.7585443413768
39.0_-105.625,2477.80493787948
40.0_-105.625,315.5328204785542
39.5_-106.25,28.976895741606018
40.0_-105.0,1730.8904740558971
39.5_-104.375,2977.1931805954496
39.0_-105.0,1641.5385431315915
38.5_-106.875,1677.5763275682946
38.5_-106.25,211.71453811907443
39.0_-106.25,489.56350626305397
38.0_-106.25,2516.2736552486695
38.5_-105.625,1219.4165545661392
39.0_-106.875,4.376770149362916
37.5_-106.25,1872.36630423793
38.0_-105.625,1216.4312673754303
38.0_-106.875,900.5194082612518
38.5_-107.5,954.7502126478159
40.5_-105.0,2519.985259005159
40.5_-105.625,183.54972786688504
40.0_-104.375,2962.332980969187
41.0_-105.625,1336.6328634772578
39.0_-102.5,3005.2391836867487
39.0_-101.875,680.6849881238486
39.5_-101.875,668.3155002595287
38.5_-101.875,690.4662471503121
38.5_-102.5,3026.0160251007683
38.0_-101.875,700.1777423182242
37.0_-103.125,1548.1233251446636
37.5_-103.125,3066.866986087185
37.5_-103.75,3066.866986087185
38.0_-103.125,3039.591756049221
37.5_-102.5,3066.866986087185
37.5_-104.375,3066.866986087185
37.0_-103.75,1553.8286408331517
38.0_-103.75,3046.559084679394
37.0_-102.5,1568.5073234011218
37.5_-101.875,709.8506311299652
38.0_-102.5,3046.559084679394
40.5_-103.75,2927.7805007872244
41.0_-103.125,1479.009657323399
40.5_-103.125,2941.5200322438445
41.0_-102.5,1479.1827186324388
40.5_-102.5,2941.5200322438445
41.0_-101.875,325.2225036921433
38.5_-105.0,1671.7510823754017
38.0_-105.0,1596.7431093134435
38.5_-104.375,2924.5259555906155
38.0_-104.375,2991.892525123284
37.5_-105.0,1434.0424973837546
39.0_-104.375,2995.3926863874685
38.5_-103.75,3025.0088416685107
37.5_-105.625,2119.420152103086
40.0_-103.75,2955.721089331279
40.0_-103.125,2962.9897608270235
41.0_-108.75,1049.4543519766914
39.0_-107.5,537.5645979224786
38.0_-107.5,103.53638975986183
38.5_-108.125,2511.5703577554764
41.0_-107.5,1060.333346558528
41.0_-108.125,1469.9130752706124
39.5_-106.875,271.7851336068874
40.0_-106.875,1010.7657632933436
39.5_-107.5,613.90885684441
40.0_-106.25,1135.9075454983392
40.5_-108.75,1880.6236059036673
38.5_-103.125,3013.306618642522
39.0_-103.125,3005.2391836867487
39.0_-103.75,3004.762082696163
39.5_-102.5,2979.649462327348
37.0_-101.875,368.65585645578255
37.0_-104.375,1578.5550475391392
40.0_-101.875,661.0748677470742
40.0_-102.5,2962.9897608270235
39.5_-103.125,2984.229956795236
40.5_-101.875,651.7861037873256
37.0_-105.0,797.7317905813626
39.5_-103.75,2984.2299567952355
37.5_-106.875,258.4734188878854
38.5_-108.75,1517.5213896862062
38.0_-108.125,1366.0147096299625
39.0_-108.125,1310.13564887682
38.0_-108.75,2828.8654078420896
39.0_-108.75,1908.4184688266682
40.0_-107.5,1064.4649682080878
40.5_-106.875,1635.1454614861548
40.5_-106.25,1700.6897359064988
39.5_-108.125,991.7845962004267
37.5_-108.75,2685.274713412435
41.0_-106.25,1364.9592497798765
41.0_-106.875,893.5483657407723
40.5_-107.5,2732.6208557293076
37.0_-105.625,1369.021483322668
37.5_-108.125,1026.1773767011487
37.5_-107.5,389.72214298492327
39.5_-108.75,2797.3281833292835
40.0_-108.75,2907.941904788203
40.0_-108.125,2910.888553100037
40.5_-108.125,2937.8318227602845
37.0_-106.25,1145.1275926001324
37.0_-106.875,794.0679853611557
37.0_-107.5,1476.3058245347054
37.0_-108.125,1523.0254055589419
37.0_-108.75,1218.4126871972428
