latlon,km2
25.0_-80.0,0.0698477979347834
30.5_-85.0,3141.913201297346
30.0_-85.0,1903.7987958750768
30.5_-84.375,2832.8278773817065
31.0_-85.0,927.7703119264899
30.5_-85.625,3072.0242303274817
29.5_-85.0,253.92631353111045
29.5_-85.625,21.029021894040454
30.0_-84.375,1324.933698119786
30.0_-85.625,819.7680342209668
29.0_-80.625,180.2673546614658
28.5_-80.625,732.0032929803024
29.0_-81.25,2493.5927914739855
29.5_-81.25,1841.8887073539458
28.5_-81.25,1448.8795226056966
29.0_-81.875,2636.662407009493
24.5_-81.25,94.31081697209353
29.5_-81.875,3084.4639468287
30.0_-81.875,2646.9804634814714
29.5_-82.5,3178.385956074719
30.0_-81.25,980.6444428839694
26.5_-80.0,232.43965034159208
25.0_-80.625,65.00845332291696
31.0_-85.625,1603.481322192894
30.5_-83.75,2362.219366710949
31.0_-86.25,1597.6710192764485
30.5_-86.25,2136.895865965994
30.5_-81.25,168.8392518551453
30.0_-82.5,3309.1990015187976
30.5_-81.875,1892.571791154852
26.5_-82.5,7.160410350558935
26.0_-81.875,264.9305349320629
28.5_-82.5,1814.6151120801646
29.0_-82.5,2166.934282823433
28.0_-82.5,708.9701003858263
28.5_-81.875,2667.8165545249376
28.0_-83.125,2.4906282603602077
29.0_-83.125,47.870471777651176
28.0_-81.875,2253.577965124611
31.0_-81.875,102.73424819303862
30.5_-82.5,1974.4995562967315
30.5_-83.125,2371.491019947987
27.5_-82.5,1424.1465398528608
27.0_-82.5,682.2986487877808
28.0_-81.25,2710.3217820439804
25.5_-80.0,26.559151329116887
26.0_-80.0,69.02558697639971
25.0_-81.25,4.496576446110752
24.5_-81.875,52.23900720007814
26.5_-81.875,953.5649852559599
29.5_-83.125,1538.4562012049082
29.5_-83.75,21.147591372218574
30.0_-83.125,2030.0703536599458
30.0_-83.75,1183.6397266890722
28.0_-80.625,1279.16302958852
27.0_-80.0,475.7378458169132
26.5_-80.625,2037.6473266346518
25.5_-80.625,471.1865701540836
26.0_-80.625,206.29030543961
26.0_-81.25,188.3623584801911
31.0_-87.5,1037.2687116853913
31.0_-86.875,1626.9629595729064
30.5_-87.5,477.37816616843304
30.5_-86.875,1626.1042700437656
27.5_-81.875,3372.419117346371
27.5_-81.25,2873.537758263853
27.0_-81.875,2832.360978980921
27.5_-80.0,46.57856054620512
27.0_-81.25,2960.501695567581
26.5_-81.25,3171.6327972108447
27.0_-80.625,1668.0957025359776
27.5_-80.625,2591.435612676605
