latlon,km2
34.5_-82.5,34.93210203456154
34.5_-83.125,1993.0578009284004
34.0_-82.5,1269.7651143766511
35.0_-83.125,553.6287979494344
33.5_-81.875,453.1190885081393
33.0_-81.25,209.93842110807776
33.5_-82.5,3029.7262207280687
33.0_-81.875,2811.7395357035825
35.0_-85.0,1126.2931973718557
35.0_-85.625,601.7944784916047
34.5_-85.625,977.2234726607333
34.5_-85.0,3056.3643152200616
35.0_-84.375,1290.6577892313496
30.5_-84.375,399.8186418558552
30.5_-83.125,840.6544394232767
30.5_-83.75,587.1958950883457
31.0_-83.75,3305.6690117434664
30.5_-85.0,71.85071679876619
31.0_-83.125,3246.7715817784488
30.5_-82.5,616.438392346408
31.0_-82.5,2350.8491576948795
31.5_-83.125,3154.7009099109578
34.0_-83.125,3016.783154145877
34.5_-83.75,2896.145235433087
35.0_-83.75,1413.4465075925602
34.5_-84.375,3067.6146450788783
33.0_-82.5,3192.334023349544
33.5_-83.125,3152.7591065862243
31.5_-82.5,3189.7327710621707
32.0_-83.125,3075.8231537744223
31.5_-83.75,3281.4675000844236
32.0_-82.5,3125.7455331846613
32.0_-83.75,3272.792828041621
32.5_-83.125,3219.85605367815
31.5_-84.375,3094.6072291971045
31.0_-84.375,3307.332265992724
34.0_-84.375,335.06843808015594
34.0_-83.75,1934.1183928756734
34.0_-85.0,2562.565949433862
31.0_-81.875,2579.09910141642
31.5_-81.875,2698.6720481932243
32.0_-81.875,3003.762374152658
31.5_-81.25,1018.6484606876862
32.0_-81.25,1594.7338035809823
31.0_-81.25,173.018705747962
32.0_-80.625,20.28166191555564
32.5_-81.25,1322.418476432649
32.5_-83.75,3153.1053653796394
32.0_-84.375,3270.8552896826823
31.0_-85.0,1582.4899866253013
34.0_-85.625,479.58160774732517
30.5_-81.25,9.322238285694404
32.5_-81.875,3117.159937767602
32.5_-82.5,3254.4765298436682
33.0_-83.125,3107.1899084390866
30.5_-81.875,560.0966656848221
32.5_-84.375,3249.494981997211
32.0_-85.0,1960.9344075379795
31.5_-85.0,2029.5647963977756
32.5_-85.0,1500.186045720519
33.0_-84.375,3197.5577859806967
33.0_-83.75,2995.431732058907
33.5_-83.75,2863.0269356104836
33.5_-84.375,1385.9915958209876
33.5_-85.0,2872.5292998364876
33.0_-85.0,2519.956085720789
33.5_-85.625,52.48030351443666
