latlon,km2
42.5_-114.375,2853.3752239285677
42.5_-115.0,2853.37522392851
43.0_-114.375,2829.4378552501603
42.5_-113.75,2343.8848125841487
42.0_-114.375,1466.096010663659
43.0_-115.0,2822.963022243994
43.5_-115.0,1127.2275333660598
43.0_-115.625,2606.8815914247675
43.5_-115.625,1169.5584523166028
43.0_-116.25,2524.820426133641
42.5_-115.625,2853.375223928626
43.5_-116.25,1991.5867712344266
43.0_-116.875,1351.9319838907481
42.5_-116.25,2826.7069000185825
42.0_-116.875,1070.5923789536355
47.5_-116.25,915.6753899107117
47.5_-115.625,3.3109329610181883
48.0_-116.25,902.3844923369915
47.0_-116.25,1687.0754241302186
47.5_-116.875,1604.042133731675
47.0_-115.625,237.93357511015049
47.0_-116.875,2016.557259559657
46.5_-116.25,2482.399055106151
43.0_-113.75,1914.437453317746
42.0_-113.75,645.7632140664422
42.5_-113.125,2714.060110492697
43.5_-114.375,1121.1053627073666
46.5_-115.625,1429.1966512972035
47.0_-115.0,202.45654437026647
46.5_-114.375,90.81168173828785
46.5_-115.0,98.78270004245923
46.0_-114.375,0.22477382470082738
46.0_-115.0,140.71221210563246
42.5_-116.875,2102.726522646078
42.0_-116.25,1448.3661928355666
42.0_-115.625,1459.7362457690465
42.0_-115.0,1423.955302878481
48.5_-116.875,663.2323472885683
48.0_-116.875,1767.8071664971794
44.0_-115.0,101.36608057803063
43.5_-113.75,881.6967384913587
44.0_-114.375,119.57475597577945
42.0_-111.25,650.4786871332066
48.5_-116.25,392.3039752957957
44.5_-111.25,1240.359500503726
44.0_-111.25,2233.017060627402
44.5_-113.75,277.65659234785215
44.5_-113.125,327.78737716095446
45.0_-113.125,23.58681783473799
44.5_-112.5,845.0541275987811
44.0_-113.125,367.3987715660851
44.5_-114.375,172.66847743113874
45.0_-113.75,74.90474921139543
44.0_-113.75,457.47502631856224
43.5_-111.25,1077.686833191492
44.0_-111.875,2784.929900352867
43.5_-116.875,1739.0775733676628
45.5_-113.75,3.455423026796402
45.0_-115.0,13.7760834513017
44.5_-115.0,528.8058481559426
44.5_-115.625,996.080210140156
45.0_-114.375,79.36895369079568
44.0_-115.625,304.16570337372815
45.0_-116.25,945.4780817546888
45.0_-115.625,103.63613490208678
45.5_-115.625,494.15518771607435
45.5_-115.0,456.79018296775405
45.5_-114.375,92.62208442805635
46.0_-115.625,633.3846115885528
46.5_-116.875,1936.2851850138175
43.5_-113.125,2121.5627167889297
43.0_-113.125,1884.5320459395
44.5_-111.875,1452.1727832313745
44.0_-112.5,2460.337850665667
43.0_-111.25,1594.5516339546264
43.0_-111.875,2405.600148195718
42.5_-111.25,2051.639227534257
42.5_-111.875,1430.7413193578477
43.5_-111.875,2807.964448686049
42.0_-113.125,1369.8140416235965
49.0_-116.875,25.47335719447483
49.0_-116.25,122.00205425629917
42.0_-111.875,570.2397287146173
42.0_-112.5,1237.139754725006
42.5_-112.5,1422.2073286707252
43.0_-112.5,2416.9034593919573
43.5_-112.5,2807.9644486860484
46.0_-116.25,1590.8017150846679
46.0_-116.875,348.2123832343361
45.5_-116.25,31.639602644077826
44.0_-116.25,1521.137274180938
44.0_-116.875,1772.4863820436344
44.5_-116.25,1446.6908431076822
44.5_-116.875,1580.1076885560365
45.0_-116.875,181.64681855128677
44.5_-117.5,60.613040551589954
