latlon,km2
38.5_-90.625,68.80025050120051
40.5_-91.25,1830.305307597563
39.5_-91.25,735.8516534248955
40.0_-91.25,2348.1045705714005
39.5_-90.625,2802.35309380214
39.0_-90.625,1155.304722680092
39.5_-90.0,2936.79591689733
40.0_-90.625,2962.0310112879
39.0_-90.0,2510.2456260782437
38.5_-90.0,2198.1301144544946
38.0_-90.625,22.581862396994687
40.5_-90.625,2941.520032243844
40.0_-90.0,2910.89217924374
41.0_-91.25,306.6325004105977
40.0_-89.375,2820.17290124467
40.5_-90.0,2923.1466195193493
42.5_-88.125,607.6438166864323
42.5_-87.5,0.7895408866770081
42.0_-87.5,1.0184043461159356
42.0_-90.625,16.741695026473778
42.0_-90.0,2239.2478757222766
42.5_-90.0,1475.4073518406751
41.5_-90.0,2893.824997612278
42.0_-89.375,2804.819259229841
41.0_-90.0,2900.257510733758
41.0_-90.625,2870.1191270643153
41.0_-89.375,2770.9794249681117
40.5_-89.375,2729.5793780576973
41.5_-90.625,1224.5261087196097
41.5_-89.375,2848.1404812043065
41.0_-88.75,2915.0403567724065
40.5_-88.75,2813.7614769058446
42.5_-89.375,1343.6129461855555
42.5_-90.625,409.01715136359496
41.5_-91.25,198.68510641331403
40.0_-88.75,2798.030121125194
39.5_-89.375,2914.6570290107734
38.0_-90.0,1580.3068649326526
39.0_-89.375,2973.381115430506
39.0_-88.75,3005.2391836867487
38.5_-89.375,2933.998989916022
39.5_-88.75,2982.878738119067
38.5_-88.75,3023.7195051877416
38.0_-89.375,2996.3491067578793
37.0_-88.125,3.2234486818933528
37.0_-88.75,548.464692377362
37.5_-88.125,958.8660753277376
39.5_-88.125,2983.9893102084566
40.0_-88.125,2942.585120258008
39.0_-88.125,3003.9419500738404
39.5_-87.5,1280.7478744250195
41.5_-88.125,1772.1283989219176
41.5_-87.5,542.7781703191192
41.0_-87.5,1332.879586773723
42.0_-88.125,343.18195544491397
42.5_-88.75,1158.1895884748046
42.0_-88.75,2761.0200984476487
41.5_-88.75,2832.677792286609
41.0_-88.125,2819.4164486561003
40.5_-88.125,2935.842575135638
40.5_-87.5,1344.4842211423356
40.0_-87.5,1326.484409850292
37.0_-89.375,636.8582115371266
37.5_-89.375,2033.257573504417
37.5_-88.75,2920.0247082637215
38.0_-88.75,2997.0515699003276
39.0_-87.5,1193.884348163091
38.5_-87.5,603.8449196211757
38.5_-88.125,2945.4278380572896
38.0_-88.125,2053.1925086722044
