latlon,km2
38.0_-85.625,89.38437781752253
38.5_-85.0,78.64378603387581
38.0_-88.125,702.0632304956641
38.0_-87.5,1863.6815133134717
38.5_-88.125,62.86743743169714
38.5_-85.625,1704.1527794366793
38.5_-86.25,3003.670450554009
39.0_-86.25,2921.9554878244808
38.5_-86.875,2977.9834057011753
38.0_-86.25,1232.2335586340425
40.5_-87.5,1597.0510730120316
40.0_-87.5,1633.1751072509492
40.0_-86.875,2959.4300881793656
39.5_-87.5,1581.0478942640443
41.0_-87.5,1566.1417981354987
40.5_-86.875,2928.0202270257982
39.0_-87.5,1811.266064036036
38.5_-87.5,2419.1183630868677
39.0_-86.875,2947.833275485452
39.5_-86.875,2955.988434081108
38.0_-86.875,2111.8465661866876
42.0_-85.0,45.74773278725751
41.0_-86.25,2888.6362263345245
41.0_-86.875,2908.3584598526127
41.5_-86.875,2501.335060564115
40.5_-86.25,2896.2222464771
40.0_-86.25,1830.1007899600793
40.5_-85.625,2913.2847009217576
39.0_-85.0,2166.050907265691
39.0_-85.625,2942.6367360264635
39.5_-86.25,2374.949696288584
42.0_-86.25,31.23387317029287
42.0_-86.875,23.66856647152705
42.0_-85.625,60.7266490366179
41.5_-86.25,2479.6154920815416
41.5_-87.5,596.6640697824449
41.5_-85.625,2745.3375388431105
41.0_-85.625,2858.6204730928575
39.5_-85.625,2966.278538042799
40.0_-85.625,2760.617889199315
41.5_-85.0,2338.888443633157
41.0_-85.0,1949.3031459255699
40.5_-85.0,2378.7156304805426
40.0_-85.0,2300.6535873975395
39.5_-85.0,2351.564739544227
