latlon,km2
40.0_-95.625,1490.4759621395665
40.0_-96.25,1493.334485495822
40.0_-95.0,585.1281467209687
39.5_-95.625,2979.754367085844
40.0_-96.875,1498.3354825669508
40.0_-97.5,1503.7898098876226
39.5_-96.25,2984.2299567952364
39.0_-95.625,2961.501823713851
39.5_-95.0,1487.6195189705545
40.0_-98.75,1500.0029648216141
40.0_-98.125,1501.8371916221952
39.5_-98.125,2945.534419699039
39.5_-96.875,2983.9656020681946
39.5_-97.5,2984.2299567952364
39.0_-96.875,2963.2082993824147
39.0_-97.5,3005.2391836867487
39.0_-96.25,2993.9334850059417
39.0_-94.375,66.95624907362628
39.0_-95.0,2364.4696734456793
40.0_-99.375,1497.148254553778
39.5_-98.75,2979.2396413071033
38.5_-96.875,2996.339451965864
39.0_-98.125,3005.2391836867487
38.5_-98.75,3026.0160251007683
38.5_-98.125,3026.0160251007683
38.0_-98.125,3025.13116228415
38.5_-97.5,3026.0160251007683
39.0_-98.75,3005.2391836867487
38.0_-97.5,2979.2327061397204
38.5_-94.375,360.39874316610235
38.5_-95.625,3006.4111708111495
38.5_-95.0,3016.194631428445
38.5_-96.25,3010.1310527235396
38.0_-95.0,3035.4486588879563
38.0_-94.375,353.43607884607843
37.5_-94.375,339.46454169998805
38.0_-95.625,3006.846659557605
37.5_-95.0,3044.1071503373137
38.0_-96.25,3041.0650424767687
38.0_-96.875,3046.559084679393
37.5_-97.5,2609.149238452544
37.5_-96.875,3024.663041260013
37.5_-98.125,3059.0600114824706
37.0_-97.5,1541.7067569040914
38.0_-101.875,2346.3979730315205
39.0_-101.875,2324.571271525836
38.5_-101.875,2335.566622218904
38.5_-101.25,3026.0160251007683
38.0_-101.25,3046.5590846793934
37.5_-101.875,2357.0328141127097
40.0_-100.625,1502.757885905175
40.0_-100.0,1499.8044563175565
37.5_-100.0,3054.987075302611
37.5_-100.625,3066.866986087185
37.0_-100.0,1549.6527912180363
37.5_-99.375,3066.8669860872474
38.0_-100.0,3030.3656211760963
39.5_-100.0,2984.229956795236
40.0_-101.25,1507.6825929140114
39.5_-100.625,2984.229956795236
39.5_-99.375,2981.851018945691
39.0_-100.625,3005.2391836867487
39.5_-101.25,2984.229956795236
38.0_-100.625,3046.559084679394
37.5_-101.25,3066.866986087185
37.0_-100.625,1536.1781978268634
37.0_-101.875,1212.6501011740615
37.0_-101.25,1551.8772751763788
39.0_-99.375,3005.2391836868096
39.0_-100.0,2980.5667714616807
37.0_-94.375,167.28837397828855
37.0_-95.0,1535.4086954161305
37.0_-95.625,1508.2567674029208
37.5_-95.625,3054.014562453106
37.5_-96.25,3066.777463543003
37.5_-98.75,3066.866986087185
37.0_-98.75,1539.1896786432367
38.0_-98.75,3046.5590846793934
37.0_-98.125,1540.1154775157436
37.0_-99.375,1541.3295511784413
38.0_-99.375,3046.5590846794553
37.0_-96.875,1506.1701696344735
39.0_-101.25,3005.2391836867487
39.5_-101.875,2313.384028367851
38.5_-100.625,3026.0160251007683
38.5_-99.375,3026.01602510083
37.0_-96.25,1540.2632631749238
40.0_-101.875,1170.317276277792
38.5_-100.0,3025.4701719876484
