latlon,km2
37.0_-85.625,3055.5268932245936
37.0_-86.25,2874.40018810365
36.5_-86.25,660.9202660855647
37.0_-86.875,3074.1043200707018
37.5_-86.25,3055.0517540959677
36.5_-86.875,618.016373901888
37.0_-87.5,3081.3775130111344
37.5_-86.875,3026.795628904523
37.0_-85.0,2944.072820472373
37.5_-85.625,2999.913117822582
36.5_-85.625,797.7829011446443
38.0_-86.25,1685.0604816932396
38.0_-85.625,2254.70929118504
38.0_-86.875,800.7891269774524
37.5_-87.5,3067.6377030906765
38.0_-87.5,786.7527999711355
38.0_-83.125,3036.6708372955172
38.0_-83.75,3038.709602014073
37.5_-83.125,3055.5977381731113
38.5_-83.125,2467.5517467805826
38.0_-82.5,1489.0710784503756
38.5_-85.625,684.7975941385143
39.0_-85.0,511.8661268188744
39.0_-83.125,0.11498808965954457
39.0_-83.75,40.26025528154252
38.5_-83.75,2699.4218990795625
38.5_-82.5,480.6826724502568
38.5_-84.375,3014.936120866172
39.0_-84.375,967.3813959275692
38.5_-85.0,2920.621391287948
37.5_-85.0,3048.0526871865154
36.5_-85.0,811.8407739259233
37.0_-84.375,2865.6622335964903
37.5_-83.75,3066.866986087185
38.0_-84.375,2995.4132239568435
38.0_-85.0,3006.4731432454987
37.5_-84.375,3039.6554197912924
38.0_-88.125,180.80897006753892
37.5_-88.125,2041.7533097538878
37.5_-88.75,71.89418784060781
37.0_-88.125,2811.1785284855937
37.0_-88.75,2325.166662196239
36.5_-84.375,835.5201686681067
37.0_-83.75,3067.6101952116314
37.0_-83.125,2682.8192295603367
36.5_-83.75,800.5437348577843
36.5_-88.125,1074.7735438515601
36.5_-87.5,646.8579131913291
37.0_-89.375,237.39331973481717
36.5_-88.75,1511.2532307532083
36.5_-83.125,110.46215524562852
37.5_-82.5,2810.11756906835
37.0_-82.5,382.81418287318036
37.5_-81.875,216.39502204894413
36.5_-89.375,406.1239660620231
