latlon,km2
43.0_-70.625,46.5729579551367
43.0_-71.25,52.83086907130691
42.5_-70.625,202.4402931312763
41.0_-70.0,14.144142811243126
42.0_-70.0,72.58415393214972
42.5_-71.25,418.06601272911183
42.0_-70.625,707.1897960174653
41.5_-71.25,296.5058787893302
41.5_-70.625,569.8607648431476
42.0_-71.25,657.1000830694771
42.0_-73.75,84.90513513941337
42.5_-71.875,2245.7020641206504
42.0_-71.875,879.8757793269117
42.0_-72.5,681.2729719166241
42.5_-72.5,2637.0957509849936
42.0_-73.125,1161.75494808002
41.5_-70.0,175.47640737454304
42.5_-73.75,2.240863755481236
42.5_-73.125,2436.843405851872
