latlon,km2
39.0_-79.375,23.034357287496103
38.5_-77.5,138.21951040958555
39.0_-77.5,360.42852352832523
38.5_-76.875,1985.833071187851
39.5_-78.75,1059.7240805710912
39.5_-79.375,1524.6262536899349
39.5_-78.125,529.8922675357126
38.0_-76.875,32.617967447017506
39.0_-76.875,751.2576673575776
39.5_-77.5,2306.552931549212
39.0_-76.25,1468.081462467137
39.5_-76.875,2189.4299863571837
38.0_-76.25,283.2892086550526
38.5_-76.25,1047.2568572741864
38.5_-75.625,1606.59239713376
39.5_-76.25,1627.1517050908724
39.0_-75.625,967.1023423157541
38.0_-75.625,1168.4269396536754
39.5_-75.625,631.7706579935441
38.5_-75.0,297.6702450640717
38.0_-75.0,69.08567546180251
