latlon,km2
47.0_-67.5,61.81304729743329
47.5_-68.125,222.43878355544234
47.0_-68.125,2308.749635142259
46.5_-67.5,112.89568463557477
47.5_-68.75,67.46512800056274
47.0_-68.75,2498.802240488132
47.5_-69.375,462.26965135370693
46.5_-68.125,2662.1545593942787
46.0_-67.5,101.10803715839249
47.0_-69.375,2387.1299385159796
45.5_-68.75,2665.0131295863384
45.5_-69.375,2495.7585823439276
45.0_-69.375,2721.59600939735
46.0_-69.375,2566.390725816218
45.5_-70.0,2572.3260507210225
46.5_-68.75,2660.7345809118656
46.5_-69.375,2647.386335338652
46.0_-68.75,1998.5166767430128
46.5_-70.0,1639.204643166404
46.0_-68.125,2603.5531252312544
46.0_-70.0,2527.1908062137936
47.0_-70.0,273.52805533807816
45.0_-66.875,373.3728176650743
44.5_-66.875,48.1273177919807
45.5_-68.125,2559.4689754962196
45.0_-68.75,2621.52287743672
44.5_-67.5,847.1884304241206
44.5_-68.125,1803.4585565609002
45.0_-67.5,2383.8900359882123
44.0_-68.125,38.77204450823487
45.0_-68.125,2657.1202691024405
44.5_-68.75,2194.0323210726383
45.5_-67.5,1097.6552221832396
46.0_-70.625,73.59604172126885
45.5_-70.625,1585.2432429758194
45.0_-70.625,2430.648369014097
45.5_-71.25,95.89302583994579
45.0_-70.0,2401.0737913613316
44.0_-68.75,232.46876971335473
44.0_-71.25,242.68887261989968
43.5_-71.25,125.72849005678394
44.5_-71.25,256.93040722188954
44.0_-70.625,2569.5089282146423
45.0_-71.25,514.0718203777795
44.5_-70.625,2579.3365874913893
43.0_-70.625,250.15646310230235
43.5_-70.625,2196.4200260204093
44.0_-69.375,1568.5328562116588
44.5_-69.375,2710.8551697848825
44.5_-70.0,2702.6983538894133
44.0_-70.0,2255.2555915428866
43.5_-70.0,82.27715714500168
