latlon,km2
44.0_-82.5,325.1582656948442
42.0_-84.375,2779.6621292844384
41.5_-84.375,246.34626286973355
42.0_-83.75,2554.846336966567
42.5_-84.375,2508.5729088102207
42.0_-85.0,2818.0626475373506
42.0_-85.625,2618.432649364791
41.5_-85.0,57.49884101711067
42.5_-85.0,2679.1738077689934
43.0_-82.5,1398.2816639459256
42.5_-82.5,211.98407444227806
43.5_-82.5,1098.1499876491755
43.0_-83.125,2704.713109202023
43.5_-83.125,2807.964448686049
43.0_-83.75,2798.408667374952
42.5_-83.125,115.08106001893141
43.5_-83.75,2095.568028398745
44.0_-83.125,1283.9122238162452
42.0_-83.125,339.47975642875355
41.5_-83.125,0.19864181937157185
41.5_-83.75,115.2746766028052
42.5_-83.75,2150.7490827193556
43.0_-84.375,2704.380809723969
44.0_-83.75,1373.4311387260966
43.5_-84.375,2633.7064337576676
42.5_-85.625,2678.2178741390485
42.5_-86.25,1450.62284600953
43.0_-86.25,955.654108435179
42.0_-86.25,2394.1855640657905
42.0_-86.875,199.22472703488535
43.5_-86.25,2265.865038278496
43.0_-85.625,2092.85377074093
44.5_-83.125,433.0730701147181
44.0_-84.375,2743.030791025332
44.5_-83.75,2701.672931892464
45.5_-83.125,15.437083467972395
45.0_-83.125,288.35971298908197
46.0_-83.75,415.45292052814426
43.0_-85.0,2820.7677844007912
43.5_-85.0,2758.9193646622025
43.5_-85.625,2754.140934313824
47.5_-87.5,48.98738137470479
47.5_-88.125,772.0106548754941
47.0_-87.5,156.7289119181747
46.0_-89.375,266.9337680206063
46.5_-88.125,2512.1117419914676
46.5_-88.75,2607.3186877916423
46.0_-88.125,1956.5051059516159
47.0_-88.125,1081.6609220753758
46.5_-87.5,1955.3315194385448
46.0_-88.75,1131.025032703333
46.5_-89.375,2650.2246096475196
47.0_-88.75,1912.1379820194109
45.5_-88.125,54.97504146902786
46.0_-87.5,1843.4444558795003
46.5_-86.875,1195.502728163494
47.0_-89.375,696.2954080722486
47.5_-88.75,50.873037065787194
45.5_-87.5,1685.4949613541078
46.0_-86.875,2181.342235440222
44.5_-84.375,2689.558358683228
44.0_-85.0,2734.880123118377
44.0_-85.625,2737.3372775704433
44.5_-85.625,2589.297942705387
44.0_-86.25,2167.6616770016603
44.5_-85.0,2471.2324069603706
45.0_-85.0,2609.8889568746254
45.0_-83.75,2443.6360632334327
45.0_-84.375,2686.7015796744386
45.5_-83.75,837.646660095399
45.5_-84.375,2018.8971898164257
45.5_-85.0,1593.83231894161
45.0_-85.625,1122.3074727467379
46.0_-84.375,1229.237460240798
46.5_-84.375,967.3458490837085
45.0_-87.5,97.20003140357824
45.5_-86.875,201.0867487301941
46.5_-90.0,1810.0563778372546
47.0_-90.0,107.2466040051438
46.5_-90.625,39.74672299841162
44.5_-86.25,1240.471984810377
45.0_-86.25,93.13751107026282
45.5_-86.25,8.176582155052799
45.5_-85.625,193.34859252289766
46.0_-86.25,1230.195954367076
46.0_-85.625,1120.4129113071222
46.5_-86.25,1058.9336647489897
46.5_-85.625,1729.5848042275613
46.0_-85.0,1270.729539033764
46.5_-85.0,1549.5237930165295
47.0_-85.0,25.83292433901897
