latlon,km2
45.5_-95.625,2695.1400891535077
45.5_-96.25,2597.7216208553677
45.0_-95.625,2727.890370201597
46.0_-95.625,2614.8599712435603
45.5_-95.0,2671.562476341009
43.5_-93.125,1380.9102982071788
45.0_-95.0,2724.029152811498
46.0_-95.0,2660.8562559168045
45.5_-94.375,2697.415653740651
46.0_-93.75,2395.3283397301097
45.5_-93.75,2615.732919623272
45.5_-93.125,2343.2999639162294
45.0_-93.75,2141.311676599022
46.0_-94.375,2678.4408447360324
45.0_-94.375,2731.7853272803636
43.5_-95.625,1382.2612228681905
43.5_-94.375,1371.8733777852894
43.5_-93.75,1368.1761800904742
43.5_-95.0,1373.2425141750086
44.0_-93.75,2694.3799894131785
44.0_-94.375,2784.418470476402
49.5_-95.0,36.88305586204024
49.0_-94.375,4.421468728633182
49.0_-95.625,1261.1978068587316
49.0_-95.0,611.9656307815493
43.5_-96.25,1144.8010054530243
45.0_-92.5,140.82819529429767
45.5_-92.5,274.2672456587795
45.0_-93.125,715.3899158158882
44.5_-92.5,1762.7501973999472
44.5_-93.125,2505.349965067476
44.5_-91.875,313.4306173118072
43.5_-91.875,1389.480382665943
43.5_-92.5,1386.61811817632
44.5_-94.375,2760.766604754697
44.5_-93.75,2731.364339189115
44.5_-95.0,2761.6780344994972
44.0_-95.0,2785.057113945795
44.0_-93.125,2778.0205089009987
49.0_-96.875,1257.7106954710341
49.0_-96.25,1284.555241536495
49.0_-97.5,32.19707717338195
48.5_-95.0,730.2313825567418
48.5_-95.625,2068.7558516935114
48.5_-96.25,2436.8678334996544
48.0_-96.25,2581.3616594016726
48.5_-96.875,2340.425059068711
47.0_-96.875,992.8098287622837
47.5_-96.875,1264.3655947168231
47.0_-96.25,2620.173576219714
46.5_-96.875,646.8344400943947
46.0_-96.875,67.14436212918207
45.5_-96.875,579.5799389271069
46.0_-96.25,2684.03833031504
46.5_-96.25,2613.269321208517
45.0_-96.25,2212.4116988586006
46.5_-95.625,2634.6834368654413
44.0_-95.625,2782.606886208406
44.0_-96.25,2296.728394519152
48.0_-90.625,1918.421045022574
47.5_-90.625,480.9030764603101
47.5_-91.25,2161.4544724750654
47.0_-91.25,189.38823975467542
43.5_-91.25,666.060168523039
44.0_-92.5,2783.38197317461
44.0_-91.875,2324.8012928903186
44.0_-91.25,512.5013609571839
46.5_-95.0,2635.960049179942
46.5_-94.375,2627.1059300666498
47.0_-95.0,2561.0497549816273
47.0_-95.625,2620.123068791425
47.0_-94.375,2046.0887607664502
46.5_-93.75,2137.9728708282164
46.0_-93.125,2597.368391959574
48.5_-94.375,650.7672444774212
48.0_-95.0,395.6231523204323
48.0_-95.625,1728.3140615498214
47.5_-95.625,2595.8846677616293
47.5_-95.0,2569.0036039306174
47.5_-96.25,2609.11516061578
47.5_-94.375,2053.0419058027724
48.0_-94.375,1361.9588744090906
48.0_-96.875,2058.5141202635073
44.5_-95.625,2760.488923368911
48.0_-90.0,1120.9244506439638
48.0_-91.25,1823.8957651326864
47.0_-93.75,2206.6906119562436
48.5_-93.75,732.4707557704359
46.0_-92.5,1276.7170142674954
46.5_-93.125,2073.586543897043
44.5_-96.25,2274.5572784670576
48.0_-89.375,27.385498099979998
46.5_-91.875,0.39862430544755045
46.5_-92.5,2022.5718839821382
48.5_-92.5,409.5384894474998
48.5_-91.875,100.95840409919967
48.5_-93.125,1156.3265787578598
48.0_-93.75,1507.830057087524
48.0_-93.125,1723.931409140295
47.5_-93.75,2465.206003394371
47.0_-91.875,1629.1681856892571
48.0_-92.5,2274.7782388205546
47.5_-93.125,2550.6043205126507
47.5_-91.875,2218.5311542075005
47.0_-92.5,2291.6825427078675
47.0_-93.125,1962.549502759516
47.5_-92.5,2407.8485575022014
48.0_-91.875,2205.518444675754
