latlon,km2
40.5_-91.25,138.07282604153684
40.0_-91.25,462.17376340741924
40.5_-91.875,1970.6246156522454
39.0_-90.0,125.04062984872887
39.5_-90.625,145.8808678413909
38.5_-90.0,0.6779498135353356
39.0_-90.625,1308.3871351597675
39.5_-91.25,2145.279131306628
40.0_-91.875,2962.9897608270235
39.0_-94.375,1667.8192226608512
38.5_-94.375,2656.608871476835
38.5_-93.75,2930.565093957832
38.0_-94.375,2688.649210095484
40.5_-92.5,2026.211332873779
36.5_-91.875,1550.1185207266767
36.5_-92.5,1553.754869781261
37.0_-92.5,3086.9383729823576
36.5_-93.125,1418.4588413333195
39.5_-91.875,2984.229956795236
39.0_-91.25,3001.6173156946293
38.5_-90.625,1927.467557631174
39.5_-93.75,2973.033330021415
39.5_-94.375,2906.32719872188
40.0_-94.375,2960.2305274844257
39.5_-95.0,1334.956902447313
39.0_-93.75,2957.0436278423513
40.0_-93.75,2962.265017726688
39.5_-93.125,2956.050851121023
39.0_-95.0,50.46373491963161
40.5_-94.375,1889.8583625733743
40.5_-95.0,1919.5074078064672
40.5_-93.75,1925.3365996161028
40.0_-95.0,2295.427811126614
40.0_-95.625,254.19151363937493
40.5_-95.625,1080.7359794804634
38.0_-89.375,6.672931747768864
38.0_-90.0,1405.8628132229394
36.5_-93.75,1476.4982320966058
37.0_-93.125,2750.1285880414976
40.5_-93.125,1963.092936567015
40.0_-93.125,2962.9897608270235
40.0_-92.5,2963.2467586488856
39.5_-92.5,2976.4004005081865
39.0_-92.5,2968.6749378624995
39.0_-93.125,2978.283415869576
39.0_-91.875,3005.2391836867487
38.0_-93.75,2996.811883206939
38.5_-93.125,2996.7677163630997
37.5_-93.75,3065.0954970369307
38.0_-93.125,2964.4103570453567
37.0_-93.75,3070.1553319769178
37.0_-94.375,2746.9069690274187
36.5_-94.375,1384.7373439269581
37.5_-93.125,3020.5231940211215
37.5_-94.375,2719.841258862483
38.5_-91.25,2994.066099767928
38.0_-91.25,3046.5590846793934
38.5_-91.875,2940.9970080601433
38.0_-90.625,2973.6394623428855
37.5_-90.625,3066.866986087185
37.5_-90.0,3047.5930263339915
37.5_-91.25,3015.632839910442
37.0_-90.625,3015.6305692093474
37.0_-91.25,2856.5587219574863
37.5_-91.875,3036.930070694967
38.0_-91.875,3005.8353673280603
37.0_-90.0,3079.412827204991
37.5_-89.375,798.7976884662751
36.5_-91.25,1564.4382601184054
37.0_-91.875,3065.326184774146
38.5_-92.5,2942.138587937385
37.5_-92.5,3066.866986087185
37.0_-89.375,2074.6469609170995
36.5_-90.0,2588.2380451899694
36.5_-90.625,1557.8907633013082
38.0_-92.5,2915.139176055291
36.0_-90.625,21.70949802305671
36.0_-90.0,1371.1311679727428
36.5_-89.375,1308.7735144113576
36.0_-89.375,68.89757718970846
