latlon,km2
35.0_-75.625,16.520861817434884
34.5_-76.25,17.739397420720344
34.5_-76.875,165.1941349609086
35.0_-76.25,326.63499022040037
36.5_-80.0,1757.7433212630376
36.5_-80.625,1793.5071544878044
36.5_-81.25,1937.3510744704963
36.0_-80.625,2808.684459040891
36.5_-79.375,1770.6214387394045
35.0_-80.625,1512.2269987071668
36.5_-78.75,1813.622952430218
36.0_-79.375,3071.8367348090314
36.0_-80.0,1781.228722798989
36.5_-76.25,1088.6945467089226
36.5_-76.875,1680.222751686299
36.0_-76.25,1394.8860780560688
36.5_-75.625,98.14650359833055
35.5_-76.875,2694.6511738620047
36.0_-76.875,2572.1398307353384
36.0_-77.5,3053.120369199069
35.0_-76.875,2104.7419880403077
35.5_-77.5,3025.6946061312383
35.5_-76.25,1285.6888596231279
36.5_-77.5,1782.154051837713
35.5_-75.625,219.03407218453646
36.0_-75.625,324.1834424787598
34.0_-78.125,1090.2676264474028
34.0_-77.5,1.3767137297517458
36.5_-78.125,1715.8374484125975
36.0_-78.125,3042.579105450662
36.0_-78.75,1929.1822508094308
35.5_-84.375,6.283226015690862
35.5_-83.75,481.2646458472846
35.0_-84.375,584.272388814685
36.0_-83.125,136.44216014740076
35.0_-81.875,414.3445236942401
35.0_-82.5,581.8561326502587
35.0_-81.25,353.853098427209
36.5_-81.875,650.2237641255782
36.0_-81.875,1990.5277072861516
36.0_-81.25,2836.6694438479076
36.0_-82.5,1068.9271837586439
34.5_-77.5,1408.646235056339
34.5_-78.125,2648.5169908658313
35.0_-77.5,3009.3507559998648
34.5_-78.75,2658.126905487714
35.0_-78.125,3151.981049690229
34.0_-78.75,896.4734415653421
35.5_-78.125,3044.1018205250416
35.5_-83.125,698.3249195635944
35.0_-83.125,1170.7501353766183
35.5_-82.5,1598.598111621996
35.0_-83.75,733.2238835067062
35.5_-81.875,2911.750115707938
35.5_-81.25,2453.8719345875493
35.5_-80.625,2012.7872223576462
34.5_-79.375,1162.0393264436111
35.5_-80.0,3054.9787904302502
35.0_-80.0,2724.3369132333387
35.0_-79.375,3018.7569952249987
35.0_-78.75,2652.429131341398
35.5_-79.375,3082.4702432860454
35.5_-78.75,2564.9396314543314
