latlon,km2
49.0_-103.75,1245.9941982046194
48.5_-103.75,2499.3755315605445
48.0_-103.75,2473.169516344288
48.5_-103.125,2567.5779312670393
49.0_-103.125,1275.9632993786954
47.5_-103.75,2522.901204355271
48.0_-103.125,2405.540717015328
48.0_-102.5,1266.1062831547133
47.5_-103.125,2529.6359011216687
48.5_-102.5,2565.872206527534
46.0_-103.75,1593.015320764592
46.0_-103.125,1642.4696218435984
46.5_-103.125,2665.817733835831
46.0_-102.5,1644.379799777018
47.5_-101.875,1616.8805799106715
48.0_-101.875,1834.987996217898
47.5_-102.5,1413.5785090167974
47.0_-101.875,2642.2162504515904
47.5_-101.25,2428.2336306041475
47.0_-102.5,2623.5768710563543
46.5_-101.875,2666.5300431327987
47.0_-101.25,2627.7113260841634
49.0_-102.5,1276.6447346475254
46.5_-102.5,2666.5300431327987
47.0_-103.125,2565.4114110084306
46.5_-103.75,2588.900869147746
46.0_-101.875,1291.2713661031503
46.0_-96.875,1563.0948625175556
46.5_-96.875,2003.5822695261593
46.0_-97.5,1493.4912366086307
46.0_-96.25,0.08219531544856155
47.0_-98.75,2642.2162504515904
46.5_-98.75,2666.5300431327987
46.5_-98.125,2665.730409550344
46.5_-99.375,2662.5030361444487
46.0_-98.75,1679.1995861972487
49.0_-101.875,1261.6665533484293
48.5_-101.875,2533.5141386322725
47.0_-103.75,2456.655188781773
46.5_-101.25,2594.039842881359
48.5_-99.375,2488.8737589958128
48.5_-100.0,2559.7083923601976
49.0_-100.0,1274.9502420247338
48.0_-100.0,2589.1531185443437
48.5_-100.625,2503.319333028043
49.0_-98.125,1276.0083731373272
49.0_-98.75,1276.557657462262
49.0_-99.375,1277.3999136711104
47.0_-98.125,2619.8617751006846
46.5_-97.5,2666.5300431327983
46.0_-98.125,1691.6852170690686
49.0_-97.5,1246.3691304784243
48.5_-98.75,2541.427111147626
48.0_-99.375,2218.7254597304714
48.5_-98.125,2568.0379630907278
48.0_-98.75,1550.222546973674
47.5_-98.75,2615.823235183723
47.5_-99.375,2616.5170463746413
47.5_-98.125,2614.6355848336098
47.0_-99.375,2635.452692706058
48.0_-98.125,2571.5397741107618
47.0_-97.5,2642.2162504515904
47.5_-100.625,2612.4809305483805
48.0_-101.25,2549.9529173822602
47.0_-100.625,2518.2621420538603
47.5_-100.0,2618.6992862878574
48.0_-100.625,2588.7907244382504
47.0_-100.0,2617.145255339302
49.0_-96.875,19.861462408799607
46.0_-99.375,1659.9599238831997
46.0_-101.25,567.6019480719029
46.5_-100.625,2067.498505281914
49.0_-100.625,1263.9120989899027
49.0_-101.25,1264.7785979198327
48.0_-97.5,2588.976860323553
48.5_-97.5,2567.7777619100134
47.5_-97.5,2617.6951446840794
46.5_-100.0,2605.269229122147
46.0_-100.0,1652.4893823635985
46.0_-100.625,657.2028872517419
48.5_-96.875,227.70046691106447
48.0_-96.875,474.6254799187559
47.5_-96.875,1353.3785636929686
48.5_-101.25,2545.653624189629
47.0_-96.875,1467.9141105331692
