latlon,km2
41.5_-100.0,2897.8978234758592
41.5_-99.375,2897.8978234759184
42.0_-99.375,2875.748316646897
41.5_-98.75,2897.8978234758592
41.0_-99.375,2919.8222275840026
42.5_-99.375,2829.27182982123
42.5_-98.75,2853.3752239285677
42.5_-100.0,2839.4489315553756
43.0_-99.375,1393.1987344279714
42.0_-100.0,2875.7483166468382
42.0_-98.75,2875.7483166468382
43.0_-98.75,1377.9875679872953
42.5_-98.125,2821.3367866498147
41.0_-98.75,2919.032255514609
41.5_-98.125,2897.8978234758592
42.0_-98.125,2875.7483166468382
40.0_-98.75,1462.9952011096207
40.0_-99.375,1463.978195083381
40.5_-99.375,2917.376761238985
40.5_-98.75,2931.391051234684
40.5_-100.0,2940.9851287654265
40.0_-100.0,1463.1937199270335
41.0_-100.0,2920.0841413488656
43.0_-103.75,1403.286334147542
42.5_-103.75,2805.176633915152
42.0_-103.75,2826.21966057036
43.0_-103.125,1417.5393955748386
43.0_-102.5,1409.5308050586295
42.5_-103.125,2853.3752239285677
42.5_-102.5,2854.335029997691
43.0_-101.875,1397.6818054773478
40.5_-98.125,2920.6967209247773
40.5_-97.5,2941.520032243844
41.0_-98.125,2847.304145954267
40.0_-98.125,1461.1609898905358
41.0_-97.5,2919.822227583943
40.5_-96.875,2892.874173060984
40.0_-97.5,1458.7040843437414
41.5_-97.5,2894.7912968879737
41.0_-96.875,2719.988121599885
40.0_-96.875,1457.5758960351654
40.0_-100.625,1460.2402987474545
42.5_-100.625,2846.1797577028206
43.0_-100.0,1347.5814572081636
42.0_-100.625,2875.7483166468382
43.0_-100.625,1377.8775146516111
42.0_-97.5,2875.7483166468387
41.5_-96.875,2863.9853306524146
41.5_-96.25,2206.1487656746544
42.0_-96.875,2870.081736817054
43.0_-98.125,435.0195017951515
42.5_-97.5,2853.3752239285677
42.0_-96.25,1599.5730596667731
42.5_-96.875,2427.5372905311115
40.5_-96.25,2941.520032243844
41.0_-96.25,2579.2753549690738
40.0_-96.25,1469.6636680429594
40.0_-95.625,1202.5710274515527
41.0_-103.75,1419.3560878819928
41.5_-103.75,2847.232339330741
42.5_-101.875,2854.093068213813
42.0_-102.5,2874.802890822692
42.0_-103.125,2875.7483166468387
40.0_-101.25,1455.3155768564213
41.0_-100.625,2919.8222275839425
40.5_-100.625,2941.520032243844
41.5_-100.625,2897.8978234758592
42.0_-101.25,2875.7483166468382
40.0_-95.0,0.06842630928164863
41.5_-95.625,5.528501831976158
42.5_-96.25,357.28408652649665
43.0_-101.25,1386.7130715338146
42.5_-101.25,2849.8392874075084
42.0_-101.875,2873.163696518037
43.0_-97.5,511.08902659934904
40.5_-95.625,1041.521882579803
41.0_-95.625,304.5359202487398
41.5_-103.125,2897.8978234758592
41.0_-103.125,1440.8206406716683
43.0_-96.875,26.017124289571917
40.0_-101.875,1131.6185869711626
40.5_-101.875,2288.2373995699445
40.5_-101.25,2936.9385905266736
41.0_-101.25,2919.8222275839425
41.5_-101.25,2897.8978234758592
41.0_-101.875,2537.973292874821
41.5_-101.875,2842.163243451926
41.0_-102.5,1440.6475036577776
41.5_-102.5,2892.436376777694
