latlon,km2
43.5_-70.625,14.277324423527581
42.5_-71.875,214.7950624308092
42.5_-71.25,79.54541006883828
43.0_-71.25,2002.1387501461365
43.5_-71.25,2618.262887401202
43.0_-71.875,2718.386234081512
43.0_-70.625,199.6915415251476
44.0_-71.25,1466.702005747668
42.5_-72.5,66.52564787264328
43.0_-72.5,1328.2483233038263
44.5_-71.25,1748.4152604732453
43.5_-72.5,762.0866655438144
43.5_-71.875,2758.572312471429
45.5_-71.25,51.685602883255626
45.0_-71.25,1879.9528487454963
44.0_-72.5,11.831634652300199
44.0_-71.875,1534.5886368432396
45.0_-71.875,21.20327091535477
44.5_-71.875,617.2214208431988
