latlon,km2
41.0_-75.0,1281.6893388295466
41.5_-74.375,95.99323343573218
41.0_-74.375,1041.9180487084786
41.5_-75.0,86.05083239577148
40.5_-75.0,1556.0672873840724
39.5_-75.0,2499.929956368095
40.0_-75.0,493.8576171520266
40.0_-75.625,52.413203167094906
40.0_-74.375,1883.8841582913542
40.5_-74.375,513.7801534187684
40.5_-73.75,12.501661474528158
40.0_-73.75,16.86643692658405
39.5_-74.375,814.3321633488491
39.0_-74.375,13.291786887049025
39.0_-75.0,307.3731702739631
39.5_-75.625,516.6759673585249
