latlon,km2
32.0_-107.5,3232.439636150659
31.5_-108.125,1025.7730273145185
31.5_-108.75,2624.824451380596
32.0_-108.125,3259.7757498740066
36.0_-104.375,3126.3662776881374
35.5_-104.375,3145.720182537506
35.5_-103.75,3145.720182537506
35.5_-105.0,3143.0736355850727
35.0_-104.375,3147.5809843890465
35.0_-105.0,3160.8665581516943
36.0_-105.0,2840.7648497039413
35.5_-105.625,2207.3301373129325
34.5_-105.0,3183.701513905588
35.0_-105.625,3164.8323468849594
36.5_-105.0,1944.9095494121239
36.0_-105.625,628.8321682098589
32.5_-105.0,3256.723764051195
32.0_-105.0,1444.3222136578609
32.0_-104.375,1385.442309076753
32.0_-105.625,1600.2449633927372
33.0_-105.0,3238.8387593878956
32.5_-104.375,3254.5779628224577
32.5_-105.625,2875.3592641240843
32.0_-103.75,1628.77340384463
33.0_-104.375,3234.715365491885
33.0_-103.75,3238.8387593878956
33.5_-104.375,3220.7059275868637
32.5_-103.75,3256.723764051195
37.0_-104.375,1508.392820592077
34.5_-104.375,3183.701513905588
34.5_-105.625,3181.350829862369
34.0_-105.0,3202.326446567514
33.5_-103.75,3220.7059275868637
34.0_-104.375,3202.326446567514
33.5_-105.0,2967.959054589466
37.0_-106.25,1079.6187893112972
37.0_-105.625,859.5276930334448
36.5_-105.625,1444.0963027014286
37.0_-105.0,966.758363891304
37.0_-106.875,1449.084276319074
36.5_-106.25,2750.2963569746066
36.5_-104.375,3106.7719089936295
36.0_-106.25,1600.0035730017453
36.5_-103.75,3106.7719089936295
36.0_-103.75,3126.366277688137
37.0_-103.75,1533.119255859964
36.5_-103.125,2075.642215755373
36.0_-103.125,1986.7137831273176
37.0_-103.125,1077.339388502762
35.5_-103.125,1994.3660506750577
32.0_-108.75,3195.0163703528697
33.0_-103.125,1932.6821251310728
32.5_-103.125,1913.702169951856
33.5_-103.125,1979.3211297295113
32.0_-103.125,977.0161776308703
33.5_-105.625,1694.6985669823368
34.0_-105.625,3185.065915056781
33.0_-105.625,2351.1231218939383
31.5_-106.25,0.9987939134640208
34.5_-103.75,3183.701513905588
34.0_-103.75,3202.326446567514
35.0_-103.75,3164.832346884959
35.0_-103.125,2002.9485908584352
34.5_-103.125,2014.8601647065004
34.0_-103.125,2016.2576079671574
37.0_-108.75,221.9776328994626
36.5_-108.75,3.1571558513266584
37.0_-108.125,1492.1616834679226
37.0_-107.5,1489.708260549953
36.5_-107.5,3053.0592741655796
36.5_-106.875,3106.7719089936295
36.5_-108.125,1314.179239405871
36.0_-106.875,2174.177699503527
35.5_-106.875,2728.127420179994
36.0_-107.5,2980.491088243866
35.5_-106.25,2640.7993982748935
33.5_-107.5,2358.3437174009673
33.5_-108.125,3166.150095048741
33.0_-107.5,2312.040931024758
33.5_-106.875,3055.725465027131
34.0_-107.5,2486.7903870497958
35.0_-106.25,2370.324774967881
35.0_-106.875,2283.041624462658
35.5_-107.5,2958.9658131363676
35.5_-108.75,1394.6080613633014
33.5_-108.75,1501.8160440354204
33.0_-108.75,2439.794447318008
34.0_-108.75,3042.034056191134
33.0_-108.125,2096.911255534544
34.0_-108.125,3202.3264465675134
32.5_-108.75,3177.914855451315
32.5_-108.125,3237.3298894151017
32.5_-107.5,3056.2206633640067
32.5_-106.875,2710.736053176127
32.0_-106.875,3049.7816841011613
33.0_-106.875,2587.4280000993435
33.5_-106.25,2417.642249156558
34.0_-106.25,3153.0369037346504
33.0_-106.25,2323.520107396371
32.5_-106.25,2424.562377315125
34.0_-106.875,2681.387524974565
32.0_-106.25,1562.5810849168615
34.5_-107.5,3183.2427743481626
34.5_-106.875,2811.716200842767
35.0_-107.5,2837.7491986224304
34.5_-108.125,3122.2976487044334
35.0_-108.125,2388.862819462402
34.5_-106.25,2622.2332444867693
34.5_-108.75,3096.9506638329076
35.0_-108.75,2747.6442423083154
35.5_-108.125,1909.12753384726
36.0_-108.125,1437.145931395483
