latlon,km2
42.0_-120.0,688.787365328383
38.5_-118.125,1337.6258960167663
38.5_-117.5,2392.9595968770086
38.0_-117.5,2737.729741790504
39.0_-117.5,1669.371859247158
38.5_-116.875,2186.545876088793
37.5_-117.5,1549.5581386561068
37.5_-116.875,2730.445516463296
37.0_-117.5,118.01656155770145
37.5_-118.125,163.811281862955
38.0_-116.875,2959.857712428893
38.0_-118.125,1666.7946467129375
37.5_-114.375,2072.2825932390197
37.5_-115.0,2322.212024535495
38.0_-115.0,2830.227897337917
37.0_-115.0,1552.0204803236284
37.5_-115.625,2521.4992803874097
38.5_-115.0,1965.3438448553338
38.0_-115.625,1391.7658503866253
38.0_-114.375,2326.3941972680054
42.0_-119.375,1400.2905578431619
41.5_-120.0,1168.2590779427544
38.5_-116.25,1914.1927861172298
38.0_-116.25,2528.480971607838
37.5_-116.25,3065.7918179037933
38.5_-115.625,1688.3736038340642
39.0_-116.25,2772.929940946995
39.0_-116.875,1197.1302904063793
39.5_-116.25,2411.5538420493567
39.0_-115.625,1880.2140378333181
41.5_-119.375,2625.7684565156037
41.0_-120.0,1404.7557255273516
39.0_-118.125,2485.7066197638883
39.0_-118.75,2421.1449686324463
39.5_-118.75,2894.0553501030204
38.5_-118.75,814.4165609172853
39.0_-119.375,1670.9991334963784
38.0_-118.75,591.5737261620737
38.5_-119.375,203.57814586925917
37.0_-113.75,57.272022015819346
37.5_-113.75,49.43266799660293
38.0_-113.75,60.81382749694542
38.5_-114.375,2652.2024708760687
37.0_-114.375,2988.1789742226533
40.0_-115.625,1724.7366757216303
40.0_-116.25,2598.1395872372495
40.0_-116.875,2316.5871004406927
40.5_-116.25,2172.951124737837
39.5_-115.625,2400.492837898442
39.5_-116.875,2105.2266776185716
39.5_-117.5,2128.3905864978306
40.0_-117.5,1899.8511669167792
39.5_-118.125,1206.803757905346
40.5_-117.5,1318.4654527012005
40.0_-118.125,1753.063317755651
40.5_-116.875,1809.762612444001
39.0_-120.0,302.3009719348491
39.5_-120.0,405.4012067052651
39.5_-119.375,2271.16663802225
40.0_-120.0,738.7210869858689
40.5_-120.0,1303.709042295594
40.5_-119.375,1579.0587903435733
41.0_-119.375,1349.97137065604
40.0_-119.375,1124.7701615073677
36.0_-116.25,182.01843253701324
36.0_-115.625,907.4225822096206
36.5_-116.25,2232.8003618825337
36.0_-115.0,1380.9577519947893
35.5_-115.625,104.76241862912491
36.5_-115.625,1399.3284472102503
35.5_-115.0,1305.302191067655
37.0_-116.25,2797.1246409146247
37.0_-115.625,2363.3029849557724
37.0_-116.875,2121.959995161318
36.5_-116.875,337.20303634695676
36.5_-115.0,1141.5313555666526
38.5_-113.75,34.80784586617348
40.0_-113.75,56.293172110083496
42.0_-118.75,941.0578213001828
41.0_-116.875,2654.608656561869
41.0_-116.25,2848.6973358992245
40.5_-115.625,1629.9797178573801
41.0_-117.5,1593.933882713752
40.5_-118.125,1422.3276392712328
40.0_-118.75,2817.6381594877707
40.5_-118.75,2806.2232821969214
41.0_-118.125,2611.0433295973926
41.5_-117.5,1629.7284188012604
36.5_-114.375,1655.4453426138248
36.0_-114.375,1.4515327016039734
36.5_-113.75,12.037156262680288
35.0_-115.0,180.20720462233535
42.0_-114.375,1409.6599146424628
41.5_-114.375,2828.2192190608835
42.0_-113.75,52.19349199665574
42.0_-115.0,1000.4550923561509
41.5_-113.75,94.32709734418154
41.0_-113.75,32.81367211406985
41.0_-114.375,2068.693232393384
41.5_-115.0,2731.6389852496804
40.5_-113.75,45.40585238552337
39.0_-115.0,1731.7954526268811
39.0_-114.375,660.727965024854
39.0_-113.75,41.116755020549476
39.5_-114.375,856.7433947272123
39.5_-115.0,1908.5020239464257
40.0_-115.0,1735.9874981568091
39.5_-113.75,20.30097221101348
40.0_-114.375,2376.1100250621107
40.5_-115.0,2543.698005276295
41.0_-115.625,2809.0570297276504
40.5_-114.375,1889.2030585362363
41.0_-115.0,1986.4135002860737
41.5_-115.625,2514.5461014944462
42.0_-115.625,577.4716383370917
41.5_-118.75,1458.4002476214118
42.0_-118.125,946.051194800049
41.5_-116.25,1968.07280104417
41.5_-116.875,2777.230069229479
42.0_-116.25,1304.7597107897432
41.0_-118.75,2438.2457800379625
41.5_-118.125,2595.945145952743
35.0_-114.375,100.1157794473249
42.0_-117.5,1158.6932147942882
42.0_-116.875,1438.0087186829837
