latlon,km2
43.5_-73.75,2578.5264107229814
43.5_-74.375,2807.146227501678
43.0_-73.75,2465.02379736203
44.0_-73.75,1940.0144213559636
43.5_-73.125,608.5508997491545
43.0_-73.125,744.7939961788586
44.0_-73.125,141.09496004042182
44.5_-73.75,2225.6782913394386
44.5_-74.375,2730.015222258861
45.0_-73.75,1380.3762263821313
44.5_-73.125,183.23881412939758
44.0_-74.375,2709.6967305164662
43.5_-78.125,655.142861203202
42.5_-73.75,2385.3702642750673
43.0_-74.375,2741.54340962361
42.5_-73.125,362.4133467098702
43.0_-75.0,2701.755130568082
42.5_-74.375,2729.9288807622447
42.0_-76.25,1321.2919263767265
42.0_-75.625,1365.9407872535899
42.5_-76.25,2771.606361166588
42.0_-76.875,1427.0269268743743
45.0_-73.125,129.62047455218365
45.0_-74.375,1338.263212011212
43.0_-79.375,0.009888267328078997
42.5_-79.375,1148.8488056345877
43.0_-78.75,1537.6156375909557
42.0_-79.375,1346.5493618281487
42.5_-78.75,2674.075321590005
42.5_-80.0,21.584742730726823
43.5_-78.75,434.7342244177897
42.5_-76.875,2589.1158520637214
42.0_-77.5,1435.250714588657
42.5_-77.5,2813.05707502824
43.0_-76.875,2638.52744961006
44.0_-75.0,2769.44357718258
43.5_-75.0,2796.503952864386
44.0_-75.625,2670.003932363585
44.5_-75.0,2756.1790777219517
41.5_-75.0,912.965244953869
42.0_-75.0,2553.3792569148327
42.5_-75.0,2846.5301975039033
42.0_-74.375,2608.044011490764
42.5_-75.625,2844.1229632231366
42.0_-73.75,2207.791538017983
41.5_-74.375,2517.833101853198
41.0_-74.375,262.2786255718943
40.5_-74.375,18.5676099785109
41.0_-73.75,352.3192060265887
41.5_-73.75,1445.943695098276
42.0_-80.0,174.8351614051255
42.0_-78.75,1416.967480162008
43.0_-78.125,2769.7315061331315
42.5_-78.125,2845.3464736708233
43.0_-77.5,1994.2778032784317
43.5_-77.5,108.29786448639902
42.0_-78.125,1416.2998132930013
43.0_-75.625,2614.943074165872
43.5_-75.625,2780.02065673522
43.0_-76.25,2162.5103624368467
41.5_-71.875,19.814444615290753
41.0_-73.125,131.81707850994962
45.0_-75.0,1013.1748100377582
44.5_-75.625,1822.649074629652
43.5_-76.875,365.00030432576125
43.5_-76.25,1903.10377182987
44.0_-76.25,1241.1527444000749
44.5_-76.25,77.52618666775848
45.0_-75.625,29.61334247341595
40.5_-73.75,37.409305608351396
41.0_-71.875,108.99930489822265
41.0_-72.5,650.8190910425817
40.5_-73.125,55.3780120906348
