latlon,km2
39.0_-85.0,120.98644122514685
40.5_-82.5,2876.1252120967533
41.0_-82.5,2819.3669932952694
40.5_-83.125,2899.208281020967
40.0_-82.5,2794.9138939276054
40.5_-81.875,2925.1619577033184
41.0_-81.875,2584.8288329798665
41.5_-81.875,309.1682285854382
41.0_-81.25,1849.580131024329
41.5_-81.25,1908.4822011180781
40.5_-81.25,2904.3895429390755
41.0_-80.625,1464.2342239353798
39.0_-84.375,763.751370624085
39.5_-85.0,599.840024481785
39.0_-83.75,2944.7891675222268
39.5_-84.375,1788.2778965841965
41.5_-82.5,885.1883629946225
41.0_-83.125,2903.338513994987
41.5_-80.625,1853.1251954119398
42.0_-80.625,557.8345151848837
42.0_-81.25,120.97680094151286
40.0_-81.875,2937.5655561538692
41.0_-83.75,2901.5027826064666
40.5_-83.75,2933.6813838550947
40.0_-83.75,2873.4774381033135
40.5_-84.375,2866.073578893542
40.0_-83.125,1789.618069392845
38.5_-83.75,283.08581760121797
40.5_-80.625,1496.6898994557353
40.0_-81.25,2953.3771813024773
39.5_-81.875,2944.2207246069365
39.5_-83.125,2974.6282517996983
39.5_-83.75,2937.107116956729
39.0_-83.125,2983.661593390954
39.5_-82.5,2920.198154987525
38.5_-83.125,479.97202556826136
39.0_-82.5,2986.794010131523
40.0_-84.375,2648.501928983536
39.0_-81.875,1275.2366102200172
38.5_-82.5,1499.533982528189
41.5_-83.125,1862.8955243739986
38.5_-81.875,6.13988091423403
41.5_-83.75,2187.6000718932437
39.5_-81.25,1868.0468489856053
40.0_-80.625,845.5593497623634
39.5_-80.625,100.41378780041745
41.0_-84.375,2870.8771972016957
41.0_-85.0,541.5894594763809
40.5_-85.0,551.3757375114868
41.5_-85.0,492.9739250585847
41.5_-84.375,2617.5617180966783
40.0_-85.0,584.2509381457202
