latlon,km2
34.5_-96.875,3182.084778309569
35.0_-96.875,3126.6994099748695
34.5_-97.5,3183.277367668865
34.0_-96.875,2285.0482741531764
34.5_-96.25,3183.701513905588
35.0_-96.25,3164.8323468849594
35.5_-96.875,3121.0821851650326
35.0_-97.5,3053.154990094083
34.0_-97.5,2234.205048923997
34.0_-98.125,1354.0176854761805
34.0_-96.25,2893.4845521463717
34.0_-95.625,2362.8001026263337
33.5_-96.25,43.26503640972614
33.5_-96.875,22.653860134893424
35.5_-96.25,3116.9685572484846
35.5_-97.5,2063.971790584977
36.0_-96.875,3124.321245001883
36.5_-96.875,3034.290297518284
37.0_-96.875,1495.102320181523
36.5_-97.5,3106.9192688624516
36.5_-96.25,3060.653033351018
36.0_-96.25,2713.16280705678
36.0_-97.5,3106.268686606423
37.0_-96.25,1521.082379597468
37.0_-95.625,1531.7642125680013
36.5_-95.625,2959.1633365520534
34.5_-98.125,3069.3961429515343
34.0_-98.75,630.9472697030734
35.0_-98.125,3165.116564563162
34.5_-98.75,3149.8245334006483
34.5_-99.375,2472.3784929127305
35.0_-98.75,3138.20539650854
34.0_-99.375,50.96685524407187
35.5_-98.125,3145.720182537506
37.0_-97.5,1545.2411773603822
37.0_-98.125,1538.632479430792
35.5_-95.0,2886.4910254719075
35.5_-94.375,1149.9967608514235
36.0_-94.375,768.1350152736628
35.0_-94.375,1221.970728944967
36.0_-95.625,2637.357796342208
36.0_-95.0,3038.336658987816
35.5_-95.625,2899.4374246643356
36.5_-95.0,2905.6145707386295
34.5_-94.375,1138.403757576631
35.0_-95.0,3158.85536834503
34.0_-94.375,1054.2221600862347
33.5_-94.375,189.08438749439324
36.5_-94.375,396.23133242172486
37.0_-95.0,1535.10921203642
34.5_-100.0,782.8549434656868
35.0_-100.0,1586.8245911942101
35.0_-99.375,3164.8323468850235
36.5_-98.125,3075.838969527859
36.0_-98.125,3126.366277688137
36.5_-101.875,1534.6611158403273
36.5_-102.5,1538.7357344322
36.5_-101.25,1545.7889563433723
37.0_-101.875,1504.7395434864952
37.0_-101.25,1525.2449075263253
37.0_-102.5,1518.4405265882538
37.0_-94.375,169.10553173280312
35.0_-95.625,2988.789420019862
34.5_-95.625,3129.9129902640684
34.5_-95.0,3181.0180734711103
34.0_-95.0,2596.8781271467005
33.5_-95.0,48.8595890812458
35.5_-98.75,3145.720182537506
35.5_-99.375,3145.7201825375705
36.0_-98.75,3126.366277688137
37.0_-100.625,1536.6452327857212
37.0_-99.375,1545.6183578631649
37.0_-98.75,1547.7582050998894
36.0_-99.375,3126.366277688201
35.5_-100.0,1576.5041008726669
36.5_-98.75,3106.7719089936295
36.5_-99.375,3106.7719089936923
36.5_-100.625,1554.6020557619127
36.0_-100.0,1572.0854867796975
36.5_-100.0,2338.1844353673823
37.0_-100.0,1537.2950768343094
36.5_-103.125,462.86306561215724
37.0_-103.125,462.5566189479893
