latlon,km2
45.0_-124.375,3.9543294427229996
45.5_-123.75,2171.4913261150728
44.5_-124.375,73.3528670541933
44.5_-123.75,2150.2900614770624
44.0_-124.375,307.62238357034585
45.0_-123.75,2372.0323105740786
44.5_-123.125,2758.3985544475836
44.0_-123.75,2758.3679029247974
43.5_-124.375,775.1340745845322
45.0_-123.125,2669.6469357294072
43.5_-123.75,2784.013700312168
43.0_-124.375,1710.522419688756
46.0_-116.875,234.73751017139466
44.0_-116.875,975.4510629968238
42.0_-117.5,1441.0517628156913
42.5_-117.5,2853.3752239286264
42.5_-118.125,2805.7629863922757
43.0_-117.5,2784.137804785481
42.5_-116.875,730.874767568329
42.0_-116.875,366.22924925812913
42.0_-118.125,962.9377666048813
43.5_-117.5,2713.2256635054837
43.0_-116.875,727.142870104211
43.0_-118.125,2618.7994220328296
42.5_-121.25,2782.6010828790536
43.0_-121.25,2553.9449963333186
42.5_-121.875,1769.6035725224122
42.0_-121.25,1449.8478493273544
42.5_-120.625,2481.3282490223532
46.0_-123.75,1935.5976732294882
45.5_-123.125,2433.326422552572
43.0_-123.75,2250.7270684636624
43.5_-123.125,1795.6562582113256
44.0_-123.125,2760.4848084216283
43.0_-122.5,449.3253086745817
42.5_-122.5,1045.7482912681392
43.0_-121.875,1655.6748968400418
43.5_-122.5,89.95777960425313
43.0_-123.125,1826.36856272297
42.0_-122.5,508.89949547946446
42.5_-123.125,1337.144332968514
43.5_-121.875,1966.0630493470414
44.0_-122.5,713.4635572907496
42.0_-121.875,1320.8471325465691
43.5_-121.25,2673.6138071166615
44.0_-121.875,787.5701006631601
42.5_-124.375,376.1682675897569
42.5_-123.75,351.2562052444051
42.0_-124.375,357.64997236351394
43.0_-120.625,2581.933846576651
42.0_-123.125,11.325502518425214
42.0_-123.75,374.5061602323155
43.5_-116.875,717.9721838030603
46.0_-117.5,921.6922958262357
45.5_-116.875,1030.372626298755
45.5_-117.5,1504.3478934222353
46.0_-118.125,623.7349629371865
45.0_-117.5,1393.208322627493
45.0_-118.125,1672.6602439501419
44.5_-117.5,1647.6037559601364
45.0_-116.875,446.6251249237202
44.5_-118.125,2058.74756214322
45.0_-118.75,2243.8202310968145
45.5_-118.125,2552.387178634656
44.5_-116.875,22.838875041339197
44.0_-117.5,2569.35316207564
43.5_-119.375,2759.518899398399
44.0_-119.375,2784.92990035281
43.5_-118.75,2508.2235158947337
43.5_-120.0,2801.9907052103376
43.0_-119.375,2757.571597964278
46.0_-123.125,1920.6170378468835
45.5_-122.5,953.6685853427138
44.5_-122.5,781.3910524752916
45.0_-122.5,1573.5133181503388
44.0_-120.0,2766.56009885261
44.5_-119.375,1277.951882146305
44.0_-118.75,2687.7884848598333
44.0_-120.625,2784.92990035281
43.5_-120.625,2805.8152343177912
43.0_-120.0,2830.780082260139
44.0_-121.25,2580.6461449334097
44.0_-118.125,2640.964079136494
43.5_-118.125,2807.9644486859916
44.5_-118.75,1376.212086436666
43.0_-118.75,2427.8265718430953
42.0_-120.625,1321.7337075918867
42.5_-120.0,2239.0998722530385
42.5_-118.75,1986.7465583815015
42.0_-118.75,1029.014738162016
42.5_-119.375,2833.3266104540576
46.0_-122.5,19.796874723938327
45.5_-121.875,235.80867831130445
44.5_-121.875,390.24078433765163
45.0_-121.875,1029.2124118100264
45.0_-119.375,2581.8556565287467
44.5_-120.0,1876.5749858731956
45.0_-121.25,2675.0226011278205
44.5_-121.25,2623.9096818968424
44.5_-120.625,2413.8087333945355
45.0_-120.625,2738.210468445729
45.0_-120.0,2594.4138328784325
42.0_-120.0,1219.8123466927855
45.5_-118.75,2714.535607882259
42.0_-119.375,1471.5576717111362
46.0_-118.75,1342.881830033304
45.5_-121.25,1610.2627924569167
45.5_-119.375,2700.4176533345144
46.0_-119.375,866.2775470928366
45.5_-120.625,2430.933583022555
45.5_-120.0,2680.388363275316
46.0_-120.0,250.16359484344838
