latlon,km2
42.0_-80.625,486.2919265066018
41.5_-80.625,872.0836449764657
41.5_-80.0,2869.9662267626595
41.0_-80.625,824.736859949822
40.5_-80.625,930.6476690372061
41.0_-80.0,2891.921651474928
40.5_-80.0,1096.6082713136216
40.0_-80.0,2809.5493799821334
40.5_-79.375,2705.7924828043947
41.0_-79.375,2884.552740971208
41.5_-79.375,2884.607232214344
42.0_-80.0,2022.6034990632704
40.0_-79.375,2846.533834621446
39.5_-79.375,164.84283207340422
40.0_-78.75,2944.175104769935
40.5_-78.75,2824.277533582197
41.0_-78.75,2903.482672550675
40.5_-78.125,2835.318655812934
41.0_-78.125,2860.3084050256202
40.0_-78.125,2962.9628596038087
40.5_-77.5,2941.3623246589727
40.0_-80.625,976.7287710067943
39.5_-80.0,168.90263348872892
41.0_-77.5,2846.0811644891924
41.5_-77.5,2897.9024655600274
41.5_-78.125,2897.8978234758592
42.0_-77.5,1437.0156624787305
41.5_-76.875,2874.5455638380504
42.0_-75.0,219.6168378918893
42.0_-75.625,1418.6292887392278
42.5_-80.0,3.576215520583721
42.0_-79.375,1426.1098321186441
42.0_-78.75,1394.2603303100775
42.0_-78.125,1435.7122230891691
42.0_-76.875,1444.2230461333108
42.0_-76.25,1412.0719218815536
39.5_-80.625,55.90741957195916
41.5_-78.75,2898.0706748972325
41.5_-75.625,2588.518880852314
41.5_-76.25,2848.8780593751703
41.5_-75.0,1650.865589727374
41.0_-76.25,2748.0285448548325
41.0_-76.875,2784.7251217500407
40.5_-76.875,2525.370161399345
40.0_-76.875,2112.538025920815
40.5_-76.25,2773.7105852600607
40.0_-77.5,2839.622620089862
40.0_-76.25,2345.7325085588805
39.5_-76.875,160.8357755803967
40.5_-75.625,1982.2047660995495
41.0_-75.625,2696.966470842967
40.0_-75.625,1096.749232120499
39.5_-76.25,159.39018310462237
41.0_-75.0,1029.3822832506664
39.5_-78.125,159.26954821239912
39.5_-78.75,160.02257059155696
39.5_-77.5,139.84440489317274
40.5_-75.0,785.379291080893
39.5_-75.625,37.5517155912436
40.0_-75.0,31.734856058381805
