latlon,km2
34.0_-81.25,2147.723836084403
34.0_-81.875,3110.701730560465
33.5_-81.875,2116.7674078846603
34.5_-81.875,3159.953312994971
34.0_-82.5,1736.9142987535663
34.5_-82.5,2765.4916419175006
33.5_-82.5,29.25704260519278
35.0_-80.625,626.5930621627956
32.5_-80.625,1637.485297187925
32.5_-80.0,516.6360112974369
33.0_-80.0,2039.096368303618
32.0_-80.625,130.37797897690425
33.0_-81.875,292.46643189624365
33.5_-81.25,3080.638175707444
34.5_-83.125,890.0175703911959
35.0_-81.25,2216.034914429345
33.0_-80.625,3052.0361430802527
32.5_-81.25,1422.3577845171387
33.0_-81.25,2756.4422697148225
32.0_-81.25,153.0166997241605
34.5_-78.75,11.047579471694371
35.0_-79.375,25.131023102704045
35.0_-80.0,373.6933693617315
33.0_-79.375,626.8581413628239
33.5_-78.75,36.73921964702551
33.5_-79.375,2493.1115021088644
34.5_-81.25,3183.701513905588
34.5_-80.625,3089.2748615900277
35.0_-81.875,2257.395927530699
33.5_-80.0,2438.4003831444356
33.5_-80.625,2819.642447702681
34.0_-80.625,2387.1715637476123
34.0_-80.0,2929.529749209022
34.0_-78.75,1229.1928208487434
34.0_-79.375,2615.5924409944255
34.5_-79.375,1692.7491122350223
34.5_-80.0,2851.1512102405945
35.0_-83.125,1071.541863671059
35.0_-82.5,1768.1277329936506
