latlon,km2
36.0_-86.25,2673.9171499220092
35.5_-86.25,3131.88058134565
36.0_-85.625,3127.86892301352
36.0_-86.875,2091.8858188885292
36.5_-86.25,2261.8965495671687
35.5_-85.625,3145.720182537506
36.0_-85.0,3095.2420496322848
36.5_-85.625,2228.7514476147344
36.5_-86.875,2242.930972655621
36.5_-87.5,2163.057409121358
36.5_-88.125,1728.9698813854702
36.0_-87.5,3116.828586998766
36.5_-85.0,2046.8182887941807
36.0_-88.125,2973.0240840044535
35.5_-87.5,3112.085626047155
35.5_-86.875,3111.3466762634644
36.5_-88.75,1545.5908089240336
36.0_-88.75,3127.04172923855
35.5_-88.75,2978.364585161933
36.0_-89.375,2878.9754745748764
35.5_-88.125,3135.5083474971034
36.5_-89.375,1103.8111990440652
35.5_-85.0,3006.313595717693
35.0_-85.625,1558.9150116396731
35.0_-85.0,985.4138649225177
35.5_-84.375,2805.456086141499
36.0_-84.375,2567.2676950641785
36.5_-84.375,1930.3544913430883
36.5_-83.75,2026.8346087136918
36.0_-83.75,2419.019832398372
35.5_-83.75,426.38240282245124
36.0_-83.125,2258.039609912041
36.5_-83.125,2057.8126864110313
35.0_-84.375,905.4368586517826
35.0_-88.75,1594.757673646064
35.5_-89.375,3094.0702470104375
35.0_-86.25,1570.7854470322939
35.0_-90.0,247.42489684639852
35.0_-89.375,1564.243309076908
35.5_-90.0,1435.759550453246
36.0_-90.0,81.03210233601402
36.0_-82.5,678.3905957458015
35.0_-86.875,1598.4212982220604
36.5_-82.5,1574.166774733247
36.5_-81.875,1355.428477961596
35.0_-88.125,1512.9129810886864
35.0_-87.5,1539.0913249932064
36.0_-81.875,131.51969016761564
