latlon,km2
40.5_-111.25,802.6233706369884
40.5_-111.875,314.7519692419516
40.0_-111.875,1152.3162443742442
41.0_-111.875,485.34743719263156
40.5_-112.5,733.4559343660814
40.5_-110.625,653.9678188380005
40.0_-111.25,1214.7410598809904
41.0_-111.25,1731.6630592532206
40.0_-112.5,2018.8375580268446
40.5_-113.125,2032.8062459155851
41.0_-112.5,449.95967324181777
40.0_-110.625,2457.8910297491325
39.5_-111.25,598.5336555472546
42.0_-111.875,560.7155690548319
42.0_-111.25,788.4622835545871
41.0_-113.125,1587.505816313306
41.5_-113.125,1512.065954930111
41.0_-113.75,420.0001762948876
41.5_-112.5,1744.0849910593772
41.5_-113.75,1798.2870841424667
42.0_-113.125,968.1910327222809
40.5_-113.75,344.33943695180113
40.0_-113.125,2243.0299488500737
39.5_-111.875,1428.4840531062523
41.0_-108.75,10.743358958906992
41.5_-111.875,671.6149625130081
41.5_-111.25,2139.430848222452
42.0_-112.5,1386.4536103355658
41.0_-110.625,694.234392990168
42.0_-113.75,883.5109696486478
39.5_-112.5,2586.90547902833
39.0_-111.875,1074.305504135644
39.5_-110.625,2126.5017482470744
39.0_-111.25,1532.908026344614
40.0_-113.75,686.5761358199512
40.5_-108.75,30.015575809376095
40.0_-108.75,53.290991512498074
38.0_-108.75,96.03641306931776
37.5_-108.75,75.22737509367768
38.0_-109.375,2274.1394882422187
38.5_-108.75,2.8575257080786227
37.5_-109.375,2455.114606492576
37.0_-108.75,3.2274325773600028
37.0_-110.625,1.1110998230036921
41.0_-110.0,536.7424764198436
41.0_-109.375,733.2683256741929
37.0_-110.0,185.97882004192942
37.5_-110.0,2337.386628925081
38.0_-110.0,1053.6538869051249
37.5_-110.625,1287.9502203496668
37.0_-109.375,10.328511452418287
39.0_-110.0,2649.0401525008715
39.5_-110.0,1058.9526166375788
40.0_-110.0,2926.462801211104
39.5_-109.375,2766.12639447823
39.0_-110.625,3005.2391836868096
39.0_-108.75,22.8961125299555
39.5_-108.75,34.542978387248496
39.0_-109.375,2315.823063137756
38.5_-109.375,1282.7168825160425
40.0_-109.375,2959.9144362614747
38.0_-110.625,1216.2054368359222
37.5_-111.25,1807.3867795829008
37.0_-111.25,266.91409022590017
37.0_-112.5,1517.2435081785604
37.0_-111.875,1471.74946885756
37.5_-111.875,2574.6798554646734
38.0_-111.875,1323.478514482186
37.5_-112.5,2608.2344641031973
38.0_-111.25,1713.2231152543536
38.0_-112.5,1451.7128648828996
38.0_-113.125,2873.5072207145845
37.5_-113.125,714.1051767712281
38.5_-113.125,2631.2799797312637
38.0_-113.75,2732.5511992267784
37.0_-113.75,765.8627491963505
37.0_-113.125,990.0193123552111
37.5_-113.75,2498.422082230467
40.5_-109.375,2092.6791990437214
38.5_-110.0,2118.0364187584987
38.5_-110.625,3026.01602510083
38.5_-111.25,1600.4343592087396
38.5_-112.5,815.2352200700096
38.5_-111.875,837.6021229173158
39.0_-112.5,2155.3974991040363
38.5_-113.75,1247.8948808909502
39.0_-113.125,2122.0632583116576
39.5_-113.125,2329.1529701192003
39.5_-113.75,2298.1723400763
39.0_-113.75,2366.5616055821365
40.5_-110.0,1696.9457690517793
