latlon,km2
37.5_-81.875,620.3365174130973
37.5_-82.5,128.87023201932718
37.0_-82.5,2702.9350281403817
38.0_-75.0,0.48672180875208004
38.0_-75.625,493.67814567304976
37.0_-83.125,398.0163486966774
36.5_-83.125,844.6173770776938
36.5_-82.5,948.5632232691952
37.0_-81.875,3017.996007364202
36.5_-83.75,82.74690226514623
36.5_-81.875,687.7444918907979
37.5_-81.25,134.1401797424273
39.5_-77.5,134.89068405099889
39.5_-78.125,387.5180737176184
39.0_-77.5,1364.5214958317072
39.0_-76.875,0.14632189999644457
39.0_-78.75,990.5771685137018
39.0_-78.125,2647.8711216576203
38.5_-78.75,2636.4050244286495
39.0_-79.375,0.12587120404732755
38.5_-78.125,2484.4186474157596
38.5_-79.375,1643.6042899189408
38.0_-78.75,2425.9269666378705
38.5_-77.5,2105.452977452463
38.0_-78.125,2991.9811616071684
36.5_-75.625,19.399278949579045
37.0_-75.625,23.549203914669427
36.5_-76.25,515.3378348244313
36.5_-76.875,1204.2360029300341
37.0_-76.25,326.7247122103381
37.5_-75.625,718.9342104221661
37.5_-76.25,1139.2775354779474
38.0_-76.25,649.8052594975887
37.5_-76.875,2752.293054646516
37.0_-76.875,2719.699305301465
38.5_-76.875,243.26542512460838
38.0_-76.875,2517.4457368173753
38.0_-77.5,2939.949464288612
36.5_-77.5,1250.2409248347594
36.5_-78.125,1198.4431190221799
37.0_-77.5,2971.1366807294517
37.5_-77.5,1871.7950892675713
37.0_-81.25,2988.75609910913
37.5_-80.625,1027.6337477632967
36.5_-81.25,1011.809999166381
36.5_-80.625,1170.8026443198673
37.0_-80.625,2955.560974757081
36.5_-80.0,1198.4079471458547
37.0_-80.0,2961.19837259366
36.5_-79.375,1192.4496625238664
38.5_-80.0,132.32710791192952
36.5_-78.75,1194.715051166254
38.0_-80.0,1686.373215473829
38.0_-79.375,2817.8691467270837
37.5_-80.0,2684.9764791736307
37.0_-78.75,3087.7590975730895
37.0_-78.125,3079.383710192733
37.0_-79.375,3028.504203470363
37.5_-78.125,3066.6307395860445
37.5_-78.75,3065.143290540833
37.5_-79.375,2495.1670441607866
