latlon,km2
42.5_-73.125,41.24318853409648
43.0_-73.125,1690.5093131397136
42.5_-72.5,57.21572910742347
43.0_-72.5,1470.5443758236506
43.5_-72.5,1888.1749840108555
44.0_-71.875,360.4399051540243
43.5_-73.125,1777.8303259660645
44.0_-72.5,2735.2987824868696
45.0_-73.125,939.144321602089
45.0_-72.5,1384.3684376795222
44.5_-73.125,1401.8964016813472
45.0_-71.25,61.319031639287694
45.0_-71.875,1399.733223558704
44.5_-71.875,2117.898674961173
44.5_-72.5,2397.059867917423
44.5_-71.25,8.317463405852981
44.0_-73.125,2032.3066583219902
