latlon,km2
48.5_-125.0,12.629046707139747
47.5_-120.0,2066.762527061717
47.5_-119.375,2583.876451085414
47.0_-120.0,2238.22971836575
47.5_-120.625,123.05343757597568
48.0_-120.0,1093.1876152612297
49.0_-123.125,12.723293806567721
48.5_-124.375,260.99504275086497
48.5_-123.125,396.3121998095523
49.0_-122.5,828.6155887163492
48.0_-119.375,2418.9336336796987
48.0_-120.625,26.66112695699287
48.5_-120.0,130.58792219941003
48.5_-120.625,0.5572441998687364
48.0_-121.25,1.1538550904974607
47.5_-121.25,61.43222319907599
48.5_-121.25,0.9998551884902832
48.0_-121.875,909.0562070287659
48.0_-124.375,1992.7431618093804
48.0_-125.0,2.249031832211951
48.0_-123.75,196.84884726013485
47.5_-124.375,1113.7586194482803
48.0_-123.125,498.3907682340657
47.5_-123.75,1089.3968869117907
47.0_-123.75,2485.7149753218464
47.5_-123.125,1102.6536323928863
48.0_-122.5,921.7774297327522
48.5_-122.5,1058.97148189969
47.5_-122.5,622.4054662830513
47.5_-121.875,738.9150413218607
48.5_-121.875,172.92289486575052
45.5_-122.5,342.8058396621471
46.0_-122.5,1535.7138016271124
45.5_-121.875,67.59748915580477
47.0_-122.5,1683.8075839047867
47.0_-123.125,2194.810532206845
47.0_-121.25,158.48591425986632
47.0_-120.625,1668.115826308143
46.5_-121.25,429.46803080492015
47.0_-121.875,429.9709695609032
49.0_-120.625,1.3427907353523036
49.0_-120.0,32.26894654231586
49.0_-119.375,335.22046715096496
49.0_-121.25,0.028587794109629625
48.5_-119.375,856.1000494011471
47.0_-119.375,2642.306784493172
47.5_-118.75,2617.6951446841326
48.0_-118.75,2213.2077320016856
46.0_-123.125,469.6190714820868
46.0_-121.875,474.2871907057105
45.5_-121.25,271.3415584563466
47.0_-124.375,282.126466097142
46.5_-124.375,8.91699246222002
46.5_-123.75,2147.584970157027
46.5_-123.125,2611.137802649745
46.0_-123.75,1.3740852932067544
49.0_-121.875,7.005938109373411
46.5_-118.75,2635.2611605886595
46.5_-119.375,2368.030062395255
46.0_-118.75,1242.2647996679495
47.0_-118.75,2642.216250451644
46.5_-118.125,2657.2033825924073
46.5_-122.5,1859.2355987385477
46.5_-121.875,61.14456049455418
46.0_-121.25,1932.0384115734828
46.5_-120.0,2617.4845372493737
46.0_-119.375,1571.7095363726505
46.5_-120.625,2376.385988824654
46.0_-120.625,2415.3464381098693
46.0_-120.0,2356.6003033634297
45.5_-120.625,234.16224261802833
49.0_-118.75,226.42707934652725
48.5_-118.75,1180.3166515136145
49.0_-116.875,0.23257083822528332
49.0_-117.5,72.50849789030555
48.5_-116.875,263.45025358088964
46.0_-118.125,859.0941188588106
47.0_-118.125,2638.6945114678138
46.5_-117.5,2535.116286107327
45.5_-120.0,22.911808118480828
47.5_-118.125,2614.305362224139
48.0_-118.125,1898.377800702166
47.5_-117.5,2324.7123562740753
47.0_-117.5,2641.1028574638585
47.0_-116.875,624.2900161926284
48.0_-116.875,425.09213500054386
47.5_-116.875,455.898281222493
48.0_-117.5,2198.4360011008584
48.5_-117.5,741.0484236938727
46.5_-116.875,619.8648102295134
49.0_-118.125,284.70552912987165
46.0_-116.875,236.2091681945399
46.0_-117.5,245.06576197367673
48.5_-118.125,400.87833064306545
