latlon,km2
42.5_-87.5,0.35878756921749244
43.5_-87.5,111.184628998373
43.0_-87.5,0.02549040117399716
42.5_-90.625,950.2370847827411
42.5_-91.25,35.48156100303274
43.0_-91.25,798.5031524841099
43.0_-90.625,2817.1400473464364
42.5_-90.0,1377.9753715394531
45.0_-86.875,176.12716443650805
44.5_-87.5,1434.290988890636
45.0_-87.5,950.7227617997347
45.5_-87.5,81.22261351159776
45.0_-88.125,2390.2444559369906
44.0_-87.5,585.7518162680178
45.5_-86.875,87.81719714264617
42.5_-89.375,1398.3302068244304
43.0_-90.0,2804.2948130894038
45.5_-93.125,77.6466505712126
47.0_-91.875,1.0217313367505758
47.0_-91.25,439.38921223025284
46.5_-91.25,2651.7089950020895
47.0_-90.625,261.92521611344097
46.5_-91.875,2279.2194921397618
46.0_-91.25,2595.882877374581
46.5_-90.625,1858.1738289501602
46.5_-92.5,304.4512549295496
46.0_-92.5,1269.4669039086957
46.0_-91.875,2569.3236721325898
45.5_-92.5,2378.2867594466943
42.5_-88.125,1138.9253036036064
43.0_-88.125,1221.0751749434241
42.5_-88.75,1245.5572876085582
44.0_-88.125,2310.4441389887957
44.5_-88.125,2062.6905709832677
44.0_-88.75,2165.9417185580187
43.5_-88.125,2599.7714509755674
44.5_-88.75,2694.161366166835
44.0_-89.375,2684.977815570841
43.5_-88.75,2782.8941565345135
43.0_-89.375,2345.4234685968167
43.0_-88.75,2672.7432163665126
43.5_-89.375,2759.0360668161184
44.0_-91.875,335.68533437576394
43.5_-91.25,1112.304943847956
45.5_-91.875,2693.831689705103
45.0_-92.5,2480.5149857753504
45.5_-88.125,2603.2899009760167
45.0_-88.75,2665.22711946392
45.5_-88.75,2564.524771844445
45.0_-89.375,2597.0242415082303
44.5_-89.375,2718.981830339612
45.5_-89.375,2572.3785071379275
46.0_-88.75,1392.7656910797523
46.0_-88.125,645.4836294452172
43.5_-90.625,2807.2322319665514
43.5_-90.0,2802.31687919695
44.5_-92.5,824.5262274968384
44.5_-91.875,2394.124182282245
45.0_-91.875,2729.59665598388
45.5_-91.25,2687.8162656766276
46.5_-89.375,0.4432994653293823
46.0_-89.375,2231.9854730037437
44.0_-90.0,2640.5608733580575
45.5_-90.625,2681.470070365319
45.0_-91.25,2511.326260994889
46.0_-90.625,2484.3905318476736
46.5_-90.0,503.919018558871
46.0_-90.0,2605.7591211992553
45.5_-90.0,2656.501951952399
45.0_-90.0,2678.6884664118634
44.5_-90.0,2664.6923578658752
45.0_-90.625,2714.548010687012
44.5_-91.25,2760.0552491574235
44.5_-90.625,2697.957737397992
44.0_-91.25,2001.2636756228221
44.0_-90.625,2694.873927547455
