latlon,km2
38.5_-81.875,2775.0301932307193
38.5_-81.25,3006.610387112091
39.0_-81.875,1686.7822250461977
38.0_-81.875,3045.598551637217
38.5_-82.5,729.3826370371995
38.0_-82.5,1537.6282594246165
37.5_-81.875,2226.935134190779
38.0_-81.25,2650.795367075048
39.0_-82.5,10.462868542847403
37.5_-82.5,109.2880264383334
38.5_-80.625,3025.4461737917522
39.0_-81.25,2971.147746425675
37.5_-81.25,2812.1742678961473
38.0_-80.625,2975.989728412697
39.5_-80.625,2768.95149905617
39.0_-80.625,3004.305689627494
39.5_-80.0,2768.0450161405315
39.5_-81.25,1024.925855415209
40.0_-80.625,1018.7610621142575
39.0_-80.0,3003.225846426714
37.0_-81.875,66.90150907156075
39.5_-79.375,1281.6015232073491
39.0_-79.375,2448.4916532287266
39.5_-78.75,1658.8391299402047
39.0_-78.75,2014.6641220573838
39.5_-78.125,1652.1589835404052
39.0_-78.125,105.68032354579609
39.5_-77.5,99.51914463030258
38.5_-80.0,2894.54489939642
38.5_-79.375,1276.5789037727411
38.0_-80.0,1335.6118038745713
39.5_-81.875,17.174731435160705
37.5_-80.0,84.17749383073085
37.5_-80.625,1959.918605073068
40.5_-80.625,281.53592541542025
37.0_-81.25,21.979395764914802
