latlon,km2
43.0_-110.0,2090.0058427281983
43.0_-110.625,808.8114537780398
42.5_-110.625,1801.7657551281645
43.0_-111.25,126.73732186221099
43.5_-110.625,476.468439673669
41.0_-107.5,1411.961760051599
41.0_-108.75,1457.4338846247877
41.0_-108.125,1449.9171802656435
41.5_-108.125,2897.8978234758592
42.0_-107.5,2797.5279066324574
41.5_-107.5,2892.293013784418
41.5_-106.875,2597.0718943564284
41.0_-106.875,844.2757146193037
41.5_-108.75,2897.8978234758592
42.0_-108.125,2875.7483166468387
41.0_-106.25,1447.0555772810712
42.5_-111.25,385.54822016265894
41.5_-111.25,486.7679768651263
42.0_-111.25,434.9482115371867
42.0_-110.625,2868.3684642753296
41.5_-110.625,2897.825086535943
41.0_-111.25,247.67921571404452
41.5_-109.375,2868.1447600890037
42.0_-108.75,2875.7483166468387
41.0_-109.375,1360.5169523196028
42.5_-108.125,2853.3752239285677
42.5_-107.5,2633.03677388985
43.0_-108.125,2802.3595719279297
42.5_-108.75,2121.380804183476
43.5_-108.125,2745.462466068601
43.0_-108.75,2289.6436773142777
43.0_-107.5,2830.780082260081
42.5_-109.375,2423.998612480196
42.0_-109.375,2874.1369634699
42.0_-106.875,2841.124694025232
41.5_-106.25,2162.7315628424294
43.5_-107.5,2604.3773990664386
43.5_-106.875,2781.363855456286
44.0_-107.5,2058.351524714793
44.5_-107.5,816.5342084928759
44.0_-108.125,2784.929900352867
44.0_-106.875,1623.8389185909607
44.0_-111.25,153.1588466624529
45.0_-104.375,1365.409058837885
45.0_-105.0,1370.6837992383867
44.5_-105.0,2761.6780344994972
45.0_-105.625,1377.8673687155767
41.0_-110.0,1430.9984602719705
41.0_-110.625,1476.1969070117884
42.5_-110.0,2853.3752239285677
42.0_-110.0,2875.7483166468382
43.0_-109.375,419.0298319685757
43.5_-109.375,1131.943779828478
43.5_-110.0,1616.500035364876
43.5_-108.75,2090.201137568194
45.0_-106.875,1313.5226900681857
42.5_-105.0,2850.5678993386505
42.5_-104.375,2853.3752239285677
43.0_-105.0,2830.7800822600816
42.5_-105.625,2672.303730973281
42.0_-105.0,2769.5195758335176
42.0_-104.375,2875.7487935913255
41.5_-104.375,2897.8978234758592
42.0_-103.75,49.562787694878516
41.5_-103.75,50.66546726138933
41.0_-104.375,1442.0871156304058
41.5_-105.0,2897.8978234758592
43.0_-104.375,2830.780082260081
43.5_-104.375,2807.9644486860484
43.0_-103.75,45.680295379231886
42.5_-103.75,48.201505937568314
44.5_-104.375,2761.6780344994972
45.0_-103.75,13.508769972587423
44.0_-103.75,36.085355517725986
45.0_-106.25,1356.807671592672
44.5_-106.25,2761.6780344994972
44.5_-106.875,1364.3438759516869
45.0_-107.5,478.69204769083336
44.5_-105.625,2708.0537873954804
44.0_-104.375,2784.929900352867
44.0_-105.0,2784.929900352867
43.5_-105.0,2807.964448686049
43.5_-103.75,39.499711990689775
44.5_-103.75,31.51566265432887
43.0_-105.625,2826.189699322115
42.0_-105.625,2740.073541101059
42.5_-106.25,2840.035614563846
41.0_-103.75,24.16217619889987
41.5_-110.0,2897.8978234758592
42.5_-106.875,2722.3363511856164
43.0_-106.875,2830.7800822600816
42.0_-106.25,2875.7483166468382
43.0_-106.25,2721.8861767099584
41.5_-105.625,2897.8982771936035
41.0_-105.625,1453.8565465865115
41.0_-105.0,1458.5268247833835
45.0_-108.125,584.6741826350719
44.5_-108.125,2601.468766515268
44.0_-110.625,898.7138922107032
44.0_-106.25,2784.929900352867
44.0_-105.625,2774.2453407691078
44.0_-109.375,146.73211562571564
44.0_-108.75,2555.62771296412
44.0_-110.0,475.5946520917394
43.5_-106.25,2807.9644486860484
44.5_-108.75,2713.9603469435833
45.0_-108.75,1373.7266787152264
43.5_-105.625,2807.9644486860484
45.0_-110.0,0.9559450284388796
44.5_-109.375,411.2316274398482
45.0_-109.375,305.327104802306
44.5_-110.0,0.3132972337924356
