rowf_colf,km2
426_2008,1.3301199677857283
428_2008,4.379266302484321
428_2006,9.969788599021427
430_2008,1.2205740185632925
430_2006,15.86146277002934
428_2004,12.251364959398582
494_1980,16.28864434719986
492_1982,16.279850837026963
494_1982,16.291936739991126
492_1980,16.28279414345789
492_1984,16.283725493362883
490_1984,15.046281362003837
490_1982,16.282001730362587
496_1928,13.34317528984799
496_1926,16.31080640238202
494_1928,13.486326258173765
496_1930,13.947314059649475
498_1928,9.653922223447271
498_1926,16.17648384232212
494_1930,14.144044315369698
494_1920,15.336950911726511
496_1920,16.310279108206537
496_1918,16.311578179310967
494_1918,13.595025470139623
492_1920,14.337393836408523
492_1922,16.298932522326275
494_1922,13.528341164212465
494_1926,16.304707757336697
496_1924,15.703612509038143
498_1924,14.50144077049362
490_1914,16.296549127622228
490_1912,16.303007519942717
488_1914,16.29253234570491
488_1916,16.29453388657649
492_1912,16.30443608744876
492_1914,16.300628344870635
490_1916,13.748924276847385
486_1916,16.281180554443562
486_1918,16.29280065036728
488_1918,16.293063018117113
438_1842,6.16010910745058
436_1842,3.9428842981210934
432_1844,15.583786241842745
434_1842,1.714940076255645
432_1842,0.03438800014690417
434_1844,16.18415112078558
422_1844,3.6476977506314
420_1844,1.2500152081197462
448_1994,16.177523619187312
450_1994,16.1776670440027
450_1992,16.18337573629654
452_1994,16.18715885306689
450_1996,16.18803491593579
452_1992,16.191334145787803
448_1996,16.177098127102717
384_1888,15.154213456519425
384_1886,13.872033625084267
382_1888,16.050036438594763
386_1886,16.05915733213173
386_1884,15.519996118705452
384_1884,16.05726313789774
382_1886,16.05322095714201
452_1990,16.188426162743554
448_1992,16.181276679934463
450_1990,16.18846947897172
440_1964,9.911514468487553
440_1962,16.165511119363835
438_1964,16.16711303838963
438_1966,15.097281244598623
442_1962,16.17560962327888
442_1964,13.957232637672732
440_1966,1.561123392192452
440_1988,12.253443968484293
438_1990,12.028771607741424
440_1990,16.110011136655597
438_1988,0.38386302188318416
442_1988,16.171154497825196
442_1986,16.165091451430893
440_1986,6.635335878639384
430_1990,16.14020505185715
432_1990,16.141827534850368
432_1988,15.73575760348561
430_1992,16.131898238328112
430_1988,14.152378433341257
428_1990,12.98774946077291
428_1992,15.400359718915675
428_1988,15.732327793400437
428_1986,16.128880609702236
426_1988,14.792650617950072
430_1986,16.138126285702715
426_1990,11.456948011036808
438_1982,11.586396684289852
440_1980,16.161094839476153
438_1980,15.887322503458606
436_1984,6.6114538845475685
438_1984,0.42163711013709393
436_1982,15.969595709469996
440_1982,16.162494650858175
436_1986,3.006399154988299
434_1984,16.1352332584676
434_1986,14.444712015796492
498_1950,16.311938553169988
496_1950,16.301426069966613
496_1952,16.30315650263642
498_1948,16.013645657902032
494_1952,16.29526717172878
494_1950,16.293258724783446
496_1948,13.744523482183924
510_1980,16.327231193594653
510_1982,16.322631277618473
512_1980,15.284995618116627
510_1978,16.323255804973336
508_1980,16.31788819334754
512_1978,15.490877525145475
508_1982,16.315161713184597
506_1982,16.319331268744055
506_1980,16.31700305108483
508_1978,16.320746733843425
490_1986,14.9079257636694
488_1984,16.2763029915506
488_1986,16.275769297242164
492_1986,16.28044482503428
490_1988,16.2734203955684
488_1988,16.27072629769925
552_1952,16.42242807076413
550_1954,16.414601270734508
552_1954,16.428029508997017
550_1952,16.419448475946687
548_1954,16.417086844656804
548_1956,16.41709497988097
550_1956,16.41765833412934
546_1958,16.406266050807258
548_1958,16.411921218779973
550_1958,16.41895256752419
548_1960,16.409839945392093
546_1960,16.406891318216996
544_1960,16.402608465067466
544_1962,16.406296554215768
546_1962,16.41402213837044
534_1984,3.7253985643109
536_1984,2.737406497501102
534_1982,16.353795585709033
532_1984,11.66661036869131
536_1982,12.9847878691165
532_1986,0.5854599666571916
492_1930,16.13945413145233
494_1932,16.303803568247005
492_1932,16.121759147738633
504_1918,13.88123820349141
502_1920,16.14443985730359
504_1920,15.42545671682356
500_1922,16.31711355804632
500_1920,15.534277284349724
502_1918,12.723113038582119
502_1922,16.324539166068558
504_1922,16.316063020723725
502_1924,13.649556945800809
504_1924,16.29200889258979
506_1920,16.30694675728058
506_1922,15.895874603006321
502_1926,16.322158833698715
504_1926,16.322614085902448
506_1924,14.765985787055456
486_1922,16.285521523811656
488_1922,15.883668782116523
488_1920,12.939678903463806
486_1924,16.283510460686813
484_1922,16.280315404639886
484_1924,14.1609124694756
486_1920,16.291394660892394
490_1918,14.852467844513168
490_1920,15.695788400705327
492_1918,13.54048977970842
492_1916,13.488409615585711
490_1922,16.298152005299205
570_1910,16.474230522089652
570_1912,16.220116147869323
572_1910,16.478391579116135
568_1910,15.709775996483092
570_1908,16.47260362628307
568_1912,13.708102018175225
572_1908,16.47681579912527
564_1892,15.40356477092882
566_1892,16.319222039512997
566_1890,16.464888457623577
568_1890,16.472065733146657
568_1892,16.472802474822444
566_1894,9.722425018715786
564_1894,15.331170051885382
532_1892,16.393942756097168
532_1890,16.39851483125772
530_1892,16.391448177682094
534_1890,16.399636519356438
534_1888,16.404896837317764
532_1888,16.3968983732546
530_1890,16.394645770519464
494_1914,16.29301731899253
494_1916,12.260153215727861
498_1922,14.442465824821532
498_1920,15.529920219155574
500_1918,13.067523981322875
494_1912,16.302155223322945
496_1922,12.940669714568015
494_1924,14.510131086133233
492_1924,16.009880805113053
498_1918,16.314519938370793
500_1924,14.884118379485164
500_1926,12.924791816595706
540_1872,9.914281145701342
540_1870,16.407684939826847
538_1872,8.631924763266717
540_1874,12.781800102955465
542_1872,13.133941616447824
538_1874,10.019942415383836
542_1870,16.419341164598606
538_1876,3.8339553913226423
536_1876,0.5731217852811736
536_1874,1.3207626241005732
554_1872,16.444897154942744
556_1870,16.450902893082702
554_1870,16.44934716079696
556_1872,16.447294101958413
552_1872,16.437534488392718
552_1874,16.439706432852507
554_1874,16.447885769993523
554_1866,16.444929941845743
554_1868,16.45442410298404
556_1866,16.453002024178808
554_1864,16.450317702247496
552_1866,16.44699366091899
552_1868,16.44928312558019
556_1864,16.453656882163585
558_1864,16.454193682555292
558_1866,16.457276346619317
556_1868,16.45384282554563
532_1856,14.712571276074554
530_1856,16.396204071614505
530_1858,16.405076963093414
528_1858,13.111964850378119
528_1856,16.39288746603436
530_1854,16.400474324154416
532_1854,13.94437214934774
528_1860,13.642186235443326
526_1858,14.759803706350054
526_1860,16.389307772813
532_1852,12.428385515660166
530_1852,15.821624981799248
528_1854,16.400716203933044
528_1852,16.397260017874324
530_1850,16.259603922681293
532_1850,13.397727724703799
526_1856,13.012360625532533
524_1858,16.393507429567617
524_1860,16.388968476245534
484_1920,16.28385865988975
484_1918,16.284460714369693
422_1942,16.12780239818474
422_1940,16.133977856678957
420_1942,15.418646549326384
422_1944,16.131988145210965
424_1942,16.135871867231984
420_1944,13.54419845300005
424_1940,16.133528545239855
458_1922,16.22091383927165
460_1922,16.227093139246982
460_1920,16.23067475636956
462_1920,16.240499296402962
462_1922,16.234374460201202
460_1924,16.222749990132233
458_1924,16.22429197682341
460_1926,16.23130293076582
458_1926,16.19837729584628
462_1924,16.23291879681524
454_1928,16.212821779392588
452_1930,16.20820589127868
454_1930,16.212109095123946
452_1928,16.205832417869633
456_1928,16.216941119918552
456_1926,16.21479416149357
454_1926,16.21252611032875
452_1926,16.204282938420047
450_1928,16.19975015588476
450_1930,16.202138457260965
502_1952,16.31173968330201
500_1952,16.309509859482677
500_1954,16.309755819526575
502_1954,16.312529185069856
504_1952,16.322984672353044
502_1950,16.314899625045015
504_1950,16.317947898035136
482_1948,16.273797559726166
484_1946,14.111476367460014
482_1946,16.268737202245877
486_1946,11.616446434292868
486_1944,16.28072680156645
484_1944,16.271045289418407
484_1948,15.874866678424725
482_1950,16.26821090909394
482_1952,16.26752792602628
484_1950,16.276667262769365
480_1950,16.263839486262064
480_1952,16.263536062073843
450_1942,16.196952707805334
450_1944,16.198516394450134
452_1942,16.198732708127093
452_1944,16.2054414602716
448_1944,16.187967089395215
448_1946,16.190771999534988
450_1946,16.199773188437252
446_1946,16.185577518108328
446_1944,16.18467768295695
448_1942,16.193743641562286
426_1940,16.139851107551078
426_1938,16.13954921708839
424_1938,16.1413060935308
420_1940,16.132112315786976
422_1938,16.130641113777635
430_1844,13.226945866356145
428_1844,10.839022880659412
428_1846,16.166943220305814
426_1846,16.167819799123055
426_1844,8.436535344790784
384_1850,10.05369933911847
382_1850,7.740273005032894
380_1862,15.829076690861347
382_1862,16.057111961624994
382_1860,14.25551246452017
380_1860,7.989226176499328
380_1864,12.075569039539591
378_1864,13.07309312737624
378_1862,14.233834385370528
380_1858,9.812154970826832
378_1860,8.553764313716684
382_1858,13.717817256007862
372_1862,2.1867785648274944
372_1860,0.4149383713499728
370_1862,0.03322631385871831
372_1864,0.42014733406394356
374_1862,1.6898146562247183
374_1860,1.4741815115261867
370_1864,2.680297039315082
368_1862,1.8453916824535255
368_1864,2.160387464340314
374_1864,5.149955027302095
370_1866,4.024431738385642
376_1862,13.00591742846433
376_1860,13.053597535745203
402_1848,12.870454258005854
400_1848,10.638638296937428
402_1850,16.108665398094832
400_1850,16.100514493602844
404_1848,15.165160879993877
406_1846,1.2720395424499
620_1840,0.5049167852218367
618_1840,1.8667937751273551
448_1974,3.633550149868821
448_1976,14.000906998108556
450_1974,12.169693910342458
446_1974,11.026381905793437
448_1972,16.102867502383795
450_1972,15.99649036262181
446_1976,14.607418638096481
452_1976,16.189446814164363
454_1976,16.199724277343243
454_1974,16.201881756083846
452_1978,16.191339695790035
454_1978,16.197080577863993
456_1974,16.201532807949956
456_1976,16.207523914573486
440_1984,7.051312691608277
442_1982,12.86443901284369
442_1980,14.799248194926802
444_1934,16.14983816070734
442_1934,16.182155223554684
442_1936,15.25390194743356
440_1936,16.012258566849354
440_1934,14.750839500913003
442_1932,16.1890615244164
444_1932,15.444061889851701
442_1938,16.180397673160307
440_1938,16.173579213639393
444_1936,15.2097298628603
452_1940,16.203408102403518
450_1940,16.197172026072096
450_1938,16.198492054979774
448_1940,16.192812623937645
452_1938,16.20694717496278
468_1928,16.2449815061397
470_1928,16.24866974257908
470_1926,16.245873231171295
468_1926,16.243944924440548
466_1928,16.241574389235076
468_1930,16.240136478090037
466_1930,16.23744388883755
474_1932,16.25756016507335
472_1934,16.248326937533854
474_1934,16.25668096246597
476_1932,16.26242673754478
476_1930,16.26051476374108
474_1930,16.259141331631184
472_1932,16.25342608090427
468_1932,16.241233585417387
466_1932,13.78989496898091
468_1934,16.24460616979832
470_1932,16.25265330980017
470_1930,16.250825883293057
466_1934,16.23853579380131
440_2002,0.8014357231040178
436_2004,0.1913664702797816
438_2002,3.6431955743801843
452_1996,16.191946711813323
454_1994,16.189924075146955
454_1992,16.193507995501555
456_1992,16.19882087444507
456_1990,16.201216857940583
454_1990,16.196595021775064
458_1990,16.20355445247571
458_1988,13.674738665093447
456_1988,15.955494396219107
450_1982,16.18608799595621
452_1980,16.19209143010406
450_1980,16.192000188154243
454_1980,16.19346502110315
452_1982,16.186334875322103
448_1982,16.181925117353515
448_1984,14.63865021673333
450_1984,16.18355238771888
454_1996,16.19545532328567
452_1998,16.18498720094898
450_1998,16.1818934514484
448_1998,16.18073064612884
446_2000,14.180515212222021
446_1998,16.17730353268893
448_2000,14.288330507230038
456_1994,16.198545418298515
430_1846,16.181870167312432
414_1860,16.137369371565434
412_1860,16.127734384581316
412_1862,16.129262219974915
410_1862,16.12516528638814
410_1860,16.128048112733975
412_1858,16.12713736033033
414_1858,16.134719730049706
408_1862,16.118725654602525
410_1864,16.124044020615308
408_1864,16.11983881306588
416_1860,16.141309051549662
416_1858,16.14393497454487
418_1858,16.14543453492181
418_1860,16.1388299515496
416_1862,16.134603777773098
414_1862,15.035072242779279
412_1864,16.128357990270523
414_1864,15.762702772956418
416_1892,15.57496983053765
414_1892,8.913865640546955
414_1894,8.400804164013161
416_1894,16.129921218551623
416_1890,11.953234995039269
418_1890,16.141545813767685
418_1892,16.14021491033511
414_1896,6.634806663254299
416_1896,16.126523949086106
418_1894,16.13238312086991
418_1876,16.14464463876638
416_1876,16.1305389523678
416_1878,16.139513771187325
418_1874,16.074171789524094
416_1874,16.13599570247065
414_1878,16.128188680527817
414_1876,16.129528760487222
408_1886,1.1132493776747692
410_1886,6.0190322590160505
412_1886,5.6744337822478
412_1884,16.117753165606672
410_1884,16.121566992401732
412_1882,16.12360132420846
408_1884,15.991991000495178
410_1882,16.110409630771297
410_1880,13.798329618002176
412_1880,14.46432736286044
412_1878,16.126641905552823
414_1880,16.112853275188474
408_1882,16.11282282638884
406_1880,16.109152606875213
408_1880,16.109701701861955
408_1878,14.988673434933531
410_1878,16.12504206089278
406_1882,16.108674594344084
402_1886,16.08260585714518
400_1888,16.096565428321448
402_1888,9.170556299390412
404_1886,4.56633809966011
404_1884,15.825162851039753
400_1886,16.093024829438658
402_1884,16.101694456299857
406_1884,12.540503595554059
404_1882,16.108488518298163
404_1880,16.100929941204953
402_1882,16.102353221378916
406_1878,6.208846858217379
404_1878,12.785190140209215
402_1880,16.096052623273916
400_1890,5.598607164950962
398_1890,15.645637560149554
398_1888,16.08678641495424
396_1886,16.082701559763425
394_1886,16.08003077470449
394_1888,16.075803275017858
396_1888,16.081709173749868
398_1886,16.08563462421453
396_1884,16.083219674782445
398_1884,16.086756936365298
410_1876,16.116483475975635
408_1876,16.04789214441694
406_1876,15.52056899777347
408_1874,16.11270685117166
410_1874,16.120822032948674
394_1890,16.07878174047136
396_1890,16.085983777093173
396_1892,16.078999575212762
394_1892,16.084181492435565
392_1892,16.07122785014219
392_1890,16.072841683226326
434_1998,16.145510383145016
432_1998,14.615097269240207
432_2000,16.14113180380056
430_2000,16.134238423442874
430_1998,11.612742294464745
432_1996,14.898062221662274
434_1996,16.14306346094707
436_1998,16.14906423390025
436_1996,16.14999907209418
434_2000,16.143478529020864
430_1996,15.81812924505103
432_1994,16.141266218982913
434_1994,16.14254544172172
444_1986,16.173066789507406
444_1988,15.435483980027241
442_1990,14.43149952169617
446_1996,16.172863499005988
446_1994,16.17515360434542
432_2006,8.912403917887488
434_2006,0.1812035693076456
432_2004,16.137159087745726
430_2004,16.128553760446025
428_2002,14.523236463939666
430_2002,16.13208194365181
432_2002,16.134707102278515
434_2002,16.143972773798108
436_2000,16.149332195609542
434_2004,10.420497709505675
436_2002,12.972483063054579
428_2000,16.018765610517864
426_2000,0.8480063821419033
444_1962,16.183643077366117
444_1960,16.17761812781412
442_1960,16.17147601337911
444_1970,16.146653712677455
446_1970,16.178419931125145
446_1968,16.179911810041055
448_1970,16.185595549584196
448_1968,16.19060155045844
446_1972,12.50918796719382
444_1972,14.406344533528852
450_1968,16.189583879098898
450_1966,16.191254229414927
448_1966,16.183021149565075
444_1974,14.922118105283428
444_1964,15.418372965668569
442_1966,0.5929464980628575
452_1966,16.194603053499428
452_1964,16.198710238997617
450_1964,16.196355094043184
436_1992,14.959011601939826
434_1992,16.145912219922952
432_1992,16.144528071922267
434_1990,16.145430144575204
436_1990,10.5456843397031
436_1988,1.1029298109038632
436_1994,16.150360201383116
442_1984,15.830633112809535
424_1984,3.490622603700809
424_1986,1.4902520995839963
424_1988,0.028301812035117228
432_1984,16.146576264071427
432_1986,16.14002098204657
430_1984,16.14143641656215
432_1982,16.141280639246247
434_1982,16.151271746575635
434_1988,9.225526159834011
426_1982,16.13133820969992
426_1984,14.724010753939384
424_1982,6.318419266134949
442_1978,16.175525112358933
440_1978,16.159843428922322
438_1978,16.16447571705455
442_1976,16.171989888788712
440_1976,16.164949201601452
490_1958,16.288618557807595
490_1956,16.2881903102623
488_1958,16.281240463264982
492_1956,16.290519409597852
492_1954,16.289408909262026
490_1954,16.283427113862558
488_1956,16.285770759733516
484_1962,14.924115376014356
484_1964,16.271638408640356
486_1962,16.277437868337728
482_1962,16.268080764033364
484_1960,15.38402735293028
482_1964,16.26845496921397
486_1960,16.27411709401163
490_1964,16.28358708749461
492_1964,16.292188034070204
492_1962,16.29015771810661
494_1962,16.290969670716336
494_1964,16.292894487694742
492_1966,16.28774807480892
490_1966,16.288217786610204
500_1946,16.311736583358893
498_1946,12.244458087965505
496_1946,9.805293328687506
498_1944,11.27658333732044
500_1944,16.31111954187357
500_1948,16.31552824364604
494_1948,16.10594961291412
494_1946,11.040742323495646
496_1944,0.38897047223211706
498_1974,12.026910557421651
500_1972,16.13393495466631
498_1972,11.74128647513474
500_1974,16.241440516735047
502_1972,16.305814130478044
500_1970,15.017202774153565
502_1970,16.309856573348572
494_1978,16.284331070072977
496_1978,16.289067748771107
496_1976,16.29326815642157
494_1976,16.291176500161818
492_1978,16.284820867865744
490_1980,16.28127576556892
488_1990,16.26764827137472
486_1990,16.265094038576024
486_1988,16.270021181486303
484_1992,16.268765586216283
486_1992,16.26802962711971
484_1990,16.26547013272457
486_1986,16.269383423670728
494_1984,16.28659048982639
480_1996,4.4313549785655475
482_1996,13.298433642137047
484_1996,15.66109404561484
484_1998,0.06217046124841215
486_1998,0.4505336767521045
486_1996,16.263077211866733
482_1994,14.154977763502957
484_1994,16.26035424731054
482_1990,16.26207091252708
482_1992,16.25845516150501
480_1992,16.24904159239513
480_1994,15.720111853221336
490_1968,16.284892322554757
488_1968,16.280204272885868
488_1966,15.952689340393869
488_1962,16.277929946047582
488_1964,16.28007038111657
490_1962,16.282202846538635
486_1964,16.27540348880217
486_1966,7.748753975845499
486_1968,13.924505810680035
546_1952,16.404954749481007
546_1950,16.408760403719274
544_1952,16.404399210127146
544_1950,16.408228202251216
546_1948,16.413309221260008
548_1950,16.41688731764964
548_1948,16.414788339915866
546_1956,16.416408201714926
544_1958,16.40176633568216
544_1954,16.405640365969365
548_1952,16.41829175230556
546_1954,16.412282137221673
528_1954,13.86555294325319
530_1954,16.378428734389114
530_1952,16.377626546814817
532_1952,16.37887665888837
532_1954,16.379816954291304
530_1956,16.373214394602474
528_1956,16.37118790499997
532_1966,16.372384542555636
530_1966,16.37452294953769
530_1968,16.370645121422697
528_1966,16.371110963435708
530_1964,16.374297552763807
532_1964,16.380634917090497
528_1968,16.372690547676562
532_1982,16.36944222697037
530_1984,14.228080134771806
530_1982,16.372807976226476
534_1980,16.374407995731058
532_1980,16.37412110520465
612_1902,13.226892909184413
612_1900,14.391162334372234
610_1902,16.549718406797364
614_1902,15.14740785719883
612_1904,12.09396975843357
614_1900,15.85376469049544
610_1904,15.758617761592197
614_1904,16.07463832904128
616_1902,6.960765099427859
616_1900,10.943635741435468
614_1898,12.138683428330534
616_1898,16.069705282438136
610_1912,16.54740514085933
608_1914,16.547284650967526
610_1914,16.549600558935808
608_1916,16.551341724042267
606_1916,16.54243068236382
608_1912,16.545962070290273
606_1914,16.542546543675762
588_1934,16.505068694289857
590_1932,16.512210936664204
588_1932,16.50425325184003
590_1934,16.508074211521894
588_1936,15.509278566271782
586_1936,4.908765506226117
586_1934,15.519664456252862
584_1934,14.126410230896626
586_1932,16.503968749751024
584_1936,10.37458065071324
576_1942,16.474696604736152
574_1942,16.472171396589438
574_1944,16.47169483319647
572_1944,16.466474087874907
572_1942,16.46257272482425
574_1940,16.211338618307135
576_1940,15.657240305550697
570_1944,16.46146083441738
570_1942,16.46222316747849
572_1940,16.46866735050265
594_1910,16.523183305096527
592_1912,16.518424722957686
594_1912,16.519625252179598
592_1910,16.517113488904595
592_1914,16.513765164496842
590_1914,16.51390640493558
590_1912,16.517105003674942
588_1930,16.50134270790998
590_1930,16.503177157062005
590_1916,16.51002506366862
594_1914,16.514454695188878
592_1916,16.516370537526996
576_1916,16.485633453048617
574_1916,15.635053699737114
574_1918,13.371189822750381
572_1918,16.472811565618525
572_1916,16.475596125430876
574_1914,16.47902105203089
576_1914,16.481946549585064
610_1880,16.562370377081685
612_1878,16.565161065258803
610_1878,16.558715292459656
610_1882,16.554809723323842
608_1882,16.558415571034477
612_1880,16.562857946850528
608_1880,16.55345576087265
606_1882,16.55123613290106
606_1884,16.553216090841715
608_1884,16.554796419226946
614_1882,16.570643340572552
616_1880,16.56903636043397
614_1880,16.563837680115583
618_1880,16.57567895510273
618_1878,12.271678912361644
616_1878,15.900185326888035
616_1882,16.569975825018897
616_1840,2.3004306490139412
616_1842,13.51004997964295
618_1842,10.364116313175801
622_1840,0.04876712792981984
620_1842,9.147342455696279
614_1842,16.579534990378594
616_1844,15.194578327982331
614_1844,15.14769320104132
612_1844,16.022804676228745
610_1846,16.571144469169838
612_1846,16.572552699278646
610_1844,16.56397584499248
612_1842,15.638246321066019
622_1842,13.1341150876201
624_1840,4.6016298446629245
572_1886,11.509937204620128
572_1884,1.925784407758307
570_1886,10.00295304340114
574_1886,16.07724952626993
572_1888,16.47748052110547
574_1884,15.140377306837918
570_1888,16.475184062120533
548_1876,16.432044102788677
548_1874,16.43663676116058
546_1876,16.42607030152546
546_1878,16.43597215236675
548_1878,16.43514134787012
550_1874,16.437354809097485
550_1876,16.440958628760665
572_1862,16.488151593538344
572_1864,16.484786160905603
574_1862,16.494159095323113
570_1864,16.47679670772724
570_1866,16.48440296438088
572_1866,16.485926076674737
574_1864,16.490582241009253
602_1870,16.550826979199876
604_1870,16.54595795930424
604_1868,16.55159083466536
600_1870,16.540316301107264
600_1872,16.54783896851556
602_1868,16.54594497600646
602_1872,16.546128296437665
600_1866,16.550282244189667
598_1866,16.53501176032245
598_1868,16.534661567806854
596_1868,16.536670535362727
596_1866,16.53972511853659
598_1864,16.538235426291877
600_1864,16.541502189319004
600_1862,16.546537678664546
602_1862,16.552416318599555
602_1864,16.54883949669339
572_1840,5.84679589467557
574_1840,5.451536935068094
570_1840,6.241049884867186
570_1842,16.48782373128725
