rowf_colf,km2
986_1664,13.958192361521881
986_1666,15.204391683025436
988_1664,15.782419684150941
984_1664,12.308818540586707
986_1662,16.303493326252582
984_1666,14.081163642053657
988_1662,17.11137523325761
988_1666,17.11871305463631
990_1664,14.85991546638466
990_1662,11.87338118694753
954_1662,17.08739721720568
956_1660,17.085842896917157
954_1660,17.086774996035516
958_1660,16.626815082021267
958_1658,17.09270961717038
956_1658,17.08855746113607
956_1662,16.63190532976442
984_1668,17.10878696806443
986_1668,17.11377022616622
1038_1544,17.15497087522718
1040_1542,17.157034632883576
1038_1542,17.152491737262622
1040_1544,17.15404808362956
1038_1546,17.150778416048574
1036_1546,17.15117120009428
1036_1544,17.15224499759856
1040_1540,17.152998303714334
1036_1542,17.15159907698728
1038_1540,17.151979000716786
988_1668,17.113737758788382
990_1666,17.115974876824545
992_1662,6.519262363595962
992_1664,17.04312205621427
1064_1624,17.16698073412076
1064_1626,17.1651221465206
1066_1624,17.16813340100765
1064_1622,17.161465344642746
1062_1624,17.1680172155406
1066_1622,17.16622786567917
1062_1626,17.16522556941429
958_1656,17.08902862748307
956_1656,17.08737740546208
954_1658,17.08610214672065
942_1656,17.07954971993498
942_1658,17.07524583619719
944_1656,17.075292987115382
940_1656,17.077264108225226
942_1654,15.478018248626624
940_1658,17.071146329848276
944_1654,17.07511057720354
1054_1574,17.162601771576714
1052_1576,13.541829347674152
1054_1576,16.960173151466005
1052_1574,17.162461454066676
1050_1576,17.158309750742347
1050_1578,17.164498452736723
1052_1578,17.159330707866747
1048_1550,17.16201312101548
1050_1550,17.162985580904802
1050_1548,17.155610913030298
1048_1552,17.162122530250027
1046_1552,17.156062484103675
1046_1550,17.15500924280271
1048_1548,17.16229770510242
1040_1546,17.152927432282432
1042_1544,17.16033163823151
1042_1546,17.15304292907364
1040_1548,17.156977039763152
1038_1548,17.14559858670031
1034_1546,17.15706904139002
1034_1544,17.15230880894774
988_1564,17.117052216635546
986_1564,17.112850890816
986_1566,17.116046416279435
988_1566,17.115117636937878
988_1562,17.120551907946254
990_1562,17.121192725121386
990_1564,17.116541356484518
1052_1530,15.245391660326398
1054_1530,8.749006104143309
1054_1528,13.314997696276388
1052_1532,17.158414755824104
1052_1528,16.65197312879531
1050_1530,15.147027237143272
1050_1532,17.099189095414808
1042_1542,17.15603314653967
1044_1542,17.158075381326196
1044_1544,17.154417288440296
1050_1562,17.160162670064718
1052_1562,17.16550438611178
1052_1560,17.15966739835423
1054_1560,17.158929809055778
1054_1562,17.16125955824511
1052_1564,17.160940066788147
1050_1564,17.159477004705156
1048_1564,17.154358213298057
1050_1566,17.160380144149098
1048_1566,17.15905280177605
1066_1556,17.16645500436109
1066_1554,17.16578266695821
1064_1556,17.17149327978857
1068_1556,17.16721266920518
1066_1558,17.16943246373825
1068_1554,17.170332057390006
1064_1558,17.16618526244103
1064_1554,17.167579590356304
1064_1552,17.165186590997376
1062_1554,17.165874232349662
1066_1552,17.169080177682595
1062_1556,17.1647009474981
1062_1558,17.168369521122838
1056_1560,17.160393921641585
1054_1558,17.163129269100917
1056_1558,17.164091306532153
1060_1558,17.166540550040565
1060_1556,17.16492549841766
1072_1546,9.260179484528278
1072_1548,8.126613126224258
1072_1544,8.439252154700377
1070_1548,17.176335948898814
1070_1546,17.167708944048304
1068_1546,17.164407634378843
1070_1544,17.167050396303956
1068_1548,17.170520069577627
1066_1502,17.167688749099128
1068_1500,17.169910183635814
1066_1500,17.167331534684813
1070_1500,17.169716887205553
1070_1498,17.168675542629057
1068_1502,17.175045306384522
1068_1498,17.169789938695455
992_1666,17.116638275430407
990_1668,17.116704423565004
1050_1628,17.157666626220017
1048_1630,17.15649566147174
1050_1630,17.157494034285243
1048_1628,17.154869857598435
1052_1628,17.163143732314545
1052_1626,17.16205858347911
1050_1626,17.15765733092938
1034_1576,17.14992829301192
1034_1578,16.464922097906744
1036_1576,17.14919525251787
1032_1578,15.418822464698763
1032_1580,16.722940413776076
1036_1578,17.149294037637826
1034_1580,16.73130779952145
1034_1574,17.147104220464794
1036_1574,17.154215899050612
1036_1572,17.147463950804106
1038_1572,17.151616833979652
1038_1574,17.152467315234382
1036_1570,17.145990879671107
1038_1570,17.15075401423104
1034_1572,17.152157169762702
1036_1580,17.1559557387883
1038_1578,17.149666099147073
1034_1582,17.145845490201953
1038_1580,17.154549413550114
1036_1582,17.155049298882737
1032_1582,17.15034918482863
1038_1582,17.151521461071
1040_1580,17.155585426265233
1040_1582,17.15061645867257
1036_1584,17.15019628944418
1038_1584,17.15026209983216
1074_1630,14.98760871646786
1074_1628,14.229405157513995
1072_1630,17.170189930866602
1072_1628,17.171360062805416
1074_1626,13.473999527096462
1066_1620,17.167744671928833
1066_1618,17.163972904676704
1064_1620,17.167644073990086
1068_1620,17.168062185883205
1068_1618,17.172100497209403
1068_1622,17.16900411379408
1048_1632,17.157951813178446
1052_1630,17.159112870736642
1050_1632,15.64026374982235
1046_1632,17.158125410663853
1046_1630,17.15715606065816
1048_1626,17.158511406963427
1046_1628,17.154844841272958
1064_1628,17.165156578453015
1062_1628,17.164460625088758
1066_1626,17.168750937675803
1068_1624,17.171214204080325
1054_1628,17.156840905584442
1054_1626,17.161603047931962
1056_1626,17.16037093233689
1056_1628,17.15776452900513
1054_1630,17.159088456294644
1056_1624,17.16086915982122
1054_1624,17.161979622165344
1052_1632,14.737714622772643
926_1634,17.06201718983307
928_1632,17.065578853911315
926_1632,17.060873412237168
924_1634,17.0591711910926
926_1636,17.064331744214815
924_1636,17.060593384302912
928_1634,17.064379277834313
952_1662,17.084571121293475
952_1660,17.07894139499553
958_1662,11.300802633630067
960_1658,17.091214955808333
960_1660,17.08698816272495
956_1664,17.092500866561114
958_1664,17.08851481969688
960_1662,17.088338129054094
954_1656,17.086127288346976
952_1656,17.088419323836284
954_1654,17.085029807061126
952_1658,17.083929584905274
956_1654,17.084378587226603
958_1654,17.087634389817037
954_1664,17.085661695555675
984_1662,15.96930366733403
982_1662,13.774921626315876
984_1660,17.107174623186964
982_1664,5.709186499339439
986_1660,17.11225172994969
992_1660,2.9314578892294008
990_1660,15.04928201725972
986_1670,17.110319256809472
988_1670,17.11190195773509
992_1668,17.119346344996295
990_1670,17.11224226075952
980_1664,3.7855048186496942
980_1662,13.202077194328671
978_1664,9.686759559728095
978_1666,0.09951149049815869
980_1666,5.253702448108598
914_1562,2.913261868627642
914_1560,3.6054542029034686
1046_1594,17.15682143360207
1048_1594,17.158671186060623
1048_1592,17.161134082278796
1050_1592,17.156963824095797
1050_1594,17.157794324631283
1048_1596,17.153952602132264
1046_1596,17.157884184822855
1026_1556,17.142594310109
1024_1556,17.144992738281935
1024_1558,17.144819543931842
1026_1554,17.14355857998313
1024_1554,17.142759431744896
1022_1556,17.14453111011473
1022_1558,16.35226785201932
1026_1558,17.143386590941248
1028_1554,17.15168451345023
1028_1556,17.15046584101468
1028_1552,17.144090591536905
1026_1552,17.142036985734077
1024_1560,17.145733191719383
1028_1558,17.14469511291123
1026_1560,17.145040370945654
1024_1562,17.141118666361617
1022_1562,17.14090704934175
1024_1564,17.14004855511376
1026_1562,17.140531063610293
1022_1564,17.13793854026423
1022_1560,15.713951883365413
1020_1562,17.1421780761925
1020_1560,6.985813536431237
1020_1558,14.574357940160185
1052_1548,17.16177420860959
1052_1546,17.16285792095644
1050_1546,17.15582865893446
1046_1542,17.160692729643603
1046_1544,17.157710933614396
1044_1546,17.154707814088454
1046_1546,17.1560548684287
1048_1546,17.154067928586603
1048_1544,17.15358996594178
1044_1548,17.15880162759594
1046_1548,17.15653783897065
1050_1544,17.16116276480154
1042_1548,17.155498866207413
1038_1550,17.15332232305703
1040_1550,17.15519168680943
1030_1552,17.151386153239088
1030_1554,17.147663669256023
1034_1548,17.150444847760305
1036_1548,17.15310147317229
1036_1550,17.151879884096257
1028_1548,16.55533648896893
1026_1548,17.146161759934518
1026_1550,17.14562949669168
1024_1550,17.146088872490864
1024_1548,17.146457431451473
1026_1546,17.142195723833375
1028_1546,16.640205635982372
1022_1550,17.142035578874932
1024_1552,17.145726452279202
1022_1552,17.141886808527154
1024_1546,17.146768593946206
1022_1548,17.142184607165095
1030_1546,17.150145025735025
1030_1548,17.151854687847106
1028_1550,17.14254538467084
1036_1552,17.148576352845527
1038_1552,17.158810892978355
1038_1554,17.154380288633323
1036_1554,17.152742221534233
1036_1556,17.15319352597617
1034_1556,17.152461007084636
1034_1554,17.146317093817988
1034_1552,17.147421264075973
1040_1552,17.147987717981184
938_1590,17.06988164329461
940_1590,17.07757319966781
940_1588,17.074094449470294
938_1592,17.075873531534864
940_1592,17.071877275750722
942_1590,17.07938169454003
942_1588,17.073810098173407
942_1592,17.080129688634706
944_1590,17.080949615384753
944_1588,17.081745474722634
946_1588,17.078430984099615
946_1586,17.082033011250513
944_1586,17.081597142934406
942_1586,17.07975188794264
936_1590,17.06750648482448
936_1592,17.07261054719299
938_1588,17.075293752931902
938_1594,17.07147435485827
936_1594,17.074138252698756
1034_1542,17.1463240948021
1032_1546,17.15057703161559
1032_1544,17.14961179984486
1030_1544,17.14473118037342
980_1570,17.112323827439425
982_1570,17.11443309861146
982_1568,17.11209119615023
980_1572,17.11293395938923
982_1572,17.112936686824085
984_1568,17.113645570146968
984_1570,17.11513399340802
994_1582,1.0508437265618034
994_1580,9.394283342833274
992_1582,7.793304511325226
994_1584,8.775555063826072
996_1582,9.565565059630574
992_1584,10.821514717931505
996_1580,17.03307568504425
990_1578,17.118504724308476
988_1578,17.119254004480553
988_1580,17.118666303766293
986_1580,17.110766369338897
986_1578,17.118459004946427
988_1576,17.11907778417464
990_1576,17.12220161814198
998_1576,17.126042522679725
996_1576,17.125072818260456
996_1578,17.123371192198867
994_1578,16.851934302997588
994_1576,17.120782727815648
996_1574,14.664824019155697
998_1574,17.12311466582565
1000_1576,17.126104749881865
1000_1574,17.132205330888805
998_1578,17.12474244483187
998_1572,17.12228975857011
996_1572,9.160646895774594
994_1574,15.953868731814659
1000_1572,17.124498360945232
988_1544,17.115786648632476
986_1544,17.11589382306476
986_1546,17.117361698962252
984_1546,17.115721473958427
984_1544,17.11521032047357
986_1542,17.119011811970218
988_1542,17.117837567246678
978_1534,17.108112987895677
978_1532,17.112694690073226
976_1534,17.11364078222595
978_1536,17.108499195412993
