rowf_colf,km2
926_1870,17.0430706645152
928_1870,17.041414835280047
928_1868,17.042419960705875
926_1868,17.036071555199594
926_1872,17.0407731502985
924_1872,17.038616183051836
924_1870,17.04089062614123
884_1838,3.2768855945566724
886_1838,5.129336528630576
884_1840,16.99232876957087
882_1840,16.991990986098347
882_1838,1.4196082439805435
918_1880,17.02768502898737
916_1880,17.02977955634745
916_1882,17.025902833357303
916_1878,17.029869832022218
914_1880,17.026731347984978
914_1882,17.023192963924433
918_1878,17.029977252436037
902_1866,17.016670394555
904_1866,17.01817891917078
904_1864,17.0187126805218
906_1864,11.264386153629538
906_1866,17.015786179315807
904_1868,17.014936048288842
902_1868,17.013870156869512
908_1866,17.01907330160685
908_1864,15.825495037104421
906_1868,17.017693262561394
900_1868,17.014484850955323
902_1870,17.015948897446744
900_1870,17.0123076033028
910_1864,17.02580454870088
910_1862,17.031208975562368
908_1862,11.738461668077193
906_1862,5.329397843011324
914_1862,17.02830578531136
912_1864,17.023501465326696
914_1864,17.026474695564353
916_1862,17.032199725513923
912_1862,17.0280215316159
914_1860,17.031761329731253
916_1860,17.036851835801542
930_1868,17.042739774271787
930_1866,17.046378414714884
928_1866,16.34981210379087
920_1858,17.03492056179888
918_1860,17.037556054765258
920_1860,17.03415108748235
918_1858,17.031649177611097
918_1862,17.034942701543308
916_1864,17.027962766296085
924_1874,17.03783871495628
926_1874,17.035745684924102
928_1872,17.042964893833407
930_1870,17.043733909400725
928_1910,17.04054465714198
928_1908,17.034268396549013
926_1910,16.403114392538008
930_1908,17.03974028830151
930_1910,17.0460601682592
928_1912,17.041797805355234
926_1912,16.676999478708048
926_1908,17.03582991016001
928_1906,17.038280672254718
930_1906,17.03874380589368
988_1892,17.096961383992625
990_1890,17.096938946719227
988_1890,17.061013229120604
990_1892,17.099799815561774
992_1890,17.0987317660538
992_1888,17.100351508328767
990_1888,17.101558048300145
950_1928,17.063342210107358
948_1928,17.05430604867026
948_1930,17.05703405288617
946_1930,17.05330144791707
946_1928,17.05060691125656
948_1926,17.056827266497653
950_1926,17.061913499714628
952_1928,8.52549679156876
950_1930,17.060039995950163
952_1926,16.831912322274842
798_1828,4.570009607190298
798_1830,12.119542419357515
796_1830,12.57742633020853
796_1828,1.4034514880126356
884_1842,16.72886038688109
886_1840,17.005136650015785
882_1842,16.993607829543855
902_1846,17.018437084606617
902_1844,17.01644183006718
900_1846,17.014049360522527
902_1848,17.021796717912867
904_1846,17.026597750421036
904_1844,17.019196052902686
900_1848,17.020577555200365
902_1864,17.018372673966386
900_1866,17.01577411606861
914_1876,17.027998691721283
916_1876,17.027241603696503
916_1874,17.03396380012793
914_1874,17.026749621609405
912_1876,17.024866973903663
912_1878,17.021732893292107
914_1878,17.02904120751786
918_1876,17.034042629211832
904_1862,17.015223383658537
912_1860,17.029431410442346
914_1858,17.025220441926276
912_1858,17.02550432611239
910_1860,17.022934764374003
908_1860,15.238984345803875
910_1858,17.024263893397016
922_1856,17.039957876358642
924_1856,17.04213159332665
924_1854,17.037884609012938
922_1854,17.037436343993825
922_1858,17.039528125381317
920_1856,17.034628794531013
926_1856,17.044581969867583
924_1858,16.985082415787232
926_1858,12.604498080392148
928_1856,14.24179014787188
928_1854,17.045889743839275
926_1854,17.041944582844625
936_1850,17.050990808254536
936_1852,17.05406803752676
938_1850,17.06198335446239
938_1848,17.057120091518787
934_1852,17.050946649711616
934_1850,17.047000342114192
936_1848,17.04944433437352
922_1860,15.880459606611126
924_1860,4.851032067110163
920_1862,17.03625326317896
936_1876,17.053123168806344
936_1878,17.048422950123502
938_1876,17.055199874182602
936_1874,17.049578163217273
934_1876,17.05003361031727
934_1878,17.05221485249219
938_1874,17.048583981213074
930_1874,17.048968041406308
928_1874,17.047228024600994
928_1876,17.041604249623294
926_1876,17.04539271482054
930_1872,17.045958450839322
932_1872,17.049038776618705
932_1874,17.049583025833485
930_1876,17.04324327308564
920_1870,17.029887653231217
918_1870,17.031873484796193
918_1872,17.02824289970526
920_1868,17.034921769745967
920_1872,17.035853196246112
922_1870,17.040166063305023
922_1868,17.041445354813455
922_1866,17.03853950516306
922_1864,17.036796825278206
920_1866,17.035376912473158
924_1864,15.918350783875642
924_1866,16.37113440213891
918_1864,17.030325624537518
960_1864,17.070734003753486
960_1862,17.071000069146958
958_1864,17.075553107242165
962_1862,17.077764043481952
962_1860,17.076854620121015
960_1860,17.073475048015986
958_1862,17.07264655096222
952_1878,17.06401090798366
954_1878,17.067725890051765
954_1876,17.067964610424735
952_1876,17.068010627646547
950_1878,17.065341572571946
952_1880,17.065467240091735
950_1880,17.06627869077112
956_1876,17.071193502708827
956_1878,17.068872866065536
954_1880,17.067461915746023
948_1880,4.784004132934668
948_1882,9.513158495140578
950_1882,17.060442197370044
948_1874,17.064149189758297
946_1874,17.061528246327
946_1876,17.058826587144416
948_1876,17.061049156620797
950_1874,17.0622911507418
948_1872,17.063653288781516
950_1872,17.06381213531586
946_1878,16.12230944382481
948_1878,12.61233727037873
950_1876,17.06611082231189
946_1880,11.959753726955558
948_1884,17.062067968133455
948_1886,17.06322673465839
950_1884,17.0663805846076
946_1886,17.05977112874901
946_1884,16.654498967583265
944_1888,15.09524395153555
946_1888,17.057974649532134
948_1888,17.059140037226072
946_1890,16.764430042129593
944_1890,12.692940979212546
944_1886,17.058025234244003
950_1886,17.06491064714269
978_1878,9.492184719762415
978_1880,14.025654158844874
980_1878,8.39772969557976
978_1876,16.982456835841294
976_1878,17.0866754563255
976_1880,16.851697456168452
980_1876,16.314384011310246
976_1882,17.090141296689133
978_1882,17.08584244964
980_1880,16.791625172305444
976_1884,17.08686354587731
974_1884,17.084667219965276
974_1882,17.087114553353913
958_1880,17.073313920245162
960_1880,17.074558973413737
960_1878,17.068622446328106
962_1878,17.07473617119677
962_1880,17.072635852597692
960_1882,17.074455048341267
958_1882,17.07081526063719
970_1876,14.575537204282758
968_1876,17.085662371573612
968_1878,17.080050299488118
970_1874,16.510135464738052
972_1874,14.730464048101908
